milliseconds,s2,s4,s7,s15,s19,s21,s22,s23,s25,s27,s26,s28,s32,s29,s24,s35,s37,s38,s39,s40,s1,s18,s41,s42,s48,s53,s60,s63,s64,s65,s67,s75,s76,s77,s81,s82
0,5.0,5.086214394962142,4.967525993042281,4.997982273068135,0.000292110645161495,0.5,-0.0008144433752970928,0.5,0.6409968015145602,0.5001567819942734,5.000302632813487,5.000562982316663,9.300028291550694e-06,0.49997214932511685,-0.0008059772102770112,0.0004148463244515006,-1.918428978456263e-05,0.6,0.5003081238423576,-0.00016160987880746867,4.953642376713556,0.00012470752171859554,-0.00459736340203954,5.0,4.964556104515366,0.021889612697795796,0.00197251860554923,0.0003810953840234965,-0.001835072173674924,0.33,0.023127017497071703,0.00014819488954419366,4.999581589128581,5.000239298135908,0.0,0.0008419568032327499
100,5.0,4.701993266980863,4.847128813525577,5.00043460371963,-0.0012198626764117699,0.5,0.04482340462339926,0.5,0.6389955000338398,0.50007337375601,5.000051460314287,5.0008686329371885,-2.528998789641335e-05,0.49997732991869975,-0.0012559833279602002,-0.0006342679370783017,-1.2103498730609698e-05,0.6,0.49959345190879517,-6.160782952501988e-05,4.623826642420954,0.0015299158653326191,0.2627219559391854,5.0,4.983411326132328,0.048566652452645215,0.005942426662180625,0.00010632609726105232,0.0006661121638034486,0.33,0.04002012845320967,6.183669178361368e-05,4.991642347853641,4.990753093018941,0.0,0.008964446332506888
200,5.0,4.429557178371923,4.690244702494586,4.997671608006011,-0.0010480750152282341,0.5,0.1060511973740003,0.5,0.6320892153598843,0.4999217897091127,4.99910986459196,5.001058996933137,-0.00013542232871233844,0.5001270042515096,-0.0009272659536508977,3.199861053878689e-06,-0.00024652375741441717,0.6000000000000001,0.5002181719535013,2.658931043650221e-05,4.263203270969771,0.0013840047082638253,0.4002984444980985,5.0,4.950384689326095,0.11741134467778719,0.0015530155681515966,0.0009745599941542121,0.012569328589260216,0.33,0.18980013624185665,-0.00016873370676136703,4.98451139920442,4.982666720076544,0.0,0.016077839640086
300,5.0,4.122980090522063,4.5675776720750685,5.007496598734126,-0.0008667197557068937,0.5,0.14615311406640039,0.5,0.6263188156304517,0.5000392568769657,5.000597943684868,4.9991396158174695,-7.022714909674373e-05,0.4998592501650412,-0.0009911326564446873,4.9948641668632085e-05,-0.00015830467475363514,0.6,0.5002138599891343,1.1201800738813287e-05,4.1268295202780685,0.0032339996310914465,0.49832303959061297,5.0,4.8798079090315385,0.15129573200871216,0.005808848092625186,0.0012772482339014895,0.009731855819149857,0.33,0.3202260486082792,6.139242310926373e-05,4.9780558101024415,4.97755569109835,0.0,0.02195510319584706
400,5.0,3.8542583466618514,4.410184928116189,5.00567766622377,0.0019153421749830458,0.5,0.16812942641817263,0.5,0.6192710923959582,0.4998187067455469,4.998985512843134,5.000610632273335,0.00015058035813993252,0.4998521701607697,0.0004386673369946108,0.0004828336358253457,0.000173190909322924,0.6,0.499699082378952,-2.8235694409727287e-05,3.756772016425543,0.005015590215578219,0.556677125796504,5.0,4.796719887665534,0.24976869274678373,0.005609850069414415,0.0021729370924880335,0.020984421332230416,0.33,0.3976138603555721,0.00021513660739638186,4.972798480251093,4.971779642367255,0.0,0.027180764904851853
500,5.0,3.502953202504896,4.300473194628872,5.009781108661547,0.0021260937764990082,0.5,0.2089654491612075,0.5,0.6168836044744852,0.4999303989651064,5.000077995641801,4.998872556959076,-0.0002352492237689394,0.5001125386979175,0.0023589189804847826,0.00035820273098823415,-0.00017701508228288145,0.6,0.500087233921426,7.405156193735723e-05,3.444841333920641,0.009045770567403329,0.6104434279165722,5.0,4.624575750990472,0.3405480779815582,0.0021811792008559713,0.0035293632197605446,0.020271782950112897,0.33,0.503338351652478,-9.502882929131239e-05,4.968494437145825,4.96905481002952,0.0,0.031314925058178886
600,5.0,3.3235009228330643,4.140756059673008,5.013676637789303,0.007689224497772946,0.5,0.23516012962876345,0.5,0.6174226025470289,0.4999736522779243,4.9991547353392916,5.0006934607617985,-0.0002156217354101179,0.49979674696346515,9.865583922865782e-05,0.00039765030861828467,9.806193062390065e-05,0.6,0.5002625460728758,0.00021312416065160075,3.3217737577711994,0.014521080230472414,0.6522023928961583,5.0,4.573683932429688,0.35446584823193544,0.011718539781677011,0.004337675019186277,0.023179329774495147,0.33,0.6630918598261492,0.00020787824489807647,4.965830708780759,4.965571638134417,0.0,0.034718942498323926
700,5.0,3.1263941906637993,3.9718318943752196,5.016134183966028,0.004905143953184444,0.5,0.27072052396629215,0.5,0.6136096298948396,0.4999668837714216,4.998977205325868,5.000421021224528,0.00018639745842967187,0.5000082260704115,0.003149548936908441,0.00041315686018881907,0.0002942501316423307,0.6,0.4994439393673606,0.0001090485762679435,3.0001710932192647,0.015938835708321206,0.6527102468361465,5.0,4.454429089995392,0.489616974106303,0.00846212687355863,0.0045207737340167775,0.026166453550754445,0.33,0.7950220311201722,0.0001940041574828776,4.9619699560944985,4.963419145175291,0.0,0.03774074873031083
800,5.0,2.9203750963977058,3.7639948622182384,5.0224530463991375,0.009141648499062183,0.5,0.29558045815756673,0.5,0.6053121143574828,0.49988985671273073,4.998537312545086,4.999924625652075,-0.00012880299694531313,0.49985846882723,0.0033847429406879113,1.1432400246507996e-05,-6.889242849100154e-05,0.6,0.5001954408122552,8.756146680242814e-05,2.8831562017252588,0.020219649872199662,0.6758388192908175,5.0,4.464077977443407,0.5653614287164187,0.009451467620385528,0.006032313978855895,0.029882888157578526,0.33,0.8648028410957048,0.00022378666861027946,4.96012309099103,4.95989727547521,0.0,0.038772159389889684
900,5.0,2.6100590003817734,3.642483481645673,5.029802240502191,0.011594379875381667,0.5,0.3440875157730732,0.5,0.6010616240169466,0.49982451064386285,4.999692388223934,4.999243384507682,0.0004285050368700461,0.49972430726168543,0.0024058469072756362,-0.0002519451638877074,8.207017839640334e-05,0.6,0.5003650556005599,0.00014169784443408137,2.587381538035857,0.02510213705585932,0.680108652821456,5.0,4.304741763440452,0.6604449424052145,0.019279291679545545,0.007202962185271725,0.03597492675707325,0.33,0.9425235304685091,-0.00014703493862686478,4.959643046058075,4.958594346385453,0.0,0.04100359289032093
