miliseconds,Susceptible,Infected_strong_immune_system,Infected_weak_immune_system,Recovered
0,78841254.85045762,5056.595089882178,4510.855713715277,4622.709571603795
100,78841034.86279638,5108.707393943015,4537.885457909424,4716.233084101267
200,78840913.17710115,5146.788014825964,4544.896376604935,4812.46596345227
300,78840800.26543662,5146.679660770293,4562.65244924544,4782.482209264471
400,78840676.86140096,5218.456935253839,4626.3937450618505,4877.135866153557
500,78840407.14130735,5226.146589365461,4658.56112951403,4927.653672470276
600,78840269.97020312,5229.650005615389,4664.134897069551,5115.974649367585
700,78840186.8312895,5298.870563315171,4737.763836187667,5181.123272884501
800,78839878.6374308,5346.322279658562,4764.934939510974,5277.7306798144655
900,78839908.43221608,5378.694944063157,4789.238352954259,5356.937436995085
1000,78839714.19480434,5370.559629058459,4809.995840836898,5367.35160086564
1100,78839441.98110096,5417.946557369762,4850.288744228062,5497.986005039971
1200,78839447.99173672,5457.017841344698,4855.7163331837255,5551.13211833318
1300,78839044.44567233,5474.516240426595,4909.39347520062,5664.385675355708
1400,78839082.5411233,5556.112324461575,4924.993995181405,5788.369077705141
1500,78838758.74237694,5559.477801429329,4976.845215801341,5826.787383353417
1600,78838692.40197809,5634.315781775275,4996.501769303074,5892.682500369077
1700,78838397.34155826,5636.440778800028,5048.71113524173,5977.42998549049
1800,78838352.93723638,5665.220949892693,5085.650541940027,6015.558218245537
1900,78838211.09367406,5715.283308975407,5110.315986799108,6114.045595436117
2000,78838025.38279472,5734.88546172025,5138.261225786199,6242.9122225621295
2100,78837861.48609294,5767.066414016731,5172.029236095496,6283.2022224553475
2200,78837649.4668457,5838.446762593564,5219.282787584476,6425.678746366467
2300,78837372.10285325,5867.333950214302,5260.103973599458,6560.48604046815
2400,78837207.62127697,5928.497846555992,5309.038493275405,6586.092611144653
2500,78837118.43544458,5914.750555579982,5348.998627091617,6741.17168812367
2600,78836984.848253,5993.37153394979,5400.768269895144,6801.986901512369
2700,78836670.73493657,6016.380450157463,5435.073186980621,6928.540892919253
2800,78836608.9055337,6055.019486281537,5440.167029979073,6974.335355881404
2900,78836375.73657323,6097.820096276083,5511.294702511622,7050.849798651138
3000,78836244.03763607,6150.512470915542,5529.466498585258,7123.135452837878
3100,78835984.56274599,6184.647300130318,5558.922006219978,7215.584238281668
3200,78835974.30250622,6199.26309083999,5591.923510822357,7324.982050236228
3300,78835618.66347486,6267.93970537279,5655.445565883554,7527.27456927196
3400,78835599.75100958,6323.347755176939,5674.782664460838,7628.104513866935
3500,78835354.72586007,6325.528338573577,5710.514595323717,7637.870722118935
3600,78835090.88250695,6375.339998100835,5775.949298881933,7713.988777460387
3700,78834972.58249138,6432.440413487343,5803.494282033283,7827.815454278524
3800,78834650.07947761,6489.165926498616,5834.994465486245,7934.705849196149
3900,78834424.87264657,6499.26614482303,5903.706562248304,8119.707222558644
4000,78834300.44565947,6547.751436815136,5937.4707496855335,8197.819657466214
4100,78834032.21654218,6606.103928242862,5945.104402264071,8301.190498987613
4200,78833924.013364,6630.0743835449475,5986.660486414177,8343.684609981328
4300,78833683.63667288,6655.799929821976,6056.8147607220935,8451.598950498825
4400,78833609.9501709,6748.523068967722,6092.6876977001075,8620.424800761803
4500,78833416.27163777,6765.947422775976,6129.26973530941,8628.765869195544
4600,78833162.09545083,6806.613464760375,6150.082597501567,8823.058698174893
4700,78832965.83937554,6878.006436804485,6205.0904679587065,8929.809272419265
4800,78832827.37679459,6917.25779295917,6223.873014396209,9040.99017275996
4900,78832586.45067064,6946.463583909007,6293.37364711454,9101.062498640851
5000,78832200.01050164,6974.08988508712,6343.058755088787,9155.222988492667
