miliseconds,Susceptible,Infected_strong_immune_system,Infected_weak_immune_system,Recovered
0,78841224.82376786,5059.9982848817635,4503.5630107072975,4601.547435050634
100,78841172.32588856,5116.888324799469,4534.860439855372,4602.371321445374
200,78840944.54668634,5127.541035645811,4562.511872290042,4804.436055324722
300,78840709.71446204,5178.736157915683,4597.967431240656,4811.884380738503
400,78840601.03624105,5202.326002710997,4593.471867420517,4909.464441229715
500,78840422.68532962,5250.484835062731,4641.228267406805,5030.243131335531
600,78840402.90837774,5243.505790408242,4691.305179530743,5101.865522612105
700,78840179.56368962,5286.533944222241,4708.0287988096,5160.636998675985
800,78839888.53023936,5340.218660365747,4756.360372243298,5172.2394670511185
900,78839819.08195245,5376.576065131681,4756.398915664456,5373.332100866951
1000,78839563.41732854,5413.0739437655075,4828.718225216904,5335.205918181748
1100,78839622.97875305,5408.919179213582,4855.632301067035,5523.242663481918
1200,78839282.75539531,5439.680280612732,4900.327515193836,5529.384226164212
1300,78839287.55815789,5482.984483113197,4905.372245600051,5593.696072958538
1400,78838995.06847118,5517.059054102618,4952.532779579753,5781.289958051787
1500,78838715.6651016,5553.506126457552,4980.2826408955125,5801.555906873513
1600,78838665.52777547,5577.44297110642,5030.252298584018,5879.168256364943
1700,78838477.7379476,5663.56559001481,5051.456767119032,5964.944920626948
1800,78838467.51304476,5704.51464259848,5102.844953268584,6054.379909458376
1900,78838221.90580001,5688.885443177628,5102.358648921816,6164.406486453482
2000,78838032.94400033,5745.167884767778,5151.386670237602,6279.623512390297
2100,78837735.98684251,5816.517705870251,5167.01694409833,6327.934976853023
2200,78837597.00371352,5854.753328708272,5224.268720355889,6438.479287710337
2300,78837348.34817044,5893.3029185540145,5239.377125059176,6473.54284678208
2400,78837318.12032285,5877.1243837785505,5282.580467173066,6630.316256131637
2500,78837022.69606808,5933.147637838305,5338.251363123372,6648.801781162852
2600,78836872.43458351,5982.289640016882,5394.213750390978,6843.157929345527
2700,78836786.78413676,6009.807616338016,5401.624304828786,6867.1867252142965
2800,78836500.83660418,6068.590355387754,5476.476505904564,6919.741075235651
2900,78836510.04946795,6076.5706081687595,5471.34013792696,7077.275150106846
3000,78836135.0712585,6144.7492732887395,5525.486634498424,7142.289420267201
3100,78836001.82195573,6186.622602801491,5579.105567134177,7334.392740972293
3200,78835955.63593222,6227.201282193489,5599.073144730445,7387.864982514859
3300,78835605.81539145,6263.157425293836,5633.509224179302,7451.8558278854425
3400,78835364.70867738,6272.352510423221,5703.510069258543,7562.965781700011
3500,78835200.90078786,6333.066510399171,5719.198088603113,7715.290160472471
3600,78835205.86119817,6352.579770469663,5731.036373829016,7753.954362280192
3700,78834890.57083656,6406.83338963034,5790.404266502707,7923.075620803006
3800,78834736.8543313,6478.939642721163,5832.9606739832525,7945.119423168832
3900,78834483.52176145,6488.990254814073,5892.558555066899,8122.464198734812
4000,78834298.79788038,6557.898375933634,5933.0900470064535,8161.039967778469
4100,78834241.90847214,6599.596839727433,5973.906463865872,8235.45322412042
4200,78833897.63326618,6619.562898284422,5983.836726577346,8418.931541589101
4300,78833600.10730721,6662.205733186159,6066.675727154218,8495.560283501662
4400,78833407.25009227,6712.268036602648,6084.3435968859785,8618.389154503726
4500,78833232.66154294,6768.47030502102,6129.543002125354,8699.433937518408
4600,78833000.25567605,6800.478017573593,6149.082382050495,8802.470805837645
4700,78832879.59866045,6864.427046247217,6202.183737961007,8915.099995996825
4800,78832826.31714731,6892.673010034678,6252.108227446302,9040.535978677224
4900,78832431.54823455,6936.432065872025,6282.268123940382,9058.41521586049
5000,78832317.38432303,7003.520644494565,6323.205995944035,9195.000123680858
