miliseconds,Susceptible,Infected_strong_immune_system,Infected_weak_immune_system,Recovered
0,78841192.92916282,5052.7966732900095,4511.963230825903,4568.296332808031
100,78841021.14027196,5070.658379055343,4506.698535805733,4663.87362124486
200,78840967.6063507,5117.952794058005,4566.505310194377,4733.493450229337
300,78840836.95376363,5175.431341645265,4563.949573654429,4794.794134475194
400,78840699.14975119,5180.942984589467,4587.642949422342,4973.208381562073
500,78840511.61670016,5226.289911899476,4630.960553710942,5031.912588636088
600,78840330.03076102,5262.958467303204,4672.728833002078,5130.556444121331
700,78840038.2566162,5299.720660227853,4738.4198780984525,5097.618653647759
800,78840000.05047463,5330.846831763981,4731.6964411857425,5258.197001258664
900,78839950.05044863,5334.5622872165795,4751.69082332171,5247.145335441273
1000,78839576.10034563,5413.692575371424,4794.8872550207825,5362.563540969115
1100,78839527.2768647,5455.0178133916925,4843.5774425388145,5485.370028069538
1200,78839267.4972188,5483.801291092394,4871.750777556295,5565.296683279099
1300,78839171.75134286,5520.751322349509,4892.912886013713,5716.622056076734
1400,78838873.80726174,5513.327502493395,4963.390087933855,5753.837716970717
1500,78838937.11342992,5542.948546725104,4968.217984681651,5783.017294907797
1600,78838722.09638047,5594.111051681937,5006.556642068321,5868.147706481013
1700,78838393.79261702,5620.151111007903,5064.758264120505,6029.653098300845
1800,78838382.26449454,5678.602613086969,5108.272209715677,6055.828378205293
1900,78838253.2354084,5705.575831132857,5122.613503192705,6214.468507256521
2000,78838019.19680527,5741.420599562182,5146.259698067634,6270.473960665492
2100,78837942.86308596,5769.999927796408,5211.684967401145,6322.289348479738
2200,78837738.28791367,5816.250470574882,5202.765289683066,6401.737427870745
2300,78837343.69654714,5884.155364140562,5243.890533819182,6483.091128989526
2400,78837403.91434574,5907.223909185121,5286.167527785414,6559.134321526872
2500,78837109.37896287,5948.347923044656,5353.788564691002,6662.833654748733
2600,78837002.26922144,6004.86790255186,5394.245775566234,6861.242380687234
2700,78836739.05470504,6010.225001860642,5396.040367125615,6918.9170429682545
2800,78836564.03817627,6056.43618274992,5460.216366915843,6940.09481928014
2900,78836356.25133274,6107.640343112574,5482.311525732671,7124.123475418643
3000,78836270.37755352,6124.294711184765,5502.622037423735,7193.430978385613
3100,78836138.02995406,6178.081155720366,5547.9829555442275,7249.5417140555055
3200,78835792.02512693,6224.1938784055355,5593.584841863733,7408.8745024558075
3300,78835644.19722669,6275.391481135681,5625.062224775706,7443.164407538895
3400,78835511.63001716,6307.062246726071,5675.744616036412,7549.258426858659
3500,78835249.4958398,6362.417327206186,5739.756259580067,7675.500329860378
3600,78835128.54798986,6387.47604020748,5759.891384188916,7742.463840165258
3700,78834894.74213599,6434.018104113582,5818.561649416103,7904.662175961936
3800,78834712.7549829,6459.684811876128,5829.684810113574,7941.458633059012
3900,78834414.75707091,6514.596788114483,5891.26837831853,8080.885589098058
4000,78834421.73448965,6555.262404039608,5900.55318362013,8134.687842968809
4100,78834128.94953027,6598.323109144808,5943.299920305766,8288.336711629392
4200,78833878.07499655,6614.866815374349,5989.834363274295,8408.84977495926
4300,78833601.43578528,6671.441778900532,6052.622504888776,8532.932116541508
4400,78833601.4200396,6705.4705587425215,6072.212345473706,8550.003209761626
4500,78833409.31033726,6738.71926597167,6114.810128929563,8739.622486700795
4600,78833088.18865648,6813.306100291005,6143.017906499548,8832.913534978488
4700,78832806.1935998,6839.0601275489635,6233.0446167985265,8953.05773691577
4800,78832708.157238,6882.446869182702,6241.526581074572,9040.269756035173
4900,78832440.23094152,6938.77622961151,6307.820079076349,9147.792966184825
5000,78832302.61257155,7016.153002318786,6340.315753849585,9222.624073738241
