milliseconds,Susceptible,Infected_strong_immune_system,Infected_weak_immune_system,Recovered
0,78841139.77151649,5042.90414689862,4504.753567164373,4571.642027473839
100,78841176.20107701,5106.122219313272,4496.585661898505,4645.816603102728
200,78840945.20604566,5142.006055969917,4529.734125644404,4792.604447209328
300,78840877.3154947,5142.526815728127,4601.156752082526,4868.205345525566
400,78840653.68445921,5164.154594275327,4597.669986987702,4891.726384973541
500,78840380.50140098,5219.307467316449,4631.484017997023,4979.529989089037
600,78840197.8552861,5266.76200782908,4688.627888157576,5070.456920589185
700,78840133.05859198,5283.212216623323,4710.889055733882,5213.428048840652
800,78839915.82637365,5299.006624799205,4734.254350492051,5214.137072582563
900,78839815.22235368,5355.070422763966,4756.645251557238,5281.384051177748
1000,78839762.57808988,5380.134372342215,4797.966976471379,5429.62946157418
1100,78839586.08437592,5434.822470335348,4834.158375188473,5432.440277879135
1200,78839359.95933555,5440.853345143349,4874.849600825877,5596.999919253249
1300,78839275.84236939,5472.549643372032,4936.82982920568,5704.714903348749
1400,78839026.40125218,5513.344835831147,4923.190316161034,5714.208518321656
1500,78838858.767369,5561.919342797728,4985.004103516476,5867.1104574764495
1600,78838674.89393088,5623.758585244471,4996.52674072592,5898.680152861465
1700,78838601.53316139,5659.291662522135,5041.911901022903,6045.98733067293
1800,78838342.92455237,5681.590801500453,5091.996509848177,6088.307802529338
1900,78838091.17657651,5740.799223419815,5138.224567355072,6230.032219535331
2000,78838060.36440684,5744.153736818991,5137.025441242343,6301.833743199372
2100,78837747.20725049,5763.0404301467615,5186.655696298321,6414.369301660015
2200,78837638.3235462,5804.101192846131,5221.494394645771,6375.682854653393
2300,78837490.59293664,5893.154384364082,5282.9244081315255,6567.203070015324
2400,78837168.47168583,5905.389022795977,5286.3584459368785,6626.9291218897615
2500,78837217.85985346,5938.707096819777,5352.187034240633,6650.125589271231
2600,78837062.05263661,6003.495582558518,5382.65390514513,6784.233096666349
2700,78836888.11004713,6015.614389198096,5416.642696404826,6901.195345738045
2800,78836469.25708742,6081.721497973552,5452.52668019823,6924.0184153135515
2900,78836495.44331585,6083.755068370971,5482.912366911774,7061.16877910244
3000,78836086.39546855,6136.646880168957,5540.935291457512,7154.287831446041
3100,78836147.68817005,6163.607990347522,5586.33102510622,7301.067489898708
3200,78835897.78441781,6241.578896394498,5608.340779324833,7400.274466961343
3300,78835562.4478089,6246.042567573968,5614.853122961147,7530.181066000573
3400,78835595.56202585,6295.812851135223,5702.075990555463,7499.387987334548
3500,78835208.8523298,6335.595718355224,5739.956930035939,7633.485697396258
3600,78835145.98579977,6383.610495917965,5781.402886341539,7793.490485206833
3700,78834887.4752742,6425.614417965826,5785.153884166064,7905.707328375871
3800,78834747.0831247,6486.065792048115,5834.702082798708,8007.843774079706
3900,78834407.21328215,6533.370219202325,5869.28060673263,8016.449503486722
4000,78834428.68442519,6540.102129494654,5944.5084639325505,8180.527921764217
4100,78834092.33289167,6613.196508754676,5983.523250017698,8202.433876120493
4200,78833975.52349709,6637.294274937685,5983.221170510375,8334.80154438202
4300,78833614.12558854,6692.324730081941,6037.001638191942,8471.311655318159
4400,78833541.14693002,6693.289159156741,6107.643727967734,8597.79336881148
4500,78833427.50186743,6744.214408194671,6139.072893375851,8706.515691319843
4600,78833028.30685677,6806.512071338951,6165.130949610981,8781.381149513529
4700,78832871.1936805,6867.865197069028,6218.325426731802,8869.30106663149
4800,78832800.49517822,6886.288674742156,6250.065126312805,8931.004104298876
4900,78832440.8813804,6921.123916666867,6297.172217095725,9054.22005167806
5000,78832157.2006901,6989.030183472965,6350.289580804019,9260.59012249591
