miliseconds,T,I,C
0,0.5001975804331761,0.009988843035753855,-3.997587998922473e-11
100,0.5008010844660565,0.00996314212191618,9.919780722399507e-09
200,0.501295783190963,0.009958698481371795,9.89060018431843e-09
300,0.5018581653287103,0.009913613607870258,9.914530001771955e-09
400,0.5020471706741041,0.009867564508032922,9.929090328307197e-09
500,0.5023830776642316,0.009856540385715566,9.795693787871253e-09
600,0.502801549412788,0.009813705324052601,9.850436462145488e-09
700,0.5037307988255828,0.009796090127143497,9.77069498697678e-09
800,0.5042081537516183,0.009753104433374927,9.745898433263658e-09
900,0.5043988306032672,0.009737936665385022,9.728413732273617e-09
1000,0.5049408128421631,0.009698455130145887,9.72950238660771e-09
1100,0.5054560359526337,0.009672260943959773,9.776647011624643e-09
1200,0.5057026780227947,0.00963921019849606,9.780754269226151e-09
1300,0.5065879177218668,0.009618986679212465,9.752585470602699e-09
1400,0.5072446508207397,0.0096025778057519,9.745601018009094e-09
1500,0.5076131717097533,0.009552004218121081,9.691783678273051e-09
1600,0.5083903351583992,0.009534032222311787,9.57695661741441e-09
1700,0.50879614815922,0.009511267834742477,9.579663433881616e-09
1800,0.5090308919620317,0.009474554488364446,9.540039216502742e-09
1900,0.5098991296667312,0.009436026422704427,9.64456333704364e-09
2000,0.5103553002790183,0.009438654665356157,9.511967445133705e-09
2100,0.5104498426774703,0.009375637919856489,9.592244071673004e-09
2200,0.5109947942117881,0.009350371513258522,9.55774840716266e-09
2300,0.5112517101129906,0.009350988578139792,9.514944683696293e-09
2400,0.5118122297635533,0.009300967735997477,9.488428383311141e-09
2500,0.5129000701935176,0.009285184759486134,9.437804312345105e-09
2600,0.5128361068803642,0.009231440336343462,9.509786906107154e-09
2700,0.5138666200997203,0.009216618926809673,9.397341044026757e-09
2800,0.5141425401437416,0.009185600518403347,9.435479954429372e-09
2900,0.51497933124805,0.009171271159276965,9.362466473688198e-09
3000,0.515362632962204,0.00913983586190198,9.437114385480762e-09
3100,0.5156562237846583,0.009122205845701538,9.330475856617705e-09
3200,0.5159385462815813,0.009075517821501235,9.288646037766624e-09
3300,0.5166584970180719,0.009048085577994636,9.308215645892277e-09
3400,0.5169394325013525,0.009027741290133302,9.283019031482624e-09
3500,0.5175957565505096,0.009010958956460046,9.312601476263504e-09
3600,0.5183932911435127,0.008969173285617355,9.292825849678795e-09
3700,0.5185971609075801,0.00893068376855013,9.284077911889086e-09
3800,0.5197197910064533,0.008931605379263316,9.167452982232457e-09
3900,0.519868930219237,0.008889974159355106,9.27003661742881e-09
4000,0.5206318544972711,0.008864182783897286,9.133989447146328e-09
4100,0.5211052869361197,0.008827775267837179,9.201296188683762e-09
4200,0.5212535962041455,0.008834317731433255,9.120635498208705e-09
4300,0.5222387172101506,0.008803150147083053,9.113473890539966e-09
4400,0.5223433512312669,0.008779581772226751,9.141026108457188e-09
4500,0.5229765698116552,0.00874330139211003,9.141640910062971e-09
4600,0.5233434529075026,0.008700006468833928,9.022932661991963e-09
4700,0.524360324135523,0.008695810975945175,9.11201185033573e-09
4800,0.5244634409227499,0.008661068817736834,8.987001520241533e-09
4900,0.5252220928792765,0.008627792381124258,9.005180429423138e-09
5000,0.5256151563473784,0.008623395562932703,9.026808526647503e-09
