miliseconds,Susceptible,Infected,Recovered,Confirmed
0,5999744.575834988,59.40784371465846,0.3388817597156138,4.2017145771753945
100,5999753.061285903,61.87274929343486,0.8072228223501383,3.256346957360236
200,5999736.65051769,61.68479563457516,1.8462981648141348,4.042015019722961
300,5999727.349397067,62.706041604368636,1.6843639896545028,22.325643497861453
400,5999713.567893741,65.03573292030899,1.8437359034070768,19.88494656728651
500,5999722.103304381,67.93281200198987,2.3611298288228104,21.75257974118893
600,5999708.719590514,71.34883417997182,4.440700805621153,34.480508455654196
700,5999698.925711336,73.12894417692976,5.002638825131834,36.82750368199913
800,5999686.426084407,73.69318836747176,5.718536173722864,43.36382876278801
900,5999669.457736764,72.70752556159847,6.8193094383017705,51.026451639661104
1000,5999662.290170683,75.91802098295085,6.850145436173398,67.34204872224846
1100,5999661.706953646,77.99424808661706,7.423552760184962,63.16809824045771
1200,5999640.124779653,82.58813566397745,8.943628675817154,81.99285699707657
1300,5999650.15353733,81.10548149990102,9.47430415787739,84.67619816565357
1400,5999619.078220097,83.2602713513646,9.39261230225077,95.61361803453005
1500,5999627.922338101,87.11306104391086,10.443359937472867,100.19526089489442
1600,5999605.132316963,88.4975503271972,10.897667634402627,100.17277916649329
1700,5999596.931466015,90.33109564703582,12.019065492905437,117.88659109608385
1800,5999581.724900366,95.15978010639137,14.407835994576505,120.23030885942526
1900,5999575.679960464,93.92603570604113,14.98801126276086,135.72692054051305
2000,5999551.181127867,97.13680484618301,15.163931891588565,146.11032930825226
2100,5999549.360001092,99.39869414885621,16.0922300635171,149.2329313342762
2200,5999544.420787285,104.42773706365236,17.4171239551724,152.39202107215266
2300,5999513.75094703,107.38346632286701,18.896609025676504,170.8776578631913
2400,5999503.785230947,108.56598201964535,18.79289302336018,181.96544116487644
2500,5999493.279592685,111.873990680177,20.58454741364001,186.27084578728753
2600,5999488.506619602,111.55282748575021,21.267261257967846,190.41485038427064
2700,5999460.694325403,117.28356114566088,22.35312232650375,205.05873739972853
2800,5999448.444396267,118.29648905868235,24.866654102942924,220.13135557735146
2900,5999429.325701296,121.97729491653354,25.01602705791385,231.83680333965603
3000,5999424.734239048,125.84136355130994,26.538099444263835,237.55306786978576
3100,5999399.88099329,128.07042360682667,27.338428766015088,249.59165753825582
3200,5999381.648176494,132.11170322170022,29.773653130030983,261.0686537492034
3300,5999365.501970451,135.00915087791086,30.332219629784497,270.7703332032524
3400,5999351.675611508,139.8490697648253,31.37282539897776,282.89906149096333
3500,5999336.780952762,142.77317226308122,32.83847935508162,302.76478966183936
3600,5999314.196481562,144.60964570789406,35.3962630971972,317.91887385523165
3700,5999307.568280219,147.85536934261384,36.23752855910966,335.94325304918
3800,5999283.736740984,151.56209968683976,38.098448438461766,338.0011200199745
3900,5999268.419892124,157.90829045034707,39.151708752879905,354.7801247253426
4000,5999235.756656659,157.84893494160755,40.45278469057735,374.8497454540249
4100,5999223.44222169,164.64826216218324,42.05907450409136,386.28222069461094
4200,5999213.6420111535,167.467365578672,43.22166459178349,393.73882881531915
4300,5999186.717128097,173.3763935552263,46.10661823590872,422.63711450213077
4400,5999149.12639763,174.3098718030569,47.64030052478877,426.25802784671185
4500,5999145.129478946,181.27564424988412,48.99695794964533,440.020863749508
4600,5999113.638359945,185.97278626402263,51.17449889845576,463.60064606181015
4700,5999085.107722161,187.94886840012296,52.62901101396667,488.52760307336695
4800,5999058.474160723,195.81151198553823,54.95498788512341,502.8074572295702
4900,5999042.223493416,197.3862321276033,57.61603129306477,515.667345213161
5000,5999017.078551573,204.0292105309378,58.54949988419044,535.3645549736892
