milliseconds,x0,x1,y0,y1,a,s
0,10100.0,38400000000.0,0.0,0.0,699.0,3.61
100,10099.98426249383,40478226451.17125,7.292115560501013e-05,269.5947747197947,723.2951439946289,3.609654572274137
200,10099.968393487285,40478168267.0528,0.0001458444325382622,561.8522952934967,723.3361369632743,3.609444844178857
300,10099.952420959875,40478110768.90633,0.0002187708398424743,854.1221013440543,723.3693252153645,3.609274140755692
400,10099.936364540536,40478043722.05313,0.00029170108540465937,1146.4071882862802,723.3959748630593,3.6091352244246537
500,10099.920239821358,40477978260.83933,0.00036463573187137344,1438.7097268901334,723.4174358876044,3.609022345215979
600,10099.90406019174,40477914535.51056,0.00043757526261592743,1731.0316846960404,723.4346995914948,3.608930565815676
700,10099.887836552136,40477849991.911545,0.000510520071409519,2023.374693696543,723.4485255108948,3.6088558667736144
800,10099.871577469501,40477784981.96513,0.000583470467999444,2315.7400118946393,723.4595528293485,3.608795088961207
900,10099.855290420806,40477719694.36578,0.000656426722867043,2608.128739107631,723.4683373840026,3.608745475176457
1000,10099.838980964509,40477654310.854904,0.0007293890373866995,2900.541693691716,723.4752932502238,3.608704975644312
1100,10099.822653474888,40477588880.5343,0.0008023575702393323,3192.9795215197587,723.4807445907086,3.6086719772496036
1200,10099.806311120625,40477523379.29414,0.0008753324366101274,3485.4426920691185,723.4849252308536,3.6086453114366415
1300,10099.789958021318,40477457855.87582,0.0009483137859860433,3777.9318137579494,723.4881405110912,3.6086234590034714
1400,10099.77359583983,40477392283.15856,0.0010213016792680377,4070.4471349266273,723.490512858017,3.6086058066527786
1500,10099.757227637114,40477326687.91397,0.0010942962277637085,4362.989108694064,723.4922690115678,3.6085912255505663
1600,10099.740854283215,40477261069.32724,0.0011672974637679731,4655.55786658684,723.4934733452397,3.6085793947455005
1700,10099.724477708578,40477195436.68758,0.0012403054577789677,4948.1536956642385,723.4942687494965,3.6085696022710083
1800,10099.708098295947,40477129792.543846,0.0013133202244051483,5240.776655382665,723.4946836518585,3.608561706870846
1900,10099.691717542948,40477064142.9302,0.0013863418185374359,5533.426969254333,723.4948289099923,3.6085551561762874
2000,10099.67533616425,40476998490.76073,0.001459370266822905,5826.10474574131,723.4947573943314,3.6085496865339537
2100,10099.658954394881,40476932836.722626,0.0015324055786286798,6118.810022905558,723.4944864078149,3.6085452111493064
2200,10099.64257295824,40476867183.93549,0.0016054477809052644,6411.542910451061,723.4940694926001,3.6085414631487778
2300,10099.626192231446,40476801533.91849,0.001678496888090022,6704.303467140602,723.4935346284387,3.60853830334758
2400,10099.609812467817,40476735887.66371,0.0017515529101259093,6997.091733459968,723.4929007179742,3.6085356382122145
2500,10099.593433764314,40476670245.50997,0.0018246158513598688,7289.907727055193,723.4921749479702,3.6085334318634983
2600,10099.57705695837,40476604611.01134,0.001897685742678182,7582.7515736596815,723.4914192245001,3.608531375382663
2700,10099.560682846266,40476538987.55723,0.001970762613461084,7875.623392874347,723.4906924052713,3.608529175025453
2800,10099.544310991972,40476473373.21571,0.00204384644881619,8168.523124023206,723.4899623554089,3.608526991451976
2900,10099.527941234544,40476407767.25921,0.002116937243699065,8461.450746530965,723.4892172397738,3.6085248838867603
3000,10099.511573243331,40476342168.23897,0.0021900349869437585,8754.406214895776,723.4884326837192,3.6085229741315388
3100,10099.495206517986,40476276573.98502,0.002263139661262807,9047.389458689227,723.4875717730912,3.60852144656525
3200,10099.478840388452,40476210981.60624,0.0023362512432472332,9340.400382556361,723.4865850542285,3.6085205481440363
3300,10099.462474562146,40476145389.86753,0.0024093697231158204,9633.438946614498,723.4854509226997,3.6085203866334212
3400,10099.44611301812,40476079816.108406,0.0024824952452677596,9926.505738639918,723.4844630639534,3.6085194946566492
3500,10099.429753069116,40476014248.72209,0.0025556277134975596,10219.600366906656,723.4834230883644,3.6085188630039817
3600,10099.413394578287,40475948687.19844,0.002628767123656055,10512.722814441955,723.4823208478025,3.6085185420121255
3700,10099.39703738638,40475883130.94602,0.0027019134707887194,10805.873060988439,723.4811445265582,3.608518590282691
3800,10099.380681613815,40475817580.444916,0.002775066760090579,11099.051127648836,723.4799030684032,3.6085189632861834
3900,10099.364328539104,40475752040.598694,0.00284822703876048,11392.257206702123,723.478691389102,3.608519189449138
4000,10099.347977540769,40475686509.06486,0.0029213942851042786,11685.491209664162,723.4774633468642,3.6085194978179644
4100,10099.331628766691,40475620986.441025,0.002994568505335204,11978.753161779614,723.4762299134461,3.6085198337360302
4200,10099.315282386851,40475555473.413414,0.0030677497064752397,12272.043091586553,723.4750036974624,3.6085201343983484
4300,10099.29893842037,40475489970.061035,0.0031409378897455684,12565.361004073757,723.4737861752718,3.608520392637872
4400,10099.28259655748,40475424475.13957,0.003214133043763332,12858.706853051432,723.472554547665,3.608520722581048
4500,10099.266257165402,40475358990.12775,0.003287335182981063,13152.080697261257,723.4713360017146,3.608520988683285
4600,10099.249920343544,40475293515.4266,0.003360544311581039,13445.482553744298,723.4701379576157,3.6085211541709583
4700,10099.233586196075,40475228051.45603,0.0034337604338919784,13738.912440145237,723.4689681928836,3.608521180513842
4800,10099.217254363995,40475162596.76725,0.0035069835383497363,14032.370309040823,723.4677999470487,3.608521199955096
4900,10099.200924289316,40475097149.11001,0.0035802136066236125,14325.856085289888,723.4665916150504,3.6085214181007617
5000,10099.184596599314,40475031711.015205,0.0036534506610159207,14619.369860118066,723.4653899780694,3.6085216035520227
