milliseconds,C,E,B,P
0,100005.99799644256,0.0,-16117.498720608712,5.239793984441224
100,100023.35586501058,0.0,95124.0505563708,916.9269293110624
200,100073.8340214501,0.0,107691.6113820028,914.3659626814077
300,100090.21157396518,0.0,164859.1206426816,907.4788749351709
400,100132.8486541234,0.0,229660.44516945543,910.8868581235262
500,100164.66932809491,0.0,354274.89236496226,917.4173577139687
600,100202.82847327822,0.0,386063.8071680238,913.39021073816
700,100231.34577540279,0.0,430362.2604196246,915.0872959534674
800,100250.69940972299,0.0,464475.95553462143,915.948582497564
900,100290.3722435429,0.0,581135.1206875759,908.3640490215838
1000,100345.09773111074,0.0,636612.4477901212,918.4458661476617
1100,100350.50299195299,0.0,660024.4193476734,917.8821365854474
1200,100384.25195615385,0.0,705376.4460979111,909.4028323019245
1300,100405.23923547698,0.0,830243.9850264812,912.0641708089734
1400,100487.58493572289,0.0,856522.322481985,915.4221326623834
1500,100505.83955562084,0.0,925496.4502575594,916.2060843217746
1600,100525.11626832366,0.0,951930.5027126983,913.2448509978005
1700,100558.55456926321,0.0,1030773.0673209465,913.8219233058509
1800,100584.30559011507,0.0,1083377.6372130592,913.0879020720776
1900,100648.6802633314,0.0,1137922.4196045173,914.8382550430879
2000,100660.28403889808,0.0,1193542.733194752,913.6101658943899
2100,100711.081116052,0.0,1228888.3848836503,912.747788041551
2200,100744.64326016234,0.0,1318679.9744050074,917.4663659332798
2300,100753.55627234865,0.0,1315460.2636027443,918.3960692150239
2400,100787.50586677427,0.0,1359863.2524584741,917.5770515213644
2500,100827.38298727367,0.0,1401681.5940878014,919.8829874515612
2600,100871.67425983923,0.0,1500565.5422915844,919.3734823859668
2700,100872.64909481649,0.0,1550956.5770218305,914.555559806485
2800,100948.36999790267,0.0,1586907.0055203596,918.771273707366
2900,100984.02393716776,0.0,1674089.6788230932,912.1003861758642
3000,101016.77750308509,0.0,1681358.105111395,911.1537129593142
3100,101047.12433251367,0.0,1696039.4824156794,915.0464802419306
3200,101069.87648652546,0.0,1810715.2396053409,915.9074496145781
3300,101118.17710969725,0.0,1816292.3899918464,907.9001750648607
3400,101128.11326453538,0.0,1894544.0051413265,911.3467363989398
3500,101171.44372437906,0.0,1925136.6612239038,909.2855089815372
3600,101181.76031956317,0.0,1937818.4519666457,909.0590096748165
3700,101210.4595688172,0.0,1990936.0516716498,915.519446967567
3800,101265.3611329093,0.0,2078607.7655428045,918.2083470942283
3900,101308.15714521597,0.0,2096885.4093069537,915.0028277398605
4000,101309.25543519475,0.0,2127557.8268371196,918.0359136330203
4100,101379.45160374946,0.0,2213320.3726395415,917.9682788359969
4200,101381.23064041098,0.0,2265243.429343725,910.0067473347638
4300,101436.5829930673,0.0,2246376.003463201,915.4353420536339
4400,101472.73826755224,0.0,2313317.6938593094,908.7449110205118
4500,101483.60546547282,0.0,2340727.9700017464,909.5067966822879
4600,101529.89715819819,0.0,2365582.216853421,911.7165977374852
4700,101541.95586215825,0.0,2474696.6960421554,917.1437325936057
4800,101582.95483923894,0.0,2491833.4488030192,917.5794465289423
4900,101643.86149860297,0.0,2538577.009360577,907.5150835583553
5000,101646.60934628514,0.0,2555398.6528080753,909.3288649092026
