miliseconds,C,E,B,P
0,100023.53292867243,0.0,10885.549721129308,-1.45584920419216
100,100047.74003434503,0.0,63443.4442837109,912.4132217547432
200,100050.38383501861,0.0,110351.4892193501,907.3615565793717
300,100091.0590306334,0.0,198162.2572945776,917.5355925408882
400,100113.5785114622,0.0,270358.5293986858,912.0993706056325
500,100171.662440963,0.0,342658.02061834413,912.7129132533221
600,100187.88897567656,0.0,349874.3660753264,918.1358573398256
700,100252.78960679985,0.0,402682.09546887345,910.2271848336682
800,100278.07325472632,0.0,499361.45528244186,907.4530209253492
900,100313.02847708433,0.0,578043.4005483384,908.6368519532977
1000,100348.82972128123,0.0,609151.7053218851,908.5969613158201
1100,100376.8388680553,0.0,696293.2371983182,911.8302533878793
1200,100395.25922751206,0.0,708847.9036838046,916.0689624071364
1300,100418.02457862867,0.0,759407.2274503524,910.4036308511595
1400,100487.41123075064,0.0,831134.7081611155,917.9387054640987
1500,100509.60915660704,0.0,885337.0570906219,916.8861609441052
1600,100506.13370731946,0.0,944986.0722172388,919.1877413956707
1700,100580.13200970825,0.0,986171.6436536467,915.5414730982942
1800,100608.03729407061,0.0,1074270.6931353835,908.7071895008139
1900,100611.89039691324,0.0,1105030.0031675815,907.8903612987075
2000,100658.56524067733,0.0,1163115.1400567186,910.6258057648372
2100,100717.9108218473,0.0,1196734.9414654549,913.7521700102351
2200,100737.21985980865,0.0,1295112.3499696956,913.8519430693899
2300,100740.56536143973,0.0,1356590.449190626,917.2240527833735
2400,100791.63502328855,0.0,1415437.3786097737,909.317221916972
2500,100822.77911953143,0.0,1448344.4440273838,907.4357853216749
2600,100845.26379383009,0.0,1476220.5698089802,910.4100890255368
2700,100907.57773373499,0.0,1519691.2971425985,909.964090415628
2800,100933.384957609,0.0,1606876.7859419398,908.9431799499674
2900,100943.71135854187,0.0,1661268.9455376405,916.9324973060528
3000,101016.5375297936,0.0,1714266.1191663553,908.5957355432773
3100,101005.85577678007,0.0,1719573.9446927037,912.0469700897021
3200,101079.24621455025,0.0,1769473.2214307468,911.0002041212298
3300,101101.33059787197,0.0,1806318.5743883778,913.312858023496
3400,101135.98477737364,0.0,1893773.4656225394,915.3038918833124
3500,101185.70349776972,0.0,1951621.0548371617,918.7041150618674
3600,101175.89395213447,0.0,1948006.4476837504,914.8103253489924
3700,101242.46565416262,0.0,2022778.2127605355,908.2750044940697
3800,101238.78636300293,0.0,2027020.4112112757,911.6005908764021
3900,101305.32149480835,0.0,2089917.4586224814,916.727059898881
4000,101308.77321282052,0.0,2164179.5415196437,916.3656415843855
4100,101385.77691001573,0.0,2217051.176447288,918.8990449143375
4200,101409.32741904457,0.0,2265663.212163794,912.0535310888752
4300,101444.76746318552,0.0,2280435.8130473285,917.9945228655116
4400,101448.28449449406,0.0,2289419.357477737,917.9683923862922
4500,101472.64773037437,0.0,2361294.742298008,912.6328722323485
4600,101543.84094232888,0.0,2372353.8688125997,907.2856589333069
4700,101577.84454151505,0.0,2450013.4631029237,910.3604771854613
4800,101583.73186303332,0.0,2469458.84080644,911.9609044313628
4900,101628.34605990737,0.0,2554975.1312527964,908.9850173256096
5000,101680.45103125877,0.0,2573181.5624582786,917.2233910923537
