miliseconds,C,E,B,P
0,99982.37793098319,0.0,-6732.524897870388,6.311230208305072
100,100026.3058231011,0.0,65448.36307403837,913.984311123329
200,100071.49552152732,0.0,155316.2028268815,912.0822086398089
300,100093.47131055377,0.0,223010.78499628877,914.0042783190889
400,100125.09140278798,0.0,273824.2186148309,915.0590531656138
500,100174.82182857627,0.0,348678.3806624937,912.9005918377185
600,100176.25851807217,0.0,389848.04236547946,917.882835268769
700,100254.63850179799,0.0,454799.8513433861,916.6219785730227
800,100276.3186556691,0.0,493935.85508032085,919.4017088846216
900,100290.8146861117,0.0,530073.1553377744,918.0906342069936
1000,100315.65404571577,0.0,640203.6305474618,918.0785693192448
1100,100348.51723536845,0.0,696965.4154916282,913.6213800530254
1200,100420.2256874459,0.0,729881.8896821622,909.763453728414
1300,100421.11452026463,0.0,803520.2499679496,907.867316991197
1400,100466.67436147058,0.0,857082.6866382959,910.0318118625646
1500,100507.62479815085,0.0,937783.6257277332,916.6416167232021
1600,100550.54794329416,0.0,972182.8125863995,911.2565266610828
1700,100573.27481841255,0.0,1022638.808258936,911.7459601695779
1800,100600.1569861211,0.0,1047325.8325027811,909.0701932536632
1900,100636.41302264796,0.0,1098492.7328812256,915.2829651511048
2000,100685.5007579673,0.0,1208872.6797309548,914.5187960567102
2100,100697.3711529674,0.0,1211538.4983520557,911.1014370841232
2200,100721.29940344322,0.0,1319670.2312484614,912.5780219024936
2300,100744.46796187607,0.0,1313191.9298874717,917.200160734531
2400,100802.30014560146,0.0,1385384.4830016627,911.8216930738588
2500,100835.07942389182,0.0,1444635.3774754521,908.6735677910724
2600,100837.77685109888,0.0,1523249.6473947305,911.4497081625469
2700,100877.15955441781,0.0,1545024.649751637,911.6828563347682
2800,100945.32645326761,0.0,1615416.4186862127,908.9625272378772
2900,100976.1596699514,0.0,1665784.6345615978,913.7849025820091
3000,100977.80082492916,0.0,1658269.0639288062,917.7882619381862
3100,101027.52059166518,0.0,1732060.3351909104,916.8307169766964
3200,101042.36306468215,0.0,1777719.0668378402,911.684438045438
3300,101070.32159647856,0.0,1791755.3824761945,912.4632898054745
3400,101116.98063959976,0.0,1889194.2412801506,907.5537968761448
3500,101181.8985272686,0.0,1944158.9669211514,916.2565754066533
3600,101218.71628037779,0.0,1947784.0783788522,912.4725821954848
3700,101222.55275904886,0.0,1972513.267019528,912.772306372604
3800,101284.99605774978,0.0,2075301.5486438072,907.5341010013615
3900,101282.20568038731,0.0,2124571.0225194953,915.98798272286
4000,101345.00991542554,0.0,2130777.3477785075,909.7707890928954
4100,101349.92625211125,0.0,2214320.886089847,918.6993164699588
4200,101396.2394397714,0.0,2196105.2847778294,918.7543422377073
4300,101419.10834682132,0.0,2240895.845130329,915.9642611170084
4400,101477.17243685632,0.0,2297930.69183781,919.857689147292
4500,101506.93619650153,0.0,2391944.914005461,919.8074275105783
4600,101533.5861909844,0.0,2427642.8963796264,919.1440917003738
4700,101587.11363554867,0.0,2436995.951788368,917.2834160112848
4800,101619.00090284515,0.0,2472501.940855998,918.3479326361775
4900,101649.64973233813,0.0,2525519.852253466,917.2494623918341
5000,101644.65655750677,0.0,2587185.798445179,918.7764993573064
