milliseconds,C,E,B,P
0,99980.40648843539,0.0,-25434.01368797316,-4.582074756935303
100,100026.5036753871,0.0,28157.834113368408,910.3890559729534
200,100079.82097668127,0.0,97921.70334821317,911.0011216502306
300,100106.51221250917,0.0,165995.48321819186,918.1778234670574
400,100113.75448777639,0.0,255805.52227059583,912.1214187740327
500,100157.57982283727,0.0,289331.17786395515,907.6645957587526
600,100182.30998458048,0.0,371046.95152791997,913.874061862683
700,100222.46154429838,0.0,440775.1097847098,910.4959449533181
800,100264.09919149031,0.0,513674.27037375973,913.1171063476746
900,100282.96489586384,0.0,538548.6135925597,913.073589528241
1000,100322.48287893679,0.0,611348.4428890944,918.1052135793483
1100,100386.22720772449,0.0,701969.1453474318,911.9001385040566
1200,100380.01178841705,0.0,748440.3159699775,908.2954341470731
1300,100449.7718615192,0.0,762964.3413754562,918.2850652933837
1400,100467.11640483126,0.0,856879.6974156458,908.4327457329516
1500,100484.41069720268,0.0,903141.0102176903,918.2549636742737
1600,100506.64779668745,0.0,941329.5572314234,916.9660427842609
1700,100561.97461363357,0.0,989268.351498635,916.5520070014593
1800,100578.24062672973,0.0,1051275.638594284,916.6307596906722
1900,100649.20127310717,0.0,1151149.228320817,917.4078696407888
2000,100672.61340178068,0.0,1210822.1829494433,919.7731519724352
2100,100685.17215730085,0.0,1268564.9313116006,910.6842967328671
2200,100707.97122920354,0.0,1291197.2628161383,914.8977871656745
2300,100772.66912180225,0.0,1302240.1554598887,908.7034653058247
2400,100819.58566236318,0.0,1375089.3828588424,916.4367998271152
2500,100812.94399984769,0.0,1399950.19946392,914.3768851531456
2600,100859.96327841692,0.0,1490672.984668534,909.0591069223801
2700,100883.48513347002,0.0,1561835.6677574364,908.8928842506386
2800,100913.55277898944,0.0,1602435.6005760313,919.0594168117092
2900,100967.71227926416,0.0,1633217.8611216121,913.421844383706
3000,100983.56010490541,0.0,1720556.4845836826,913.5312378240804
3100,101020.5716878865,0.0,1734450.2951883979,907.8483817565917
3200,101037.822126521,0.0,1806859.1928509586,913.0780138431485
3300,101113.07046470187,0.0,1844838.1485416458,908.2003592874078
3400,101135.92692465796,0.0,1847899.0659363659,908.9828668820362
3500,101161.7269943279,0.0,1889723.5070802623,909.2072018941041
3600,101173.14684000814,0.0,1979252.463416195,917.7487675276943
3700,101250.95027582592,0.0,2036104.8332800327,912.6894959411244
3800,101259.05752661139,0.0,2033642.73457547,919.011520292269
3900,101281.55798422993,0.0,2065883.1132401514,909.7023660940416
4000,101344.93885276356,0.0,2137656.362739733,914.6749747674489
4100,101340.02112859103,0.0,2178292.1004802366,918.9240926213197
4200,101389.34660987182,0.0,2192113.871321454,919.0012087137
4300,101435.5185014881,0.0,2287934.9456137517,919.8248173143778
4400,101452.28953543518,0.0,2295480.161702662,908.8879508892197
4500,101501.90650568128,0.0,2391043.7185880193,911.847223401465
4600,101543.26574281509,0.0,2403386.0199376037,908.3306941380499
4700,101572.81698530308,0.0,2406786.8302154155,912.7204816081318
4800,101593.68623614586,0.0,2455450.6914994568,913.6533243775291
4900,101624.6164110376,0.0,2513537.5343794595,914.6988561217981
5000,101669.05416348156,0.0,2593124.138481251,916.6526055916179
