miliseconds,C,E,B,P
0,99993.51740552677,0.0,-6699.42842045478,-4.503803130899163
100,100008.41026021853,0.0,39696.86938628553,919.0331429074286
200,100078.2324420325,0.0,125390.72164701889,918.762749686473
300,100086.76395312144,0.0,226576.53322245157,915.3500813516451
400,100116.59283044549,0.0,286027.1128121794,919.3496280800103
500,100161.34194074443,0.0,324061.3253395018,910.4739853794009
600,100209.90344756634,0.0,358995.8909214545,913.4166675328983
700,100212.42978466557,0.0,436789.97072060907,918.2507501150006
800,100281.33513424582,0.0,496813.048961059,915.9091777342228
900,100304.32074694695,0.0,585740.705931402,917.7936721736519
1000,100320.40504073953,0.0,603590.700594358,910.2464038920392
1100,100369.71714430895,0.0,666768.4357686134,919.8578186615224
1200,100389.37220540413,0.0,704978.8802362237,908.6696109878346
1300,100427.47696356349,0.0,818378.138036619,912.1764015110565
1400,100457.1314323553,0.0,877357.072277441,916.0743509657868
1500,100484.65972241825,0.0,910704.466980625,909.1412643592092
1600,100550.51244717727,0.0,940536.9784550305,909.7393194643178
1700,100560.23665088034,0.0,1046004.7468799836,913.8419886927212
1800,100574.40420555575,0.0,1052541.062651899,910.718503341914
1900,100642.82195907354,0.0,1114326.2190616834,912.9184098020977
2000,100649.2133847726,0.0,1204011.4765219963,912.6254433176266
2100,100704.00391201257,0.0,1253558.193335993,908.491399178021
2200,100717.52269400712,0.0,1310441.0006236332,916.0375735252031
2300,100772.64854854878,0.0,1343135.9209485347,908.1802136312567
2400,100799.4276978381,0.0,1403550.6159946246,910.5767865600403
2500,100822.60416313827,0.0,1410895.9737464937,917.9846014904109
2600,100881.30435377233,0.0,1462128.470430279,917.7283645025973
2700,100880.01704033813,0.0,1550718.8695184079,915.2009535610632
2800,100945.99092050076,0.0,1554023.5950475847,914.4324915162478
2900,100979.00220856805,0.0,1607631.8994168392,912.7082944206712
3000,100996.19116119263,0.0,1693708.377164427,909.9887141767404
3100,101022.16987746082,0.0,1748776.7057011295,915.0441271303004
3200,101056.94401406789,0.0,1813342.643308049,909.2736542076193
3300,101085.66951418066,0.0,1792671.5536520053,909.0474206913668
3400,101113.38514785189,0.0,1884972.8629163108,911.5112611455722
3500,101159.49978933908,0.0,1894476.6570574224,913.4561585409108
3600,101178.21693311373,0.0,1950851.2212424602,908.3260643652101
3700,101227.3815384968,0.0,1996968.0728632817,914.2344492971578
3800,101261.97295349147,0.0,2083714.1204823775,915.5862620162293
3900,101319.46806460462,0.0,2072141.3341219237,916.1923242205006
4000,101335.99609185394,0.0,2117664.6859512916,918.0620715037963
4100,101379.6682696342,0.0,2171427.4820205034,916.0395103533642
4200,101386.69358221153,0.0,2258934.202580836,911.0404081318271
4300,101427.20603884822,0.0,2287619.7559258165,919.1226164772299
4400,101454.25946989212,0.0,2295570.7809712826,907.6813005006784
4500,101488.04057567404,0.0,2392059.967008241,912.3289427222411
4600,101505.48672000875,0.0,2365706.9716769396,916.739014516314
4700,101574.78241986064,0.0,2441733.871133169,919.0888706024183
4800,101602.2975315034,0.0,2473299.4565517837,915.2874838660235
4900,101613.3225963049,0.0,2479974.775938489,914.956133576233
5000,101675.41637881391,0.0,2589869.8014450963,912.6014503728424
