milliseconds,APCP,BCKI,Cdc20A,Cdc20i,Cdh1,CKI,CycA,CycB,CycE,Mass,pB,pBCKI,TriA,TriE
0,0.670169066491495,0.0,0.6554932913596268,0.020078320193827316,0.9992342744675329,0.3159643997143483,0.009884599205447965,0.1674531860789214,0.07669593004867303,0.5874777304798998,0.009881903608534314,0.0,0.016768005909780264,0.31256930486597967
100,0.6562935386234635,0.0,0.6595766516167376,0.010281634502326165,0.9993980954632127,0.3393625303018461,0.007190745794624678,0.13217048906211565,0.060824282533722386,0.5872396654582072,0.010402434670124793,0.0,0.016295107564976763,0.32297809147790185
200,0.6551459048369463,0.0,0.6609662053672525,0.016287600090290677,0.9994898173429401,0.40120817145086884,0.005044045202943341,0.11164519246780606,0.05025885230673001,0.5879227661881895,0.010605168221133566,0.0,0.015330200768784925,0.3328011741780917
300,0.6260027751971208,0.0,0.6308943338034482,0.025053262513138243,0.9996047874787307,0.4637393486805257,0.003940799210390726,0.08809124901455939,0.041418822125547164,0.588426988882926,0.010266970962356452,0.0,0.014229519373107352,0.3410406696405318
400,0.6028669105772839,0.0,0.6469135096495848,0.03380639513687922,0.9996724753751125,0.49333949941944955,0.0029034965486162277,0.06991701481185462,0.0335141613112144,0.5881572169216113,0.009986534921630829,0.0,0.012831040309042195,0.3466701961208134
500,0.5954031788429945,0.0,0.6198263830060307,0.01476180141912602,0.9997244973793461,0.5512035740567823,0.0019769219732765175,0.05520166678089582,0.028295697976154856,0.5885638886955503,0.00898216425542504,0.0,0.012433601401928382,0.35080006365115457
600,0.5791714419746873,0.0,0.5938976553130496,0.020921884170919343,0.9997753581512476,0.6349444168411336,0.00169300761606448,0.04570349551989974,0.024644784601299048,0.5891654491171322,0.008569398769918328,0.0,0.010867951123848156,0.3536897103643906
700,0.5715954057485512,0.0,0.6008607813589694,0.019690825048584312,0.9998198306851864,0.6678403100296806,0.0013521574228248239,0.03879226808535919,0.0231296023013017,0.5895211537933008,0.007304370020621609,0.0,0.010059172427808849,0.35623757424194535
800,0.5344735845131499,0.0,0.5972309131768215,0.032505648244938255,0.9998575468425783,0.7725965666202452,0.0011631608468713867,0.033868025225433314,0.019830945751051637,0.5892916218638622,0.007053522396693581,0.0,0.00843193267495976,0.3560493170164949
900,0.496398991809667,0.0,0.5670649137950219,0.036654793143726806,0.9998682307334898,0.7824624357299343,0.0009288442132723852,0.027142727730518613,0.019196345053444044,0.5896314643124994,0.0063282247276628175,0.0,0.0075619853163761165,0.3599059406337422
1000,0.48115424595874895,0.0,0.5615517730559398,0.029148007445790998,0.9999033783937402,0.8586296910907418,0.0006831057001462157,0.022900624086622048,0.016252211590167855,0.5898507132768501,0.005053108533206197,0.0,0.007064138731703416,0.3605237978826346
1100,0.4911251154018393,0.0,0.5636850239849971,0.03111716898877263,0.9999039980292455,0.9397819075434904,0.000696674649299411,0.016422176860635986,0.016655083230126204,0.590701264788233,0.004990319008358919,0.0,0.0063940452596933225,0.36175908332260936
1200,0.4581424548747035,0.0,0.5227621132104812,0.033801300133984795,0.9999173123128163,0.9862724232672911,0.0004025052176300128,0.013702775284717618,0.015693380973581146,0.5905041677685784,0.004281539404789159,0.0,0.005871506337424799,0.36195890308935635
