milliseconds,Tn,Ts,M1,M2,Th1,Th2
0,1000.0,1000000.0,100.0,100.0,0.0,0.0
100,11586.098331149273,1047545.7836544787,108.55127159830316,98.03311380734054,0.08313975449324403,0.07901540271422045
200,23287.46113478442,1097348.2966705598,118.40676025755958,96.11113689146252,0.17320390185326207,0.15609182989502934
300,36192.50403456394,1149514.0217012176,129.81479964266913,94.2336204029174,0.27129730908063304,0.2312741816011777
400,50395.885978175036,1204154.3627868465,143.08076346473882,92.40016050753118,0.3787397774874519,0.3046068111096986
500,65998.87515948404,1261385.8039768813,158.58257137663048,90.61040239476706,0.4971169439802148,0.37613357210925835
600,83109.79592524172,1321330.1187809254,176.79093914806649,88.86404579947327,0.6283458009758498,0.44589785962823747
700,101844.47611585037,1384114.5603670778,198.29533192757995,87.16085171724396,0.7747564969695498,0.513942655482085
800,122326.7173606187,1449872.0357656318,223.8388778880645,85.50065096088393,0.9391996325335978,0.5803105832270155
900,144688.7893389752,1518741.266334263,254.36458910817237,83.88335509293412,1.1251849719463356,0.6450439689106457
1000,169071.94361550297,1590866.9193935068,291.07734724402525,82.3089704689093,1.3370628976683974,0.7081849116875598
1100,195626.9444829378,1666399.6974375504,335.52731204909804,80.77761649249491,1.580263411616535,0.769775367054377
1200,224514.61098420326,1745496.3628185382,389.723747175077,79.28954929032697,1.861613159946771,0.8298572462690821
1300,255906.36177978865,1828319.6695301002,456.29024976151715,77.84519303604563,2.1897593900764525,0.8884725372010128
1400,289984.748687001,1915038.157188664,538.6791291981116,76.44518135962564,2.5757410292885448,0.9456634534510818
1500,326943.95931819174,2005825.7498216655,641.4666461846593,75.09041322801598,3.0337636102877017,1.0014726214470449
1600,366990.2514300514,2100861.059935099,770.7679199410787,73.78212653627182,3.582253310856875,1.0559433168493286
1700,410342.27922243543,2200326.2705624937,934.8191417805352,72.52200037008141,4.245322612005403,1.1091197713878354
1800,457231.2291396292,2304405.3907459173,1144.8011633709073,71.31229629828579,5.054818063128847,1.161047577177757
1900,507900.6419746288,2413281.622157324,1415.9947513249426,70.1560481564232,6.0531384950295815,1.211774212054646
2000,562605.7636077126,2527133.376768662,1769.4272896320358,69.05733039399058,7.297248063188437,1.2613497511390395
2100,621612.1423120075,2646128.3416357576,2234.193591971002,68.02163120814299,8.864342017533177,1.3098278263537384
2200,685193.0723973481,2770414.675003755,2850.704197743402,67.05637563543849,10.859898898319464,1.357266936642891
2300,753625.2735398901,2900108.0235857125,3675.153335053895,66.17165806188622,13.429129996594249,1.4037322491975854
2400,827181.9335335254,3035272.587491543,4785.446460983344,65.38126444168769,16.773196102669726,1.449298087642699
2500,906121.8690508278,3175893.888779208,6288.587662044242,64.70407836491437,21.171936271900996,1.4940513726012181
2600,990673.2551923062,3321840.7109352197,8328.718944285329,64.1659710307517,27.015041992660134,1.5380963574311721
2700,1081010.2673785395,3472814.3256977014,11093.206596233007,63.80222513301717,34.84312868212144,1.5815610661399282
2800,1177221.7651844558,3628286.268135364,14810.647695911937,63.66038986888216,45.39803276856717,1.6246058265662044
2900,1279273.920994174,3787433.8797180057,19729.37690714874,63.80310457177924,59.67623979373266,1.6674340816991382
3000,1386975.0009463166,3949098.0398989674,26060.69088010205,64.30978679945942,78.96896565593102,1.7103050544266214
3100,1499960.0551216805,4111806.861908512,33876.69109727245,65.27523500592332,104.85826055240136,1.7535466220035867
3200,1617723.2097845755,4273921.292388667,42982.80090603752,66.80291195064736,139.12925214576305,1.7975650253137343
3300,1739717.0609461644,4433923.265874443,52839.31139549045,68.99189341292454,183.57635546899877,1.842846598472516
3400,1865506.7049599302,4590779.579130462,62632.841910654526,71.92044549264766,239.739370854196,1.8899473506917963
3500,1994916.1627412625,4744213.815989637,71518.97183304596,75.63336698911091,308.6784780141665,1.9394704112929804
3600,2128091.4501991738,4894730.403076844,78903.2358965195,80.14015839330442,390.9074018478555,1.9920374596187753
3700,2265454.2771883234,5043386.763060242,84578.8476377438,85.42486133631918,486.5148107189415,2.0482637129483776
3800,2407589.014210675,5191461.414244792,88669.64688005872,91.46151746433469,595.392184491521,2.1087436969833013
3900,2555130.420678418,5340182.301246858,91475.44007536928,98.2279040976313,717.4522366400479,2.174049186996309
4000,2708690.831265105,5490582.842639362,93333.29335897448,105.71388094446985,852.7727828416765,2.244735957920369
4100,2868827.1010346147,5643462.396313046,94533.95926242539,113.92472698173621,1001.6651420412435,2.3213554696419414
4200,3036041.407056733,5799418.1972668795,95303.00911192593,122.88054968777679,1164.6777414265232,2.4044668732539503
4300,3210787.3681144165,5958883.266784753,95797.26145468431,132.6152795739717,1342.5917142677222,2.494648636117077
4400,3393485.713016055,6122175.948088974,96120.37596776638,143.17454483802666,1536.3948466854592,2.5925087945155414
4500,3584538.4298974173,6289538.731171201,96339.80507010805,154.61394428321495,1747.2591884591857,2.6986933828371784
4600,3784337.758527738,6461163.035365226,96496.65845847188,166.99813065791804,1976.5316096896547,2.8138939470261404
4700,3993274.890116372,6637209.915796955,96615.11237573744,180.3999422896883,2225.72328601989,2.938854478982739
4800,4211746.716737559,6817823.957538972,96710.36696800009,194.8999564628238,2496.5056231389126,3.074377384794772
4900,4440158.943054402,7003139.55215274,96791.54773732075,210.58660089179236,2790.7157001213627,3.2213295440752767
5000,4678928.515307179,7193285.541752373,96863.24330787057,227.5563711639283,3110.363500052838,3.38064868912457
