milliseconds,P0,T0,P1,T1,P2,T2,CC,Cn,Mp,Mt
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,0.0035973605164802834,0.0035973605164802834,0.00045197308487958664,0.00045197308487958664,3.8977852037365795e-05,3.8977852037365795e-05,2.1806708700794323e-11,1.403703179460085e-13,0.08759071567326385,0.08759071567326385
200,0.011928840119837518,0.011928840119837518,0.0027961107707720496,0.0027961107707720496,0.00041891962535142593,0.00041891962535142593,5.377010437843833e-09,7.370852492898626e-11,0.16072859511377166,0.16072859511377166
300,0.02279011195689403,0.02279011195689403,0.0074434180783481685,0.0074434180783481685,0.0014668118784706514,0.0014668118784706516,1.0475633583926841e-07,2.2827936703583224e-09,0.22615496851443906,0.22615496851443906
400,0.03503056480802469,0.03503056480802469,0.014150334264178022,0.014150334264178024,0.0032939930509602246,0.003293993050960225,7.403902754702123e-07,2.26749386062452e-08,0.28659643172025956,0.28659643172025956
500,0.04801538384318578,0.04801538384318578,0.02249295094540908,0.02249295094540908,0.005859563285646463,0.005859563285646463,3.054170036022849e-06,1.2259811825799517e-07,0.3434778166183441,0.3434778166183441
600,0.06138402056052437,0.06138402056052437,0.03205288037150362,0.03205288037150362,0.009060896325804993,0.009060896325804993,9.071349661331588e-06,4.559169852941838e-07,0.39765398630522225,0.39765398630522225
700,0.07492863956387502,0.07492863956387504,0.04247976716481491,0.04247976716481492,0.012786666743059826,0.012786666743059826,2.1666904225709217e-05,1.3194474589626767e-06,0.44968517567159133,0.44968517567159133
800,0.08852925994400365,0.08852925994400367,0.053502299181088925,0.05350229918108893,0.016939191165561387,0.016939191165561387,4.440198071010571e-05,3.1959457195872015e-06,0.49996188571400146,0.49996188571400146
900,0.10211775427010877,0.10211775427010879,0.06491983051030019,0.06491983051030017,0.02144049384506487,0.021440493845064877,8.132779488327998e-05,6.78511832087336e-06,0.5487689738620521,0.5487689738620521
1000,0.1156571550180368,0.1156571550180368,0.0765886583565092,0.07658865835650919,0.02623153741396128,0.02623153741396128,0.00013681461307629903,1.3022910789142683e-05,0.5963216916137772,0.5963216916137772
1100,0.1291294519841869,0.12912945198418685,0.08840853120678116,0.08840853120678124,0.03126920558565115,0.03126920558565111,0.00021542651344537805,2.3091558037080896e-05,0.6427872934485169,0.6427872934485169
1200,0.14252817427939973,0.1425281742793996,0.10031127080291166,0.10031127080291186,0.036522991745626766,0.03652299174562671,0.00032184231956796034,3.8423459851235434e-05,0.6882988051952477,0.6882988051952477
1300,0.15585389192784332,0.15585389192784313,0.11225189985069486,0.11225189985069513,0.04197207684424806,0.04197207684424802,0.00046081629768177193,6.0701394671637264e-05,0.7329640081050874,0.7329640081050874
