milliseconds,II_f,II_l,mIIa_f,mIIa_l,V_f,V_l,Va_f,Va_l,VII_f,VII_l,VIIa_f,VIIa_l,X_f,X_l,Xa_f,Xa_l,APC_f,APC_l,PS_f,PS_l,Vai_f,Vai_l,PC_f,PC_l,TF_l,TF_VIIa_l,TF_VII_l,TF_VIIa_X_l,TF_VIIa_Xa_l,TF_VII_Xa_l,Xa_Va_l,V_Xa_l,IIa_f,V_IIa_l,Xa_Va_II_l,Xa_Va_mIIa_l,APC_PS_l,TFPI_f,AT_f,IIa_AT_f,TFPI_Xa_l,TFPI_Xa_TF_VIIa_l,APC_PS_Va_l,Xa_AT_f,VII_Xa_l,V_mIIa_l,TM_l,IIa_TM_l,IIa_TM_PC_l,mIIa_AT_l,LIPID,alpha2M_l,alpha2M_IIa_l,alpha2M_Xa_l
0,1174.5,0.0,0.0,0.0,1.75,0.0,0.0,0.0,7.6,0.0,0.1,0.0,142.85,0.0,0.0,0.0,0.0,0.0,116.0,0.0,0.0,0.0,66.0,0.0,0.0182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.3,4721.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,170000.0,364.0,0.0,0.0
100,720.7013469317825,453.7986530682183,2.0843097906000964e-29,9.155791081063398e-27,0.008905674481882524,1.7410943254816698,3.09951231442282e-17,2.3626732796622124e-14,0.11193500766464201,7.488005957578821,0.0006632685074581222,0.09925861767665918,50.49959268222509,92.35039523812915,4.793607178486278e-10,1.1676845471455596e-08,9.759465482141025e-35,6.722243056860872e-33,0.7106955888020899,115.28930441119793,2.384452158474438e-57,4.877086148807324e-54,12.116269588188535,53.883730411811406,0.018062851453332696,6.60464224368646e-05,5.903471262744931e-05,1.1534859278308802e-05,5.32552324396926e-07,2.8532031612273515e-16,1.894974644567897e-24,3.6423334623661444e-11,2.072398151821512e-27,2.1399169036562846e-30,3.5275173674585336e-25,2.0904429633751606e-26,3.983284027069293e-34,12.29999999999851,4721.0,4.130865607858164e-31,1.4876921477476536e-12,1.159238652034688e-20,3.4437471173984335e-51,8.208271948244466e-14,4.013976001268206e-11,9.409288871055913e-30,1.0,1.2407626835952117e-29,3.6760250072937327e-31,3.9201365387501064e-33,97534.9408742124,364.0,1.1658099408644935e-32,3.852293070577697e-15
200,543.4392504241135,631.0607495758868,6.739822385196013e-25,1.5475093856434917e-22,0.006223523104285307,1.7437764756029621,4.041852917886519e-15,1.8539499240805776e-12,0.12074933768533068,7.479124341573716,0.0005531478982360094,0.09927946566202804,34.56531190913792,108.28464962837425,1.3587803344422654e-08,1.8627802480657305e-07,2.926581201975246e-29,1.0426793759511457e-27,0.5669350435611386,115.4330649564389,6.233846120691823e-49,6.483090653246193e-46,14.5752000916085,51.424799908391456,0.017906293675413694,0.0001291265932443519,0.00012631937080053726,3.447242940010131e-05,3.787931127571431e-06,1.3745064451346827e-14,4.484584833879253e-21,1.2908944242178677e-09,3.482199153402822e-23,7.792856272089365e-26,1.6668867212597534e-21,1.54367709399613e-22,1.3797957150169888e-28,12.299999999905165,4720.999999999998,1.5756813864941687e-26,9.483310957295852e-11,3.1701802613977793e-18,2.067354052291241e-43,5.2324004081058494e-12,8.704906479913933e-10,3.4274542381364015e-25,1.0,4.582293541963998e-25,2.745657816576263e-26,2.869081841170757e-28,78447.42234907835,363.99999999999994,4.446876752697113e-28,2.455661796018476e-13
300,454.9466689091576,719.5533310908429,1.5364515576835166e-22,2.5066647826624953e-20,0.007068042354170719,1.7429319491349193,5.479787565340854e-14,1.9429848739495533e-11,0.13777753468161136,7.462029626964845,0.0006293900262497981,0.09911488033158508,31.552237451439286,111.29769568594298,7.590924029162494e-08,7.772868805439905e-07,2.3231554130591198e-26,5.79738882290612e-25,0.6452288142832274,115.35477118571681,2.1835523277943594e-44,1.5596543468032666e-41,16.15030757524697,49.84969242475298,0.01775143602284693,0.0001897375043337663,0.0001928304825772317,5.605705932477707e-05,9.938930817962627e-06,9.926620156194532e-14,2.8495765061013616e-19,8.491424913899564e-09,5.6014834550313746e-21,1.929204824414609e-23,1.3863315815181795e-19,1.5384461995611138e-20,1.2346488644756568e-25,12.299999999142228,4720.999999999955,4.109077568033137e-24,8.577672750716959e-10,6.678993635310534e-17,3.080272967571719e-39,4.732743718421223e-11,4.032940579411402e-09,8.495310191131281e-23,1.0,1.160119483283846e-22,1.020392666128183e-23,1.0617217331680455e-25,69463.99177939666,363.999999999998,1.159660935829899e-25,2.2211637170712443e-12
400,406.3367892721136,768.163210727887,5.514569481765222e-21,7.266544920434783e-19,0.007660711288033183,1.742339258860987,3.1179062242979195e-13,9.462893415772263e-11,0.14915621760379055,7.4505851488278365,0.0006814842345768568,0.0989753785932404,31.65756490229356,111.19233857675175,2.320609787340345e-07,1.991728429854042e-06,1.9206427789451113e-24,3.820250796271222e-23,0.6992698718055658,115.30073012819446,2.350313202178339e-41,1.329131622713417e-38,17.131227625836633,48.868772374163306,0.017598240107282916,0.0002488991760667875,0.00025860808244250455,7.580613244018749e-05,1.8446501404020607e-05,3.6305583445756543e-13,4.667605717024143e-18,2.975603872868465e-08,1.6115646372194648e-19,7.394531839928803e-22,2.6016621241929718e-18,3.1747523201685765e-19,1.1357696984795624e-23,12.299999996300524,4720.999999999799,1.6591261806840107e-22,3.699467998383365e-09,5.24645972642282e-16,1.903918902496801e-36,2.0411996285771982e-10,1.0862224691410383e-08,3.262914524201178e-21,1.0,4.562072915039607e-21,5.162647921723869e-22,5.3622137630939325e-24,64718.235032110904,363.9999999999906,4.682374054751373e-24,9.579725470128389e-12
500,378.27021846047575,796.2297815395247,7.695720909553471e-20,8.773363404490689e-18,0.008043197804988429,1.7419567264934728,1.1267812145670473e-12,3.091293395403543e-10,0.15646771980829435,7.443208515068788,0.0007147996412646859,0.09885556649496106,32.44663285460324,110.40323940325031,5.21451046506389e-07,3.988724949291563e-06,4.9708528143626586e-23,8.450325335953161e-22,0.7341160655150011,115.26588393448503,4.410163411209611e-39,2.0975339119440475e-36,17.73665248167273,48.26334751832721,0.017446623381269927,0.0003065504174904942,0.000323703499120565,9.425926286305618e-05,2.886343830951357e-05,9.439872093013325e-13,3.789966923557974e-17,7.539128177766552e-08,1.930169122959799e-18,1.0922222471745848e-20,2.2843156709427316e-17,2.9529757656310526e-18,3.255074753802841e-22,12.299999989132615,4720.999999999403,2.580226740159326e-21,1.0867374493419572e-08,2.4507976324570772e-15,2.3022010083657983e-34,5.996166098365471e-10,2.238234776369061e-08,4.833219680870925e-20,1.0,6.927586657835135e-20,9.4230030525338e-21,9.753702529347995e-23,62055.28461124159,363.9999999999721,7.281897473594885e-23,2.8141110889615537e-11
600,361.6007265010091,812.8992734989913,6.085509238836263e-19,6.259225259985213e-17,0.008285009225440714,1.7417148329552272,3.090759121087843e-12,7.917767557056011e-10,0.16108054062244526,7.438531181181437,0.0007355949233915386,0.098749168493549,33.236956443311094,109.61288276979028,9.750755194849855e-07,6.895159938040881e-06,6.353663754358815e-22,9.641378943902077e-21,0.7561406280148393,115.24385937198521,2.6771757810546555e-37,1.1263577291997167e-34,18.108872944374873,47.89112705562508,0.017296524613192116,0.00036262859059525254,0.0003881533272809441,0.00011183775400744411,4.0855712911930954e-05,2.0039863868817667e-12,2.0076921720906913e-16,1.5702446328220618e-07,1.365629758572642e-17,9.077500705614712e-20,1.2704870970443906e-16,1.7066219140613456e-17,4.578992996339787e-21,12.299999974697997,4720.9999999986085,2.2549941153758518e-20,2.5301987196934654e-08,8.321964831579958e-15,1.0080783887806212e-32,1.3960679967250417e-09,3.940675427317662e-08,4.0309412975315627e-19,1.0,5.925625121196692e-19,9.28271521341529e-20,9.561909924081653e-22,60507.27986632703,363.99999999993474,6.364028283310316e-22,6.552004007359562e-11
700,351.5328530267274,822.967146973273,3.3067139261891316e-18,3.152702809778317e-16,0.008436185963276987,1.7415635252793336,7.057192670040846e-12,1.7229220838149936e-09,0.16396059685868594,7.435587195209397,0.0007483393005686454,0.09865170489542927,33.860449918524026,108.98935427487751,1.616554741809016e-06,1.0814988657549493e-05,5.089256008247627e-21,7.092378480182585e-20,0.7699084918524507,115.23009150814761,7.884897724762559e-36,3.0136708883736067e-33,18.337541944949397,47.66245805505055,0.017147898850896817,0.00041714596056924514,0.0004519831554689436,0.00012880286840514658,5.4169160915171286e-05,3.721874842209676e-12,7.988159559465506e-16,2.8702740793730227e-07,6.820136795027132e-17,5.15428896007883e-19,5.219578669745952e-16,7.20519397393198e-17,4.014927349531253e-20,12.299999949521922,4720.999999997219,1.344547905920361e-19,5.0478046095624585e-08,2.2802009025120903e-14,2.2697604945980056e-31,2.7852070137060345e-09,6.260120086159866e-08,2.298082271488784e-18,1.0,3.4649911042958825e-18,6.07531256881114e-19,6.2245392804987344e-21,59587.390017407764,363.9999999998695,3.794573494981093e-21,1.3071489037738497e-10
800,345.38951543274686,829.1104845672539,1.3788587619749464e-17,1.2411614231913058e-15,0.008530157648413094,1.741469360889653,1.4152154593373381e-11,3.336693939007271e-09,0.16574896011293555,7.4337354570522045,0.0007560106297956338,0.0985601919324843,34.30801364255402,108.54175348697603,2.46409215224298e-06,1.5834329644441634e-05,2.9307655726041313e-20,3.8256311020458933e-19,0.7784659238385275,115.22153407616155,1.3963841105259584e-34,4.952801575844773e-32,18.47813823859015,47.52186176140979,0.017000712230437153,0.00047017071865606305,0.0005152111244160662,0.0001453035720514444,6.860234809690459e-05,6.288780889670581e-12,2.589150283362724e-15,4.781110819974002e-07,2.661796437388487e-16,2.2348889040297418e-18,1.7299515643960861e-15,2.4369063234527746e-16,2.5202422144516607e-19,12.299999909721327,4720.999999995023,6.113818110613313e-19,9.027861183859367e-08,5.358932825390667e-14,3.192616604766973e-30,4.981302237933297e-09,9.251740323031535e-08,1.0009680377151678e-17,1.0,1.547770805458278e-17,2.9768563360468723e-18,3.0334972601976303e-20,59032.91709256688,363.99999999976643,1.7254373796217754e-20,2.3378168041510465e-10
900,341.6166736577255,832.8833263422753,4.725631734481475e-17,4.067465037481021e-15,0.008588398114642612,1.7414108529130612,2.5777728584743618e-11,5.921776690077446e-09,0.16685652052708197,7.4325650522147635,0.0007605197543025652,0.09847271603187378,34.6137284654612,108.23599953731451,3.5321044393873487e-06,2.2024532232448466e-05,1.3206897852219924e-19,1.6373521697880046e-18,0.7837697006330209,115.21623029936706,1.665076158417255e-33,5.558310672125252e-31,18.564719280425283,47.43528071957466,0.016854938126467083,0.0005218008775075409,0.0005778505524820026,0.00016142149616707333,8.398893735960294e-05,9.904400114778376e-12,7.196352758968025e-15,7.430247279871529e-07,8.647144305802502e-16,7.928255716140827e-18,4.884205855252444e-15,6.989068152626368e-16,1.2320087070525794e-18,12.299999851094492,4720.999999991788,2.271234226486048e-18,1.489053870194235e-07,1.1229299687460384e-13,3.131470122820595e-29,8.216210681865542e-09,1.2961283019842404e-07,3.568488785055734e-17,1.0,5.65684226733539e-17,1.1754793081766598e-17,1.1919083118599018e-19,58695.51002322071,363.9999999996146,6.409861008872921e-20,3.856018864352708e-10
