milliseconds,v
0,4.144117720004573
100,8.840736491260355
200,9.295848755162693
300,12.688107679678426
400,10.204858202056272
500,14.223979288676222
600,16.791473889880287
700,24.689616128393073
800,30.735885829136674
900,31.121810337290263
1000,32.193708447730366
1100,39.467630476275744
1200,42.04555506596759
1300,48.058829669349194
1400,47.11557135659598
1500,51.44393712072476
1600,56.843144790363276
1700,55.12789244928039
1800,56.085605054752484
1900,59.23907834865074
2000,62.76901457575106
2100,70.31779604173414
2200,74.09938702521806
2300,80.27265387376191
2400,80.03902891797617
2500,83.90788205613464
2600,89.93017652806184
2700,87.77468963611683
2800,94.60406297609453
2900,98.70172130217945
3000,97.3822246558705
3100,100.40304879836667
3200,109.60146181603284
3300,109.47043952088842
3400,114.2763980428606
3500,114.2365146855319
3600,115.9349629300912
3700,125.63887395236779
3800,125.84512837181671
3900,126.52956375097912
4000,136.00177636532564
4100,139.4702329168223
4200,134.04013162842244
4300,137.5466798044309
4400,144.02939718208012
4500,147.54635067438977
4600,147.73523574345884
4700,157.20718159753173
4800,157.25223268186824
4900,158.04853053116275
5000,166.10720358169345
