milliseconds,v
0,5.736358115837182
100,7.9765212640547976
200,7.040088816442818
300,13.993570044461855
400,13.881607058856352
500,22.12031573823594
600,19.17138311418346
700,21.67093791451141
800,25.40734168062792
900,28.461549252708934
1000,37.19367237381873
1100,35.235430481013005
1200,41.79611844281216
1300,47.26641213655837
1400,46.25565141275332
1500,54.41245377071877
1600,55.84881410157141
1700,59.13994445702854
1800,59.867153177032755
1900,64.36675251014546
2000,70.16812196491608
2100,70.3110084250871
2200,77.32028576941158
2300,76.81682471434073
2400,75.02053187126941
2500,82.77269289491173
2600,90.11948082868928
2700,86.59624926476745
2800,97.4892838414356
2900,97.32829454767497
3000,100.66708874178748
3100,99.66680041373718
3200,101.33117423030112
3300,106.77746781366453
3400,115.92405331977761
3500,111.66506781338614
3600,120.03603036096123
3700,125.15665627171961
3800,123.69061094457079
3900,131.61046057356805
4000,129.68655245632615
4100,137.92093582733042
4200,135.29565182539733
4300,143.00406229010622
4400,144.04913740119935
4500,152.37680930339832
4600,151.46908488585115
4700,157.85184267538276
4800,155.17712489291105
4900,162.68344092382165
5000,169.95902415308572
