milliseconds,v
0,-0.6554195476649562
100,2.003651808207458
200,5.9882777309935165
300,9.923982959351004
400,13.35081320486348
500,17.859796515151682
600,20.708038824040774
700,21.49460051952333
800,31.042978945328635
900,29.086424816199138
1000,33.738555252703755
1100,38.542394225923005
1200,38.46352628771599
1300,46.04067294087658
1400,47.96041160513093
1500,50.969442604360665
1600,55.622097254546084
1700,54.614140774359385
1800,63.58701689206875
1900,62.25307621882613
2000,66.32929524647385
2100,74.06833060127862
2200,70.40669520173667
2300,72.71234800373432
2400,82.61618486421641
2500,80.48498014740042
2600,89.44003549863899
2700,86.56205924892748
2800,88.68212541448688
2900,99.03889419411087
3000,99.59592485311887
3100,104.91045376616245
3200,109.66941892736352
3300,108.83407760506547
3400,111.00168945637012
3500,120.08042075489368
3600,123.55824586203154
3700,122.54793981049563
3800,124.31405562440307
3900,131.80271385265826
4000,134.370184713106
4100,139.1928143911125
4200,139.84012485157552
4300,140.46927012507663
4400,143.53565065238962
4500,150.725122839496
4600,156.35513694069078
4700,159.7388070243542
4800,159.69464139581123
4900,162.0408554291556
5000,168.32352876139925
