milliseconds,v
0,-1.0428531583735006
100,1.5032774065260712
200,4.34490821788188
300,15.503538166601935
400,11.897137665575313
500,14.984251961572724
600,16.809166876615382
700,22.54580361963367
800,31.31377124866387
900,25.876486154742224
1000,33.804788997897376
1100,38.35588941442095
1200,36.57857392788575
1300,41.425453517916004
1400,42.72975332137445
1500,51.53044387178939
1600,52.79121082351068
1700,52.877475763477484
1800,58.672131079815415
1900,66.88302572675671
2000,63.039355349419964
2100,73.99591120118468
2200,71.81666860272132
2300,72.41069849122063
2400,82.61191333370441
2500,80.98221458041077
2600,84.45041230209753
2700,91.75207551732021
2800,95.60335756542588
2900,92.2733883442271
3000,99.35108178601081
3100,100.13244699986375
3200,105.43193563225805
3300,104.53459521871312
3400,112.03622671146573
3500,119.94112000537638
3600,114.82968139775942
3700,121.72325939278699
3800,129.623947694729
3900,124.44021295533415
4000,135.20522923153553
4100,134.18460831015474
4200,142.76172177715526
4300,141.85146665332203
4400,145.60318070270532
4500,149.7603619092676
4600,150.91423366491532
4700,151.7435090363897
4800,154.44097712395555
4900,162.54877385491812
5000,162.55270349426857
