milliseconds,T,E
0,100.0,1000.0
100,104.22770424797612,998.9908065092807
200,108.63499257372601,997.9832071491422
300,113.22974465351227,996.9771833424977
400,118.0200643989273,995.9727135641867
500,123.0143606720964,994.9697756908781
600,128.2212452393928,993.9683471565776
700,133.6498049426044,992.9684044333496
800,139.30954918809084,991.9699231213071
900,145.21039834670933,990.9728779696774
1000,151.3627005022817,989.9772428422998
1100,157.77726087841924,988.9829906578218
1200,164.46532476013496,987.9900934240602
1300,171.4386006247351,986.998522193033
1400,178.70939645095208,986.0082467859771
1500,186.29032845813384,985.0192363793817
1600,194.19487347340103,984.0314583934298
1700,202.436775169987,983.0448796870652
1800,211.0305296273748,982.0594655821353
1900,219.99131761401478,981.0751799995152
2000,229.3347150619917,980.0919860397943
2100,239.07720032349766,979.1098449706436
2200,249.23602361604762,978.1287164800476
2300,259.8291427226594,977.1485588147202
2400,270.8752770298568,976.1693286685144
2500,282.39375147160285,975.1909814702221
2600,294.40492649491,974.2134705718672
2700,306.9298501168143,973.2367478980649
2800,319.99066370019756,972.2607631802998
2900,333.6104306731714,971.2854642793774
3000,347.8132529910007,970.3107969565557
3100,362.6241687143338,969.3367050606794
3200,378.06951354571373,968.3631298556217
3300,394.1764940206216,967.3900108024924
3400,410.9736831075549,966.4172846400163
3500,428.4909365519148,965.4448855334228
3600,446.7591587316238,964.4727454999219
3700,465.81082483919664,963.5007934423248
3800,485.6797217272902,962.5289556151844
3900,506.4010741780226,961.5571553879801
4000,528.0116263428711,960.5853130941904
4100,550.5498154557955,959.6133457043351
4200,574.055617633857,958.6411670996984
4300,598.5707921927705,957.6686876207535
4400,624.1389895568084,956.6958138628795
4500,650.8056380561178,955.7224488767656
4600,678.6182415191487,954.748491613995
4700,707.6263302417638,953.773837013382
4800,737.8815586029433,952.7983758152067
4900,769.4379239124892,951.8219941515645
5000,802.3516550734886,950.8445737458168
