milliseconds,T,I,S,N
0,1.0,0.0,0.0,1000000.0
100,1.7623425212405561,1.531351234380368e-06,3.3813364172962886e-05,999999.9999661868
200,2.9316266830721895,7.546278479575623e-06,9.150069830746918e-05,999999.9999084993
300,4.6525893950918835,2.098692753706185e-05,0.00018498346167389212,999999.9998150165
400,7.10082310263269,4.61743562914413e-05,0.0003301812442212485,999999.9996698188
500,10.485760292363969,8.924489133348817e-05,0.0005478200231122011,999999.9994521801
600,15.053658902667777,0.00015867052349203748,0.0008643156705051304,999999.9991356846
700,21.09058685281588,0.0002658701858386785,0.0013127318676114828,999999.9986872685
800,28.925405199858407,0.000425919480929443,0.0019338127167843144,999999.9980661877
900,38.932749417986145,0.000658364749503022,0.00277708907660452,999999.9972229115
1000,51.53600791189932,0.0009881521135680256,0.003902060922536864,999999.9960979394
1100,67.21029658728493,0.001446674714243019,0.005379452739421457,999999.9946205476
1200,86.48542815995178,0.002072947832586735,0.007292543672077061,999999.9927074568
1300,109.948874731779,0.002914918139826749,0.009738571584327189,999999.9902614289
1400,138.2487221407646,0.0040309149461624765,0.01283021120671955,999999.9871697894
1500,172.096614727947,0.0054912511982870265,0.016697126380153502,999999.9833028741
1600,212.27069001212405,0.007379974020072834,0.021487592684623264,999999.9785124079
1700,259.6185022611335,0.009796781435614084,0.027370194968458383,999999.9726298054
1800,315.05993412253855,0.012859118342530874,0.034535601747927656,999999.9654643986
1900,379.5900979626412,0.0167044345367387,0.043198405081813065,999999.9568015954
2000,454.2822265222718,0.021492631452574643,0.053599034864064275,999999.9464009657
2100,540.2905531916767,0.027408701070881895,0.06600574571372254,999999.9339942548
2200,638.8531821903584,0.0346655599757971,0.08071667406489555,999999.9192833265
2300,751.2949485514425,0.04350708774897554,0.09806196623952476,999999.9019380343
2400,879.0302675441004,0.05421137406335018,0.11840597641136763,999999.8815940241
2500,1023.5659723879744,0.06709418646710838,0.14214953569285338,999999.8578504649
2600,1186.5041386702824,0.08251267054206644,0.16973229301411383,999999.8302677076
2700,1369.5448965537655,0.10086926055355161,0.2016351189189586,999999.7983648817
2800,1574.4892287317991,0.12261580075361815,0.2383825701324531,999999.7616174304
2900,1803.2417488920973,0.14825796046114853,0.28054543724636766,999999.7194545632
3000,2057.8134671759526,0.17835990929981219,0.3287433621779431,999999.6712566384
3100,2340.3245285972325,0.21354922021958125,0.38364751292801313,999999.6163524876
3200,2653.006939319139,0.25452201655864976,0.4459833181956812,999999.5540166824
3300,2998.207267007964,0.30204839351520996,0.5165332684224565,999999.4834667322
3400,3378.389322118857,0.35697812514721483,0.5961397836768496,999999.4038602168
3500,3796.136812646514,0.42024665266237726,0.6857081440275934,999999.3142918566
3600,4254.155975537274,0.49288135199858496,0.7862094788459655,999999.2137905218
3700,4755.278180892184,0.57600808728908,0.8986838141477084,999999.1013161865
3800,5302.462509938905,0.6708580598638476,1.0242431779417602,999998.9757568227
3900,5898.798304097246,0.778774959549788,1.1640747625394934,999998.8359252382
4000,6547.5076848554145,0.9012224218714354,1.3194441417365905,999998.6805558591
4100,7251.948042454762,1.0397917944291935,1.4916985406541587,999998.5083014602
4200,8015.614488174984,1.196210251083279,1.6822701616044964,999998.3177298392
4300,8842.142263063748,1.3723492634285128,1.8926795644930292,999998.1073204363
4400,9735.309162041764,1.570233157181658,2.1245390567970985,999997.875460944
4500,10699.037913923252,1.7920479311228632,2.37955612302313,999997.6204438779
4600,11737.398316685616,2.0401514029065284,2.659537039210652,999997.3404629616
4700,12854.609786506544,2.317081664966471,2.966390237107551,999997.0336097637
4800,14055.043506052525,2.625568514125876,3.302130088937205,999996.6978699119
4900,15343.22438599416,2.9685433800449705,3.6688804373787227,999996.3311195634
5000,16723.833527711082,3.3491494603950587,4.068878193359123,999995.9311218074
