milliseconds,Akt,RASSF1A,MST2,dMST2,aMST2,aMST2uRASSF1A,MST2uRASSF1A,iMST2,iRaf1uiMST2,aLATS1,LATS1,iRaf1,Raf1,aRaf1,ipRaf1,RasGDP,RasGTP,ERK,ppERK,pAkt
0,199.261567273778,1.6980182094315146,0.19787498224208525,351.02168619682425,190.09342410677317,114.25168004042784,0.23112938298718147,-3.353811413237111,183.47069250873886,189.89166573953293,6.787239200492199,752.9801218708633,-0.020001038175862164,0.3713357859637885,1.610476025725029e-07,299.7024925918781,-0.37329674838255866,2999.791194210812,0.7209147245012333,-1.8526998171186158
100,198.94924412407937,1.7312278234119811,0.0028679478755252973,330.76599178991967,180.2812801934397,114.31668985600332,0.22662574539161742,-3.527390434559185,229.24608060773303,189.55309486619262,4.497057178295215,700.1629716941776,0.046983820858861665,1.4266536486947996,-5.396680517053974e-08,293.9059071210833,6.035882699899567,2999.563656998758,-0.42778318929980036,0.559107892855798
200,200.81045717093716,1.8929771493868957,0.0002162240093272602,324.32921997271876,185.5475406979962,113.45978280762132,0.22429682024387118,-1.276669135390605,257.5348079013101,192.89830025042497,4.068420475988594,690.7871125104325,0.10474445603608071,0.03374152752399906,1.6424476383528154e-07,289.34567261259775,10.732835718181734,2998.828085158562,0.7855969313075664,2.038571277718307
300,197.83950504736174,1.5403313351717711,-0.0014177457056618438,303.8394086952978,181.04857384848336,113.78511454452297,0.22162453077484476,-1.3401272890468907,319.3201737125623,194.13241448732194,10.746482692121964,640.1203157133488,0.15244081498543227,2.617979279829206,-1.3615354195029298e-07,286.1356897758934,13.436845803038498,3000.0695164878357,1.0305372664107995,0.9349838643797569
400,198.92866297065981,1.4948106547568738,0.0021593720281788383,278.2786876411914,167.4218104556204,113.18580343265933,0.21829076796872382,-1.5837077438414062,368.50844890682356,193.44031835650603,12.044380382489186,591.6082845528753,0.1935593633408374,2.9195873141824933,-1.5677133538888407e-07,283.6302549058677,16.420120633506105,2998.5931524872544,2.732798032354607,2.568929647161176
500,195.82301861928184,2.5750256259557642,-0.002107322856699821,263.2597427362998,159.4978154803054,114.25906934224163,0.21976094487703915,-0.49479814212875833,383.95935388115896,192.6883748553597,11.392738977163928,558.1272338757179,0.24361150277540072,4.832868336630522,-5.7760504490068545e-08,282.356714715712,17.845059397883777,2996.3789429398134,2.570970829768842,5.328089619647573
600,192.26811842506837,2.207840882222464,-0.0017949490513597122,243.76961506196122,159.29523569800796,113.94353119230914,0.21413196454598463,-0.4081724983304495,423.1671331247407,187.2307295589179,7.7593473206072225,523.3500066288193,0.3405018223779074,6.1697589104460775,2.7664368328639453e-07,280.67198873437525,18.720621365602366,2996.4209645254055,3.6102012550445464,4.558573368256621
700,194.58926264929315,1.9858168741692064,0.0006633236348424304,228.9901688484002,146.44126307376945,114.12921913076586,0.21168785653780184,-4.139024679398858,466.5787852214711,191.59915980065503,7.023386167539279,479.41142297779265,0.33907823695043826,7.669879786301624,8.438042804018587e-08,280.1987023574004,19.694406707322575,2994.945131873963,5.5526485403554044,4.96611196793441
800,193.23928561719558,2.863684678199362,0.00016514408322075428,214.75484798259825,136.0323745205887,112.87030477346099,0.21064674749108833,5.346121189258522,489.2138658824891,188.88625479862168,13.838678192984418,410.66620890933496,0.4090394775689993,8.680920430110657,3.104418356543528e-08,279.5421196903244,20.77290999446793,2993.605256292198,5.2616738199079265,9.607541251215325
900,188.54896878499065,1.8352197748810983,-0.001471189127496981,212.91271519144783,128.34420665392133,112.75352543520829,0.2097744411093092,-0.14784611143119974,537.9487327119356,187.83803452097897,14.129683688270081,372.5950817592267,0.4431833000095807,10.143313564845156,2.480599012925425e-07,279.01430186571446,21.024578517295964,2991.992595271239,8.615613656966678,12.073486793757379
1000,186.59389226901297,3.047081608694916,0.0023769651601942424,200.09932035077145,122.65509810888022,113.44364173207669,0.2044632141787766,-0.6401242543801059,555.8655095325138,185.00353877124584,10.272857910744223,377.2423526192096,0.5275474993229764,13.914347882046265,2.602835819703655e-07,278.3006181700221,21.28379137860422,2991.30462137888,9.23207274311839,11.251134091180012
1100,186.0626596929309,3.315125350177656,-0.00245194043392115,174.9423087116538,120.27561522807386,113.49742283744985,0.20426378784930357,-2.144919904794546,608.1221683989072,185.49253043852488,8.508510850828468,322.06516359504286,0.5650184527607692,14.795045108442572,4.274420864698975e-07,277.9423069003614,21.70823594535546,2990.6729115839275,11.422023526989372,12.210281044901373
1200,184.40451026456213,3.3063510633982007,0.0013205606456262442,171.53071770084063,112.8705722354141,112.21516686445334,0.19948357112435272,-5.188098982567172,644.6844946058874,187.397682205128,13.136509482225474,285.15268502190935,0.61623755264249,16.471239936008967,7.082659127925748e-07,277.79731370841216,22.13288111939572,2988.482341661333,12.266419087318496,16.932460485930292
1300,185.83775268424452,3.7460600873717045,-0.0010684089758951053,157.43906829351886,101.96743831478362,112.23247962813136,0.20217365315742752,1.631519610922536,648.923814446673,183.30524556696344,14.222279984392165,272.7442150939987,0.6410877692199529,18.979898768980785,1.0578897695305674e-06,277.80972914324997,22.096055985281208,2986.027265181023,13.995674537480634,14.613327415651478
1400,183.40453190594286,3.9620273523323095,0.0016314389490150187,142.0840763210774,90.56730712608879,111.7743702185288,0.19788014162062917,3.9860120934866914,694.4717911217062,184.32726497799067,18.5941542992758,261.20394067601467,0.7405360590946533,18.93340818351001,9.820904036849387e-07,277.6199341210559,22.401835406642288,2986.2662592218935,14.606717967128915,18.138945572219512
