milliseconds,species_17,species_67,s118,s119,s120,s122,s126,s135,species_3,species_5,species_6,species_7,species_8,species_9,species_10,species_11,species_12,species_13,species_14,species_15,species_16,species_18,species_19,species_20,species_21,species_22,species_31,species_32,species_33,species_34,species_35,species_36,species_37,species_38,species_39,species_40,species_41,species_42,species_43,species_44,species_45,species_46,species_47,species_48,species_49,species_50,species_51,species_52,species_53,species_54,species_55,species_56,species_57,species_58,species_59,species_60,species_61,species_62,species_63,species_64,species_65,species_66,species_74,species_75,species_76,species_78,species_80,species_81,species_82,species_83,species_84,species_85,species_86,species_87,species_88,species_90,species_91,species_98,species_99,species_100,species_101,species_104,species_105,species_106,species_107,species_108,s138,s139,s140,species_68,species_92,species_94,species_95,species_96,species_97,species_102,species_103,species_23,species_24,species_25,species_26,species_27,species_28,species_29,species_30
0,0.0,0.0,1.685905279816698e-12,2.9575619146950624e-19,1.5800590907977523e-18,-3.9741388553570054e-21,-1.0797473472330643e-22,-4.9194025066849114e-20,0.0,12.170309988394862,-0.0733744653107688,0.0,0.0,0.0,0.0,999.9999999867007,-2.214935076968666e-09,0.0,9.989165155783525e-19,0.0,0.0,2.580527833148782e-13,3.436655847438957e-32,49.999999999701025,-2.527169769160163e-11,-2.0352601920614355e-20,1.538935489494769e-29,85.29105635920031,0.0,0.0,34.68182430553576,0.0,0.0,19000.0,0.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,0.3552140550857589,0.0,67.0,0.0,41667.0,0.0,0.0,0.0,0.0,0.0,67.0,0.0,35000.0,0.0,0.0,0.0,0.0,16667.0,0.0,0.0,40493.0,0.0,0.0,0.12554173921598694,4.473424494397664e-05,-6.652180690874954e-06,-5.794305950340268e-10,-2.8489117892013393e-10,999.9999999655961,-8.71857974492029e-09,-4.005382375737933e-19,-9.490167915993453e-18,2.4647442461146824e-10,2.387543556579246e-10,-3.8134724238957554e-14,-9.634505111001107e-29,-1.4649357743379778e-31,-9.572522120506426e-41,3.1745444949927757e-19,-7.306285683646515e-41,-3.160236512675526e-42,3.555447889366097e-46,12.0478386806883,100.00000000028098,0.0,0.0,11.923542363407499,5.270936090078929e-09,-1.1723072188393783e-20,1.1306394772778552e-22,9.455046571240728e-21,-5.075006991194588e-25,-1.3619512379809197e-25,3.2397723994108936e-22,3.8133143610576633e-25,-7.001525390144783e-22,60.0,3.106796146302745e-23,-1.5737820341510584e-22,-4.522668787260406e-24,-9.659784743575854e-26,1.5884044524712014e-26,4.4461809947126665e-26
100,0.0,0.0,1.9530285659514636e-09,2.9339058207344274e-20,7.3380958807298405e-19,6.09949905199855e-21,-1.5435705355336824e-22,1.5972982871389302e-20,0.0,10.55642038225291,0.08197000757345001,0.0,0.0,0.0,0.0,999.9999999981683,-5.508887390117914e-10,0.0,-7.002498300679717e-21,0.0,0.0,2.6332535290338536e-13,2.5410731828596932e-33,49.99999999980062,-3.181959514850432e-11,1.5355173794013422e-20,-1.3194987839704776e-29,83.43138671032222,0.0,0.0,32.33758473345268,0.0,0.0,19000.0,0.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,1.2224730138409488,0.0,67.0,0.0,41667.0,0.0,0.0,0.0,0.0,0.0,67.0,0.0,35000.0,0.0,0.0,0.0,0.0,16667.0,0.0,0.0,40493.0,0.0,0.0,1.4204162444970727,0.001155213788871138,4.625212605731457e-06,1.5698908322687015e-09,7.005407676696708e-09,1000.0000000353843,8.420240903016654e-09,-1.0655396289886446e-18,-1.859040099380957e-17,3.509541267194153e-10,2.2561365198949827e-10,-1.1640249042377716e-12,-1.3243816214309126e-30,2.5243928612507344e-32,8.201646069504116e-41,6.284791947536269e-20,-1.3007217386626627e-41,-1.1159918466655893e-42,1.0748190122826858e-46,10.854441296228742,99.99999999978252,0.0,0.0,11.94796014398211,-8.588835640092322e-09,-2.5970942217870603e-20,1.6998449909337624e-22,6.170519437483725e-21,-1.8100166049682735e-26,-2.2883106285617727e-25,5.666146164062284e-22,2.226044171774669e-25,1.1700091763204506e-21,60.0,-5.243826006901905e-24,-3.8876204959054955e-22,3.8802842456994855e-24,1.124752101124322e-25,4.787899658524776e-26,4.550495953015294e-26
200,0.0,0.0,-2.032767052234309e-10,-4.602659771571956e-20,1.4067430717155019e-18,-9.761183306604329e-22,6.75321194873527e-23,9.023254384191275e-20,0.0,9.490674576929866,0.18845675366444717,0.0,0.0,0.0,0.0,1000.0000000095256,1.8324469271484077e-09,0.0,-1.269513350169431e-18,0.0,0.0,-4.659112101969656e-14,-1.557983364089359e-32,49.999999999708905,2.8619981519710553e-11,6.852245999989226e-21,3.938443873466256e-30,82.64097793642071,0.0,0.0,30.819975897049478,0.0,0.0,19000.0,0.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,2.565364481463222,0.0,67.0,0.0,41667.0,0.0,0.0,0.0,0.0,0.0,67.0,0.0,35000.0,0.0,0.0,0.0,0.0,16667.0,0.0,0.0,40493.0,0.0,0.0,2.3311855605759133,0.00032527934033418373,-3.3959771622216377e-06,4.050984974924631e-09,1.4340775588666895e-08,1000.0000000354148,7.142440139053216e-09,3.1239781565661753e-18,-1.2119086208896211e-17,1.0988887964560988e-11,2.7900532645566997e-10,-1.0820511774374217e-12,8.163377821314164e-29,1.710436160042517e-31,-2.4551715374615344e-41,-2.8854084172724016e-19,1.4893317857441325e-40,2.779747953001113e-43,-2.6962599371031495e-46,9.785403439185385,100.00000000005281,0.0,0.0,11.758445549112656,-1.019902998115024e-08,-1.2986511595509842e-20,1.7170607347616724e-22,-8.018554481428074e-21,4.622311258398716e-25,2.9944333333418943e-25,4.752734780800862e-22,5.82027403920161e-25,-5.3568109577487845e-22,60.0,-3.750731921525144e-23,-2.4356803520020903e-22,1.1543230429070425e-24,-1.4056348157579248e-25,-3.366038929437603e-26,-3.2731743525007387e-26
300,0.0,0.0,-2.3137480872090254e-09,5.270243440676925e-19,-3.821017627056646e-18,-5.9663418568312975e-21,-8.95362831025113e-23,-7.88714861671539e-20,0.0,8.752849382041992,0.38682529345410377,0.0,0.0,0.0,0.0,1000.0000000146498,-1.3719678756330658e-09,0.0,-1.1396335810175054e-18,0.0,0.0,6.434582510256012e-14,-3.0412138702367233e-32,50.00000000010438,6.054704831251142e-11,-1.4106833601213612e-20,1.0046999583693004e-29,81.37105713755624,0.0,0.0,29.79920899488117,0.0,0.0,19000.0,0.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,3.3250004520354977,0.0,67.0,0.0,41667.0,0.0,0.0,0.0,0.0,0.0,67.0,0.0,35000.0,0.0,0.0,0.0,0.0,16667.0,0.0,0.0,40493.0,0.0,0.0,3.147756236696751,-0.001244866153377586,-2.0489645640732157e-07,1.9417579324892448e-09,6.8865220022074e-09,999.9999999868244,8.464080463634652e-09,-1.669156995776299e-18,-1.2797007422600744e-17,3.749962516290197e-10,1.1516075024363938e-11,1.189022175745664e-12,7.006180117961908e-29,-6.289633329934118e-32,-3.4909147263668706e-41,-3.197213675052186e-19,-2.9641518508333915e-41,1.692002064099634e-42,-1.0753386188553108e-46,8.970197417155694,99.99999999960393,0.0,0.0,11.7490724206561,-1.2061277253368183e-08,1.7103409163981662e-20,1.5020737603762184e-22,-8.432952167758109e-22,1.180456854456092e-25,6.811323588930111e-26,6.638175380203559e-23,-3.2132267504992593e-25,1.7031740772622278e-21,60.0,-3.2554149287442106e-23,1.1219042513929713e-22,-5.401133275730517e-25,3.856592694694216e-26,-4.598276259828746e-26,1.677168772963105e-26
400,0.0,0.0,1.4782244914943667e-09,-5.427922388606395e-19,-4.5830238021067455e-18,-3.228058937786479e-21,-9.445232491946475e-23,6.7857811151363e-20,0.0,8.367492509297122,0.28181229737349917,0.0,0.0,0.0,0.0,1000.0000000029265,8.368062340706919e-10,0.0,1.2030154613285008e-18,0.0,0.0,7.477464971061303e-14,6.565981273520857e-33,50.00000000018602,4.036915665054302e-11,-1.3014877520874191e-20,5.014784945950046e-30,80.07375821732897,0.0,0.0,29.835294476203455,0.0,0.0,19000.0,0.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,4.18394359028215,0.0,67.0,0.0,41667.0,0.0,0.0,0.0,0.0,0.0,67.0,0.0,35000.0,0.0,0.0,0.0,0.0,16667.0,0.0,0.0,40493.0,0.0,0.0,3.8959514920480682,0.0005282414745101721,1.511234867558101e-06,4.431058831961766e-09,1.749929593654516e-08,999.9999999663793,-7.138516085249974e-10,-3.1596082720842234e-18,9.006484536553289e-18,4.5407464936143895e-10,1.3144226021035087e-10,-4.3056128545687404e-14,-4.3039710132308485e-29,-1.174369953884625e-31,-9.213090977190336e-41,-2.237736830509672e-19,4.143253188266258e-41,1.697893415501548e-42,-1.0232399314278284e-46,8.036542063069508,99.99999999979423,0.0,0.0,11.710126196542644,-7.227921546420252e-09,-2.4286997385955045e-20,-5.849958549826016e-24,3.2881750325282494e-21,-9.616048281765363e-26,1.2770451668827812e-25,2.4281867204290592e-22,2.2709339615681e-25,-1.80314418809328e-21,60.0,-3.653680583765467e-24,-1.6896393784073998e-23,-5.967772828543719e-24,6.895124164432549e-26,-6.0520532625423446e-27,-4.836751558601764e-26
500,0.0,0.0,1.8668424163319285e-09,-6.002739749828594e-19,2.9420725555647243e-19,-2.718272172501717e-21,3.8893235476028827e-23,-5.324979968843283e-20,0.0,7.625558615820521,0.5338532252615145,0.0,0.0,0.0,0.0,999.9999999866955,1.2057989488479674e-09,0.0,4.5874260311462825e-19,0.0,0.0,-1.7753406479079429e-13,2.0262043243250864e-32,50.000000000149626,-5.677083380230212e-11,-1.976874056824658e-20,-6.59146021758099e-30,78.87151179773326,0.0,0.0,28.602296901576477,0.0,0.0,19000.0,0.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,5.6604639564371455,0.0,67.0,0.0,41667.0,0.0,0.0,0.0,0.0,0.0,67.0,0.0,35000.0,0.0,0.0,0.0,0.0,16667.0,0.0,0.0,40493.0,0.0,0.0,4.498757168982848,0.0021521265454148924,-4.958346321272971e-06,-4.986381650967299e-09,-1.7601550637974027e-09,999.9999999743629,7.301854727336006e-11,-2.1718695558186192e-18,8.778356942896461e-18,-2.57192621511326e-10,1.2153510292674367e-10,-9.61513228200205e-13,8.12113454387471e-29,-1.2814071045042272e-31,-6.706859545747125e-41,1.2771162787114534e-19,7.208786983983392e-41,-3.2250014921929606e-42,-1.2233691976849149e-46,7.384536003131622,99.99999999988455,0.0,0.0,11.495617223035925,7.1215340034339406e-09,-8.914766607088055e-21,-2.729556823683073e-23,-7.95491467544944e-21,2.5958687992682686e-25,-3.6615502350182015e-26,-1.0002807304437446e-22,-2.418798177205791e-25,-1.110880529863168e-22,60.0,-5.95247500905661e-24,9.98926329673266e-23,1.345914342198636e-24,-3.625579752382359e-26,-2.3725505273594148e-26,2.0774251728285713e-26
600,0.0,0.0,2.1954128989567557e-09,1.9292784048357523e-19,2.4738676900562994e-18,1.5532126441058697e-21,-1.4895763669188163e-23,-5.1179408390421056e-20,0.0,7.208858436869458,0.458911744129529,0.0,0.0,0.0,0.0,999.9999999938083,-1.515574397492702e-09,0.0,8.518380741524821e-19,0.0,0.0,2.321246055412738e-13,1.8625895976723743e-32,50.00000000012906,7.265654833727375e-11,1.8194397213834213e-20,-8.193343878894436e-30,77.75618224587052,0.0,0.0,27.5588080426129,0.0,0.0,19000.0,0.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,7.097879784343622,0.0,67.0,0.0,41667.0,0.0,0.0,0.0,0.0,0.0,67.0,0.0,35000.0,0.0,0.0,0.0,0.0,16667.0,0.0,0.0,40493.0,0.0,0.0,5.017683561644141,0.005678577854187314,2.817346484822954e-06,-2.503401584876896e-10,1.4879195113851012e-08,999.9999999952676,9.022898014120998e-09,1.9961527885445945e-18,9.553158449666108e-18,3.2378634447620523e-10,-8.41354658399908e-11,-5.4051993387040456e-15,-8.50165412289483e-29,1.6078106303554191e-31,-5.840927062597807e-41,-9.594084977426967e-20,-6.639883464721144e-41,-3.343371879893586e-42,-8.048967038323508e-47,7.196769693611677,100.00000000012196,0.0,0.0,11.347327505547065,-4.286503314197648e-09,1.222110339191221e-20,-1.0976239433649079e-22,6.956078324413033e-21,1.9253009516432775e-25,1.527786322591389e-26,-6.325370889709874e-22,-2.818599885489965e-25,-3.659713265381868e-22,60.0,2.4029301808598106e-23,3.5804537957481953e-22,4.19890783920122e-25,-4.6884029421409726e-26,-6.121019346438496e-26,3.08503881373113e-26
700,0.0,0.0,8.065914721399215e-10,6.675283577887325e-19,4.037619098027335e-18,-5.072221050546585e-21,1.7858705766616828e-22,1.1614578701291254e-20,0.0,6.549048652308695,0.7322539883194439,0.0,0.0,0.0,0.0,999.9999999884265,1.753208984532206e-09,0.0,-4.773151485503019e-19,0.0,0.0,-6.315650523729128e-14,-4.438299422778947e-32,50.00000000036807,-2.7455063918923016e-12,-1.7496327353600357e-20,-2.5667121204781764e-30,77.44824574079132,0.0,0.0,26.711364711431056,0.0,0.0,19000.0,0.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,8.264982001669319,0.0,67.0,0.0,41667.0,0.0,0.0,0.0,0.0,0.0,67.0,0.0,35000.0,0.0,0.0,0.0,0.0,16667.0,0.0,0.0,40493.0,0.0,0.0,5.363048921277023,0.005626161489359733,-2.6641431882506807e-06,7.331496291961737e-10,6.919324232931604e-09,1000.0000000385728,-3.1399058721882527e-09,-1.1306472164806413e-18,3.1654360079993118e-18,1.195479420028879e-10,-2.896742620981189e-11,4.547951783149602e-13,-7.931639673698257e-29,2.548210106415121e-31,8.701052519724041e-42,-3.962349743000762e-20,-1.5317942708530567e-40,-3.0482818137474734e-42,2.4971157594019257e-46,6.758453566587905,99.99999999977263,0.0,0.0,11.374466223649584,-8.900802830671394e-09,6.977696583588015e-21,6.605958210917417e-23,-3.467091424672219e-21,-5.271921702865514e-25,1.6935317847167761e-25,-5.818068188574946e-23,-1.00616811916511e-24,2.0895685376316405e-21,60.0,5.0614858556815996e-24,3.4877950398989215e-24,-4.785109840238345e-24,1.219893762199052e-25,-5.66295156917656e-26,-1.3117940858811742e-26
800,0.0,0.0,-4.637463796378613e-10,-1.7780743339692584e-19,-1.9510512589944875e-18,3.5048948151169735e-21,1.1794337453536818e-22,4.4947770794101336e-20,0.0,6.267163054260002,0.6288545798125247,0.0,0.0,0.0,0.0,999.9999999918102,-1.358653429495176e-09,0.0,-8.58455287164639e-19,0.0,0.0,2.6624435947447036e-13,-1.8326576100136634e-32,50.000000000170054,4.482602502855833e-12,-1.0741867424277098e-20,2.086360265481639e-30,76.69187306928227,0.0,0.0,24.777987080491176,0.0,0.0,19000.0,0.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,8.554905453739424,0.0,67.0,0.0,41667.0,0.0,0.0,0.0,0.0,0.0,67.0,0.0,35000.0,0.0,0.0,0.0,0.0,16667.0,0.0,0.0,40493.0,0.0,0.0,5.705655480951503,0.007036812380073171,4.842942024993419e-06,3.730357250588949e-09,-5.757616493665772e-09,1000.0000000250416,4.78396069760273e-09,1.0710267869033715e-18,5.278226384465515e-18,1.3764715530894914e-10,-1.2666782515736888e-10,6.052034010791734e-13,-4.5621806251844894e-29,-4.5490006153321513e-32,-3.092660515114252e-41,3.7223872618996623e-19,1.559565858883932e-41,1.5596850290053847e-42,9.487028383235784e-47,6.184547004586288,99.99999999979843,0.0,0.0,11.206842446295889,6.753841222762396e-09,3.3753860959842666e-20,-3.01927441931977e-23,-1.6880875202325513e-21,-6.588277192101024e-26,2.2718523606174702e-25,1.9380618061878832e-23,-6.416769197569602e-25,5.352899858009456e-22,60.0,-6.662468894346372e-24,2.3710411958734064e-22,-7.999990028461247e-24,8.321289673160145e-26,-5.216476298473717e-26,-3.173415693205968e-26
900,0.0,0.0,3.137250003406269e-11,-6.317238254563835e-19,1.2550709095583382e-18,8.632147150810137e-21,3.410386184280845e-23,-1.0462084719760748e-20,0.0,5.948598686102194,0.7110286886084681,0.0,0.0,0.0,0.0,1000.0000000015259,-6.7545772821586e-10,0.0,1.019996264408886e-18,0.0,0.0,-1.107833101678334e-13,2.3598568512821193e-32,49.99999999975831,1.6314947240276913e-11,9.147545502701362e-21,-1.3243133912134466e-29,75.05784358918912,0.0,0.0,25.079392227460623,0.0,0.0,19000.0,0.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,8.986559725468261,0.0,67.0,0.0,41667.0,0.0,0.0,0.0,0.0,0.0,67.0,0.0,35000.0,0.0,0.0,0.0,0.0,16667.0,0.0,0.0,40493.0,0.0,0.0,6.146481680353724,0.007963368847094565,6.212413003784024e-06,2.243651337673977e-09,1.1839958049889452e-08,999.9999999922774,-7.154238655880899e-09,-1.7858501684365536e-18,-1.8907091014930724e-17,4.5193428550214394e-10,-1.0134193001542029e-10,2.3617972168865576e-13,-3.1132749265210574e-29,1.0622875460489522e-31,8.371898052531124e-41,1.4931457308312081e-19,-1.0440484807858205e-40,1.3367036458306142e-44,-2.2936684856928655e-46,5.699060690206267,100.00000000034069,0.0,0.0,11.112924738808836,6.33730784509381e-09,-2.7474293415609357e-20,-1.5231024520942325e-22,-8.790499414234292e-23,3.3513388363718575e-25,1.7337695465895695e-25,-3.227083755072926e-22,-7.481180774414319e-25,-6.943959805835731e-22,60.0,-2.938322787086181e-23,2.9727076932886377e-22,-1.73205402837608e-24,3.8684072720863313e-26,1.4806892184733534e-26,3.4723721600723447e-26
