miliseconds,species_1,species_2,species_3,species_4,species_5,species_6,species_7,species_8,species_9,species_10,species_11,species_12,species_13
0,0.002427498042164845,-9.127191120190167e-07,0.0011649961575204099,-5.8767964760671154e-09,0.0008559861115107182,9.393240584722085e-07,-8.7822175469712e-07,5.136180344268296e-06,-7.070037283544042e-11,0.00520731411426115,-6.85378961895136e-07,2.29882995261408e-14,4.243349142773998e-09
100,0.008330688987152356,1.1175340859654706e-06,0.001533394212697124,8.406636687410341e-09,0.0013233700323966745,-3.297752708716697e-07,4.784754867438806e-07,-5.199217175581509e-06,-5.690528087071369e-13,0.005302100875634277,-1.467403905914652e-07,2.5050467796369753e-14,5.475854999616934e-09
200,0.009605857079602072,9.021939259624087e-07,0.0018798845256552234,-5.355988048489338e-09,0.0014956399790973826,3.5543056292266825e-07,1.0115519160279655e-06,-4.387585610330612e-06,6.875301471104645e-11,0.00585397616236751,4.5257961141954237e-07,-5.751074067021777e-14,4.5797571917480345e-09
300,0.013005443031802188,4.830717655012738e-07,0.002162282051086536,2.2968762564480045e-09,0.0018079747617819294,3.928368138766043e-06,-1.0612991254003398e-06,4.7296553062809135e-06,-4.458010436129106e-11,0.006168549660564487,6.318909164240246e-07,-2.859407063061046e-14,2.7604428134784574e-09
400,0.01623495299888625,-1.6560835620971062e-07,0.002424427908734412,-6.985960212199363e-09,0.0023772780020418073,4.394833185737268e-07,-8.35036782939903e-07,-1.6963665602159352e-06,2.1956057688268178e-11,0.0065216507013740824,-4.416467289196666e-07,-2.0209718686696896e-14,4.015213404311506e-09
500,0.01978290258179323,1.2402480475161367e-06,0.0027585744062809735,3.213601736219485e-09,0.0028497446018633152,6.458795926533636e-06,-1.9616680951173586e-07,4.049883625074867e-06,-1.3196581083408745e-11,0.006506528521919508,-3.9276971168202595e-07,-5.243610155201638e-14,-1.6530531060612263e-09
600,0.022160821687520763,-8.682095676316647e-07,0.0029150147292091493,-5.42261792585778e-09,0.003286005839636573,6.0712643478124056e-06,-2.59492585045904e-07,5.253997984905544e-06,-2.4068646488914437e-11,0.0068572662422482725,4.329195587439411e-07,3.579677906017391e-14,2.303035725096279e-09
700,0.029298530854966618,-2.837086673634694e-07,0.0035210816885904938,7.247976931135701e-09,0.00357097854065989,8.994887233301031e-06,1.942130325912894e-06,1.4628406416418156e-06,6.349093725469842e-11,0.007242479328381552,4.775538030516523e-07,-2.8548958816411507e-14,2.0847366255245844e-09
800,0.029384938013579453,2.2532226329464295e-06,0.0035212122604732317,5.379500205629464e-09,0.0035844599043222676,7.463208756705556e-06,5.538419927308155e-07,6.545415789619881e-07,4.801577666500819e-11,0.007589846900788855,-3.199746525357748e-07,4.12126035683658e-14,-2.81296991934183e-10
900,0.0361920111016445,4.85298640239831e-07,0.004034277722047289,1.2857564457706988e-09,0.004313597872895946,1.2156142976787497e-05,2.37835379521866e-06,3.5927142313326256e-06,-1.6208103450081345e-11,0.008020766908316034,-8.092280515566409e-07,-4.179449010990777e-14,9.414345252131958e-10
1000,0.035776601991695495,2.0656673918019983e-06,0.004227598937931875,-5.258592107011445e-09,0.0042382910252709675,1.2511815856657214e-05,1.3280739573833575e-06,8.227155441297352e-06,-6.697860804705787e-11,0.008339921341326906,-1.010175970875424e-07,-5.981055616867935e-14,-1.6765696505261177e-09
1100,0.04194577450112928,2.7378797040568276e-06,0.004787271470988153,7.298436892672674e-09,0.004937184185379918,1.3645765903783809e-05,2.9807554156012164e-06,8.227709260385764e-06,6.950014577093124e-11,0.008717649085648954,-6.786684954469953e-07,-2.9688311506771054e-14,3.4069350077601377e-09
1200,0.046779427317612525,1.9261724786764327e-06,0.00509688859969874,3.4367197041188673e-10,0.004996300373018865,1.7694540716864387e-05,2.3336931194661107e-06,6.78098569844336e-06,-1.705367678065665e-11,0.008923974374285215,8.916394966109628e-07,-1.5619016564373187e-14,-2.725190871668356e-09
1300,0.04797316046036555,4.684625443927355e-06,0.005446741550420587,9.995630786197599e-09,0.005229660229856324,1.9241546969887905e-05,3.1215694816309557e-06,1.0267422387450095e-05,-3.907194012105945e-11,0.009442162700776071,1.9274187482083238e-07,-5.82688201130802e-14,5.41511948252447e-09
1400,0.05047186839351684,5.060007047775258e-06,0.005491041877564556,-5.1884899705498305e-09,0.0058630008224297425,2.0113410059709128e-05,4.782888455917289e-06,1.2275632220616569e-05,-9.893690443992024e-12,0.009480449905664722,-3.828325764769701e-07,-4.9097519526021545e-14,-3.098377648938836e-09
1500,0.05536964655366867,6.9511237307358655e-06,0.006155441372475694,-2.129671351401872e-09,0.005949239231446666,2.566137430936485e-05,3.980137149902882e-06,1.7366731696345792e-05,-3.7585865128256894e-11,0.010237247943887464,6.990629274694177e-07,3.341597966505005e-14,-2.6844118733810855e-09
1600,0.06000320392152418,7.611239786613197e-06,0.0061219732562608625,2.6878344303237344e-09,0.006456988614491881,2.732391607635232e-05,5.287390249254279e-06,2.2000350016167474e-05,-1.0359643987399404e-11,0.010266528991152086,2.547832376672101e-07,4.51310801682333e-14,-2.6456484521506454e-09
1700,0.06000442819674957,6.824887615011514e-06,0.0066522392644115715,1.4789387425783377e-08,0.007030313871803073,3.0322512082472172e-05,5.554676907813479e-06,2.3448176457665682e-05,5.7067813774727204e-11,0.010559476040522422,1.5301274509848306e-06,1.8962932421849507e-14,-1.4044043063003468e-09
1800,0.06669039011293851,8.584669539894672e-06,0.006989788226782399,6.97213186454903e-09,0.0071477578616627605,3.514734618611981e-05,6.147025221600052e-06,2.6111687714274353e-05,2.8949556928383895e-11,0.01094193254683505,1.6560343857631318e-06,-1.9940888624331928e-14,8.701188990500938e-09
1900,0.07015782755724198,1.0293777748859049e-05,0.007059031706854432,1.1257624715487883e-08,0.007422341629015494,3.540836130352867e-05,7.796244356925495e-06,3.0848217477031656e-05,5.31979769024605e-11,0.01154102223679957,1.9045711128558706e-06,-3.7898043195974405e-14,1.6582554730562106e-09
2000,0.07225561146489552,1.0829474045071703e-05,0.007617155887866599,1.214962340164699e-08,0.007671035370535865,3.609094855392013e-05,1.0100650356386449e-05,3.453639741462536e-05,1.6582737339530925e-11,0.011689530827952344,1.4178495787178893e-06,-4.9158430532831366e-15,8.219487021989045e-09
2100,0.07608869529377428,1.4359059235944736e-05,0.007894852147628396,1.2131030117409646e-08,0.008189934979931996,4.118646826147929e-05,9.438297955528336e-06,3.899065127357798e-05,1.3371403680180287e-10,0.011980304137563754,2.017110751885918e-06,-3.4463711977300147e-15,5.393626539989926e-09
2200,0.07647526203203321,1.3849368342499098e-05,0.00801872309803973,1.322220471583108e-08,0.00859129227358296,4.502898598615152e-05,1.2466164539243484e-05,4.3152398726971216e-05,1.5526003251994514e-10,0.012253711313556927,2.4084946931006415e-06,4.9256761435301266e-14,1.3297884855755738e-08
2300,0.08017860802453153,1.8004204490615026e-05,0.00862494221716945,3.517765321515795e-08,0.0087798552229538,4.884006955900149e-05,1.2965041786151754e-05,4.291395457337101e-05,1.1531130716910481e-10,0.012625033849229224,3.636902213042391e-06,9.69649062526819e-15,9.352012313625368e-09
2400,0.08415328813171075,1.8740426350889482e-05,0.008792237368726426,3.687909419358859e-08,0.009180645497956105,5.421459138740234e-05,1.433321189571813e-05,4.855512434230453e-05,2.350834615562968e-10,0.013180748907105324,2.894029538543304e-06,1.7022978178412042e-14,1.193416559680432e-08
2500,0.0908060210093022,2.1427216265562052e-05,0.008952277104671065,4.080421166281219e-08,0.009496214503718623,5.375050197169305e-05,1.630118482415253e-05,5.8341904618551186e-05,2.589383234100577e-10,0.01355546461832574,4.658144794157341e-06,-3.5134368835188655e-14,1.4570204036212597e-08
2600,0.09078827474710391,2.285864256016541e-05,0.009156621359322664,4.7230117411581125e-08,0.009658595653849742,6.0055092410948915e-05,1.65672179866291e-05,6.530631474418682e-05,3.013440067661022e-10,0.013619697410438288,4.904163681216332e-06,-5.811488187931015e-15,1.971274384188752e-08
2700,0.09420290046012937,2.5149509755250573e-05,0.009843773615427247,5.4746149081871826e-08,0.010304967863766846,6.19851955689826e-05,1.968821299446709e-05,6.606450906933327e-05,3.683315131505708e-10,0.01388507220784158,5.327535433116884e-06,9.249970389296039e-15,3.198389611354721e-08
