miliseconds,T,I,F_1,F_2,N,E,R,V,A
0,0.9047980721178087,0.0045821816964671585,0.0009380422906360461,-0.011001623385750633,0.10190061880911376,0.2030865407748628,-0.0016596419601166699,0.40670006412853293,0.09959062262686952
100,0.653616444115413,0.22007764919273465,0.010665620745606702,0.03565975489522061,0.10044404827548083,0.20740417213189946,0.02060587770130668,0.5158533136093149,0.2729790084667917
200,0.38830176678096356,0.3829631986511523,0.03103395448456469,0.051860642577792375,0.11526613919009825,0.23089346488887666,0.07303972721315596,0.8414456931085271,0.44470181228219274
300,0.19852838025885777,0.474337436358226,0.05476846756137741,0.06134060093226187,0.14257199218591152,0.24111040365275538,0.1260881089784601,1.1282440814053651,0.5567062728819243
400,0.11846258103722329,0.46135254567474615,0.06916760458291968,0.07748266646439335,0.12474715037991273,0.2583906094415845,0.16015341136168354,1.2622632323686944,0.6100521417550118
500,0.0912962823695269,0.3953882816454797,0.07765017330030313,0.08925189080213998,0.17576699186481967,0.2848015269752233,0.18095812071767758,1.2650305507786699,0.6212328196779398
600,0.08450069795420381,0.33161187346396775,0.07579686448524471,0.10246502841181232,0.17037276362241804,0.31671367637538933,0.18932563283752069,1.1548173363235366,0.6340372028692686
700,0.09443705029300874,0.2733266266658414,0.06891087349905828,0.1335052544325656,0.21098514405394453,0.3270069741599982,0.18867049719945483,1.0293923461393093,0.6334009168766016
800,0.1013771451741879,0.22435168090141425,0.06124786814338117,0.12283319951827608,0.19005544213218786,0.3535018628076747,0.18644578996079397,0.8912728941087027,0.6335853703275662
900,0.1097015764489892,0.1867161184506266,0.05334727604737851,0.14405960432455833,0.2149116142758207,0.36866200362808393,0.18171671996747474,0.7339766844494262,0.6407446824472047
1000,0.10866335062952318,0.153993905086867,0.04677147299864126,0.16776981143666947,0.2383580985642887,0.39451600583659135,0.17459759785701232,0.5981199665370447,0.6416493184100492
1100,0.1217387792680183,0.12017585470579698,0.03984025477393509,0.18536372545419522,0.2636418167197017,0.4042007948004799,0.17049462625544365,0.49084297706881197,0.6407690321415451
1200,0.12718298443374473,0.0982975166624148,0.03252523034956528,0.20149453866724032,0.29492828613429645,0.42854958764275347,0.16399930634115092,0.40252058937590984,0.6538413549859105
