miliseconds,T,I,F_1,F_2,N,E,R,V,A
0,0.8983114663131089,-0.0049236858039947064,0.0011073841317426464,-0.004250567541609445,0.1046758776178,0.1931491655238939,-0.0021633992799473985,0.39678361938415835,0.10655392713369859
100,0.6471431042683197,0.21804752419308512,0.00951716534384343,0.030561437150741347,0.1237629457101629,0.20674272261241233,0.02100820679124905,0.5068889345986137,0.27451735594807963
200,0.39406090371711777,0.38573063233237287,0.029575823923417514,0.0645378270714424,0.1030446757890964,0.21830539290162634,0.07294824595285418,0.8353640277801273,0.43315564205694496
300,0.19979722999829844,0.4715953114481464,0.05309390665860179,0.07366169628314914,0.14837682540527283,0.23592480422850678,0.12199345012153323,1.1540819456445155,0.5507098201207266
400,0.11837334087124261,0.4495672096914687,0.06967840732559835,0.09793358725353685,0.15772418255825554,0.26466539347717727,0.16032449194997014,1.264412940898449,0.6057539971208333
500,0.08982627185685495,0.40338596929033704,0.07701510102098687,0.11196066135753938,0.17217334867272172,0.28545432963657225,0.1774858117222829,1.2669677028330708,0.6202964005764702
600,0.08660496391431016,0.33330552597783997,0.07491334862042666,0.1075326415227313,0.18691333449574668,0.31086117401779434,0.18767098935024681,1.1787164603060059,0.6306977067785916
700,0.09277455634796604,0.27694433648336897,0.07084154811420443,0.13431180323419695,0.2007924648817385,0.33310954068194787,0.18780253590514306,1.018951067959199,0.6339356881946843
800,0.0939107957173924,0.23149872976052274,0.06280852427901149,0.13330747600087067,0.21359107384517495,0.3429676146478514,0.18567662390905895,0.8884109936891343,0.6364311929418075
900,0.1063062851357647,0.17812160167201854,0.054963733500800846,0.15552752147362858,0.25113652749439247,0.3657367126600506,0.18219372163767086,0.7373263017320872,0.6400040428192659
1000,0.10918333888154147,0.14382948524619152,0.046330013439381465,0.1643634064072167,0.23714814705724147,0.39506970976280115,0.17691396885294425,0.5992818561934105,0.6375624537557658
