miliseconds,T_1,T_2,G,I
0,500004.07337202795,999986.4494388612,0.9953487827980555,1.0031682802978827
100,499966.2559506335,999932.6082667435,0.941398164240689,0.9776550793595399
200,499944.0155231558,999829.1378428219,0.8979828877937032,0.9601731278630325
300,499926.1001604348,999754.0071733816,0.8543005577502591,0.9423559696296024
400,499916.51704270847,999632.0991426151,0.7981074391951903,0.9297702697913953
500,499878.9860831534,999587.7063261111,0.7573313063992192,0.9190356966619883
600,499854.1689777316,999472.2491927868,0.725196377537112,0.9012117505048611
700,499848.39941306703,999420.5709247418,0.6764598410472635,0.8802688522079212
800,499817.21808805095,999305.0072957849,0.656581795535097,0.8666991301321921
900,499804.9920537821,999264.6029370786,0.6230971755488655,0.8613270937486124
1000,499765.31166904315,999159.1853452083,0.5780759261069014,0.8400919898011193
1100,499767.91702725005,999079.4343569,0.5590685457547903,0.8268445945421502
1200,499724.9919224543,999018.918529569,0.5303472346440644,0.8234541648094339
1300,499724.9355783743,998931.8282335114,0.5003620742620412,0.8038334771990429
1400,499684.8485302257,998926.5911447313,0.4771718818404831,0.7967889934797746
1500,499670.9007519667,998782.3274144403,0.4606248638458115,0.7869264837777177
1600,499651.1880608718,998767.3608228575,0.42617319643582097,0.7755991422507034
1700,499634.603900257,998648.1447286911,0.40194474948047315,0.7632069317202016
1800,499624.3687032651,998603.9686880214,0.39958042977696745,0.7594282428576624
1900,499601.6570617668,998572.5372967526,0.37910759982200826,0.7492751920067792
2000,499580.03047833266,998481.9539305457,0.36585133422378713,0.7419151290028065
2100,499559.0735401965,998450.3706081366,0.33139506669014884,0.7376432783168795
2200,499555.7640333413,998302.9965997676,0.31666868297242723,0.7303565071528897
2300,499538.9218118974,998288.9833880747,0.3083329420995324,0.7163439830942239
2400,499516.4712394881,998233.6622496143,0.2871117255837776,0.7133251847051505
2500,499486.3509998849,998193.8540371568,0.2903130940982696,0.7034034515085317
2600,499479.17576390575,998066.4203899472,0.2638803880877405,0.7005821554727338
2700,499457.85726630874,998077.7173306433,0.25976374451614276,0.6962228814283449
2800,499460.15660944977,997977.7995570658,0.2424331311686969,0.6875465304583017
2900,499439.6221338593,997909.1038524738,0.23624795227157147,0.6819690409487225
3000,499419.06392770715,997905.6204535225,0.22491316061177505,0.6827294461478347
3100,499400.34247906576,997839.0725370691,0.2359356227903851,0.674334914288775
3200,499383.1502755785,997725.2392444096,0.20345408266587892,0.6788842684402239
3300,499356.1485339795,997715.7136813116,0.21907301182956174,0.6760212791112455
3400,499346.6161645344,997638.7206170678,0.20209903614944552,0.6715171206125179
3500,499339.3188629331,997596.9398490905,0.18135196470142098,0.6652598392196907
3600,499313.26417842094,997578.1702963432,0.19752052490869096,0.6568689105620398
3700,499295.3420724233,997535.9387284059,0.19014046518468464,0.6604698625378191
3800,499283.35940758087,997470.6899127612,0.17825731652360727,0.658141469280959
3900,499285.8457770689,997424.8804292345,0.16543192503662457,0.6562797323969707
4000,499266.0419315586,997386.0378063461,0.16731727139352967,0.648515167334632
4100,499242.1884911857,997340.6245578562,0.16696548380629644,0.6494200095594674
4200,499242.1125849752,997279.2154334491,0.14514103230234623,0.6550458068653969
4300,499206.97129276354,997211.3483066568,0.14562518211773168,0.650093712836804
4400,499204.745836658,997138.2415271482,0.15154746819411385,0.6457401494694178
4500,499178.4677289924,997107.2232973839,0.14183016000830168,0.6472551628590668
4600,499165.71788786486,997054.4949870948,0.14485204861589585,0.6424540922132134
4700,499157.6851307131,996989.9906771651,0.14038668529727644,0.6448209299036461
4800,499153.07391096395,997008.0196199882,0.13530381001220326,0.6410734825184048
4900,499118.1579831979,996934.8250620246,0.1368327796561817,0.6497964376308362
5000,499123.2099355925,996875.6626496216,0.12759948632044546,0.6482307982232628
