milliseconds,T_1,T_2,G,I
0,500004.54936415964,1000009.7936441345,1.0028004283493297,0.9999099217017062
100,499981.85313844687,999925.1450081166,0.9570891809487836,0.9786840513590127
200,499960.2453876339,999864.6444881163,0.9054813607473283,0.9599222770948012
300,499926.0684108256,999793.6120073862,0.8515576209723003,0.9415901637893077
400,499910.35619678145,999674.8960211003,0.8021413185016968,0.9339380151272028
500,499890.2742046743,999593.7872575347,0.770667131485385,0.9095721789900247
600,499864.2012008209,999526.3501135786,0.7154018387477483,0.9012756425253002
700,499834.3620021244,999405.0510658835,0.6755237114252017,0.8855934201328777
800,499813.8186773233,999334.2935375833,0.6610954191284598,0.8667265398941816
900,499804.3252242636,999275.7811020217,0.6194752745627119,0.8583222799232327
1000,499789.4381454162,999225.8076432773,0.5972000828218504,0.8425038610702279
1100,499748.38320361346,999137.8789832919,0.5620094244767875,0.8274180088984449
1200,499745.65821520216,999019.9894434643,0.519124390377297,0.817327053434158
1300,499728.3123470119,998988.0242698437,0.4995988082969727,0.8110959645538445
1400,499704.9160939517,998895.9217958794,0.4837726357838401,0.7964971101802695
1500,499672.045969874,998806.9113883672,0.46475317337722344,0.7896095388172989
1600,499667.5586092561,998713.9863880813,0.4363262769168696,0.7739683705753461
1700,499646.13455321104,998686.8921747091,0.4192094149054541,0.765300921417308
1800,499608.82632816205,998634.7291687323,0.39720854414531953,0.7569815035937819
1900,499594.37842262955,998517.5754915992,0.3820036736916922,0.7457721352452117
2000,499590.1761484904,998499.3991926243,0.3535230750830297,0.7412659202590058
2100,499557.9158963024,998385.6181355602,0.3501876960577533,0.7320719931789165
2200,499548.52870931535,998351.4507991107,0.33209808881050773,0.7289798727355298
2300,499530.1008585393,998245.813712275,0.31764107900026245,0.7236849381627835
2400,499523.77840978914,998200.0085315154,0.3002796875673158,0.7152875035605861
2500,499506.31576868065,998132.1708748234,0.28223606298883275,0.7045516449770916
2600,499486.4289995642,998054.9874280863,0.2774304624536579,0.7056939367464214
2700,499455.960352994,998022.6956642419,0.2663157087649951,0.697334798644023
2800,499458.79779470403,997956.3480484427,0.24680753423558316,0.694061821641472
2900,499418.7969720032,997919.5930215345,0.25346156154879923,0.6820952429161041
3000,499427.4349631097,997898.6171395117,0.23558651973845382,0.6834509515884566
3100,499409.35561365023,997784.0518901927,0.22890955691874315,0.674858683010571
3200,499372.29353350855,997793.4623338783,0.2045296280385252,0.671064774747896
3300,499361.8213834888,997673.007276804,0.20019102510044495,0.6664447134776211
3400,499349.4671119002,997650.4177297135,0.20733914504872647,0.6677788744109797
3500,499343.8438362886,997602.1339760856,0.1967120719811723,0.6615280095323602
3600,499322.01739650604,997581.6521767363,0.18496443353531938,0.6607094081489784
3700,499305.056697632,997479.6504198135,0.19140832584080847,0.6637646591469422
3800,499284.6535844625,997421.0604629552,0.18132975682184363,0.6565123449735137
3900,499270.9383746038,997378.0237062004,0.16664415827324927,0.6582905121789282
4000,499271.5376508211,997380.61258298,0.1612852531387712,0.6521857264756037
4100,499246.0122557895,997272.2793534709,0.1575590264576315,0.6558483570938689
4200,499226.0697323847,997248.2495086911,0.1500974322878013,0.652922396220792
4300,499210.9035561728,997181.9841181814,0.15717755858481305,0.6449052715070204
4400,499205.0052113504,997135.6522981684,0.13598587644669535,0.6497778773030431
4500,499185.2960233953,997126.9043857935,0.14164665118369243,0.6499770505876108
4600,499182.75105793175,997036.7054561374,0.12881062485886968,0.648007425345302
4700,499160.46091965545,997073.4493452047,0.1388280185943706,0.6429736986623478
4800,499144.0376929934,996992.6141841443,0.13183225712793722,0.6413969001187334
4900,499136.28047774185,996909.3626460402,0.13406892055865297,0.64283541815175
5000,499104.15658961673,996876.6748882823,0.12281584520323759,0.640700349964717
