miliseconds,T_1,T_2,G,I
0,500005.71812159306,1000016.4902048964,1.0031291767326398,0.9949416432395969
100,499971.12988032633,999942.9717529917,0.936298607626468,0.9845767338729828
200,499945.4349785808,999807.7089593947,0.8929594806423979,0.9623353449136398
300,499931.56960029626,999789.0110669382,0.8544351189301435,0.9451705064859846
400,499913.4034684949,999705.0818685519,0.8057406300693576,0.932981775196609
500,499884.2703914176,999569.9963280982,0.7734114411824321,0.9191697102462137
600,499858.51666470204,999479.0061084501,0.715549744487515,0.8950027421622961
700,499830.24735349783,999398.2863064453,0.6814451708410094,0.8802941762890394
800,499808.4132208601,999303.2543303554,0.6503122271207491,0.8755310940872801
900,499785.57422857033,999277.1778998914,0.6256218351980493,0.8557474045542327
1000,499789.3299666914,999217.439278573,0.5758004017860272,0.848951150653241
1100,499760.0105669417,999090.7516664927,0.548532910697413,0.8351450406184483
1200,499727.97257591254,999062.0162658173,0.5259335411862934,0.8177120826324659
1300,499722.20724634675,999010.5402322786,0.49118808678431614,0.8086763588249349
1400,499697.0952044236,998858.2331750818,0.4732773381361858,0.8010948200642953
1500,499687.5358046074,998829.1031600499,0.4598808052421394,0.7846658446130998
1600,499670.96908167034,998735.14672615,0.4265190464407405,0.7796215166285041
1700,499640.3247899175,998667.6112797594,0.4106254732704202,0.7730414304498685
1800,499632.1392415629,998645.6288464023,0.3873000451629065,0.7572568055180383
1900,499611.2838992611,998541.9970398209,0.36551421970498305,0.7515383339507617
2000,499577.07117130095,998437.6873816731,0.3535160860551353,0.7394195339394366
2100,499560.3419117444,998424.273690981,0.3501575027416286,0.7403012503888826
2200,499545.908986148,998338.0184066036,0.31875431077217903,0.7288505591417794
2300,499532.60273463116,998267.5399466634,0.3095072642978174,0.7231777152370522
2400,499502.57706853014,998207.6627639676,0.3104932305417367,0.7194945404653533
2500,499505.912479347,998150.0995445576,0.2882760799488856,0.7134883380592777
2600,499491.4705931737,998107.9493697424,0.2767340138453167,0.7010769466421529
2700,499475.6480343695,997995.6393661498,0.25453906833257317,0.6938088551414835
2800,499439.4328323641,998015.7667035908,0.24888971876309435,0.691892594217017
2900,499424.65033335274,997888.0131339378,0.23292238322916428,0.6890416891664283
3000,499422.93468407646,997826.3891888021,0.22606036399609578,0.6781216294390159
3100,499401.14572668215,997808.6410937347,0.2118441192301425,0.6778580203716021
3200,499387.0398213654,997793.455240662,0.21889576848303516,0.6752881569969013
3300,499376.22804983536,997665.1216461031,0.21387445705983654,0.6732830326352226
3400,499350.1844924653,997623.9501501742,0.19174225727924685,0.6691972387817797
3500,499327.9996623861,997576.0717608365,0.182175932102261,0.6617903652023865
3600,499332.6927236122,997575.8895008734,0.19788632116020405,0.6641688670011235
3700,499305.57771375874,997535.2599879738,0.18793753159186816,0.6581094003716783
3800,499297.10261336825,997433.7994476458,0.1668465409319423,0.654847874545871
3900,499273.5639374243,997394.57895028,0.1580474160408312,0.6503676994892298
4000,499253.51927868376,997334.7282672721,0.1638570059620064,0.649307645483988
4100,499255.25378749386,997262.5776283557,0.15132028612673082,0.6469612047334223
4200,499220.367503636,997212.5041916352,0.1537358564664892,0.6513944409599605
4300,499215.54231829115,997203.9530629804,0.13929901712948137,0.6539813989028568
4400,499207.29850750644,997141.6262284059,0.14667076475398713,0.6511713542845219
4500,499188.64069722546,997089.6458364675,0.14445775176455788,0.6469985658107357
4600,499165.82695179473,997056.915413678,0.14155782471810083,0.6463062168851087
4700,499149.11069966556,997021.5259079002,0.14394566856299512,0.6452154455085003
4800,499134.1213573749,996990.7358219337,0.12477789415133789,0.6414808873720499
4900,499120.6334990036,996947.597616286,0.11940629421912645,0.6407406956632578
5000,499101.98811414855,996878.6479970822,0.12169675823230515,0.6404830791102113
