milliseconds,T_1,T_2,G,I
0,500005.0296412023,999958.5228977008,1.0014517253000061,0.9977862978651149
100,499977.8485616032,999956.6693895888,0.9545938030948901,0.9866535410036119
200,499948.07866341615,999794.1165466241,0.9041419272422268,0.9591460878301457
300,499919.97468311177,999727.6149720799,0.8364946387672902,0.9427410360623608
400,499901.9827384857,999689.5615549803,0.7930691430974502,0.933524632965925
500,499892.56823521375,999596.2414986942,0.7535550253597941,0.9113178525508278
600,499863.35454019124,999500.0274803594,0.7187807543726885,0.9033449205417061
700,499832.28275164403,999460.6140376898,0.6849353616816142,0.8852747852896905
800,499826.3305247255,999313.4980882425,0.6543604353891879,0.8725644656488389
900,499786.7700267564,999249.416736244,0.6081471888055241,0.8557412607891628
1000,499769.81886025285,999187.5074974315,0.5837352059572398,0.8477909417248168
1100,499768.71143716766,999071.0487694807,0.5659693249579129,0.8283222075594182
1200,499744.28811098693,999054.5801734843,0.5396126626328537,0.822298318359665
1300,499713.1342708623,998955.7320563754,0.5052986696216514,0.8093567578870332
1400,499704.30226139823,998914.5995682687,0.48575302173566326,0.79755824806162
1500,499682.1432801815,998829.495561322,0.44930335235332436,0.7865671766048521
1600,499665.4309400786,998791.0314412105,0.4423551515533478,0.782173532786821
1700,499648.571364142,998685.7855507742,0.42120315924634766,0.7712321078759713
1800,499608.82071220916,998568.5098134675,0.3906995460539338,0.7562461726450106
1900,499601.41734337644,998556.0490331374,0.3849627218630533,0.7524903242786392
2000,499572.6261087425,998481.636083545,0.35846488545745137,0.7428575471416267
2100,499571.9615397641,998389.8906081347,0.35060192293656167,0.7300593128438221
2200,499536.9184799553,998350.2895481705,0.321217671121419,0.7281675251267594
2300,499532.65687782236,998259.3938831091,0.3192236522472216,0.7210527129543342
2400,499502.48587040114,998265.917556261,0.3002568014888589,0.7150889993961668
2500,499507.76322006836,998193.1219506363,0.2937928029825395,0.7040550836678154
2600,499469.29394615,998069.571379085,0.2699542585794131,0.7003391229423567
2700,499471.6828401489,998037.6830734058,0.27070741162040995,0.6992199789835322
2800,499456.5103487636,998000.5265703083,0.2621811951201197,0.694027018618744
2900,499421.94107601733,997946.3075778814,0.23670121995096127,0.6890824549734389
3000,499407.03682058444,997837.5473004798,0.23566608553844562,0.686672877225894
3100,499394.9762825314,997822.3971925405,0.21964582379935418,0.6746436667785537
3200,499377.67426505394,997725.8524585303,0.20715859572022982,0.6779467426750772
3300,499369.0918234197,997683.9360607871,0.21160721879038963,0.6705070494631697
3400,499353.4374638213,997630.3314254688,0.19166875296080338,0.6697171922230379
3500,499328.77273759345,997590.524832653,0.18409220022449463,0.6632137407311827
3600,499311.9892031114,997580.6387604219,0.18633436090931071,0.6588487196691704
3700,499307.25703492673,997462.1532503535,0.17413851426894406,0.6640348212906592
3800,499284.93879637966,997470.9222560547,0.18219579315009424,0.6541351145742923
3900,499264.8623748297,997378.3358517414,0.1796097813380874,0.6534937076856843
4000,499253.37296318385,997343.4156672279,0.17200942919289533,0.6583349080224329
4100,499251.7139923904,997339.9462603617,0.17159843017152018,0.6533505212656452
4200,499224.51738978684,997255.1152175736,0.15117648473033915,0.654576832786594
4300,499211.1873332725,997176.5557094954,0.1580150531664079,0.6441988094385916
4400,499210.75863597356,997204.0346193011,0.1361237069942474,0.6452123045352804
4500,499190.2545695136,997148.256666438,0.14244500433982427,0.6486631778525219
4600,499180.08040663565,997055.8292676565,0.14298089671628025,0.6514006067265294
4700,499146.17934509285,997032.0873249279,0.1329025328321644,0.647329753680522
4800,499154.37978552893,996961.7619356005,0.12373558235042284,0.6400950273142185
4900,499117.6599321869,996936.7492270311,0.12834141086953604,0.6450488550759611
5000,499119.41296262114,996947.8179630153,0.12791243309986908,0.6492337029178279
