milliseconds,CRP,CRPsiteI_crp,CRPsiteII_crp,CRPsite_cyaA,CRPsite_genome,CRPsite_ptsGp1,CRPsite_ptsGp2,CRPsite_ptsHp0,CRPsite_ptsHp1,CRPsite_ptsIp0,CRPsite_ptsIp1,CRPsite_mlcp1,CRPsite_mlcp2,Mlc,Mlcsite_mlcp1,Mlcsite_mlcp2,Mlcsite_ptsGp1,Mlcsite_ptsGp2,Mlcsite_ptsHp0,Mlcsite_ptsIp0,CRP_cAMP,CRP_cAMP_CRPsiteI_crp,CRP_cAMP_CRPsiteII_crp,CRP_cAMP_CRPsite_cyaA,CRP_cAMP_CRPsite_genome,CRP_cAMP_CRPsite_ptsGp1,CRP_cAMP_CRPsite_ptsGp2,CRP_cAMP_CRPsite_ptsHp0,CRP_cAMP_CRPsite_ptsHp1,CRP_cAMP_CRPsite_ptsIp0,CRP_cAMP_CRPsite_ptsIp1,CRP_cAMP_CRPsite_mlcp1,CRP_cAMP_CRPsite_mlcp2,Mlc_Mlcsite_ptsGp1,Mlc_Mlcsite_ptsGp2,Mlc_Mlcsite_ptsIp0,Mlc_Mlcsite_ptsHp0,Mlc_Mlcsite_mlcp1,Mlc_Mlcsite_mlcp2,IICB,IICB_Mlc,CYA,IIA_P,IIA_P_CYA,mRNA_cyaA,mRNA_crp,mRNA_ptsG,mRNA_ptsH,mRNA_ptsI,mRNA_crr,mRNA_mlc,IICB_P,IIA,HPr_P,HPr,EI_P,EI,cAMP
0,5.4207e-06,7.4368e-11,1.9047e-10,3.1103e-11,3.6756e-09,1.2021e-10,1.2021e-10,1.2021e-10,1.2021e-10,1.2021e-10,1.2021e-10,1.2021e-10,1.2021e-10,5.5172e-10,2.4267e-10,2.4282e-10,2.1885e-10,2.1885e-10,2.1885e-10,2.1885e-10,1.0214e-07,1.6863e-10,5.2529e-11,2.119e-10,3.7544e-09,1.2279e-10,1.2279e-10,1.2279e-10,1.2279e-10,1.2279e-10,1.2279e-10,1.2279e-10,1.2279e-10,2.4149e-11,2.4149e-11,2.4149e-11,2.4149e-11,3.2535e-13,1.8086e-13,4.2844e-05,1.6546e-07,1.4934e-06,7.0094e-06,7.3371e-09,1.3643e-08,5.0254e-08,4.5559e-07,1.1411e-07,1.0038e-08,9.3861e-07,1.5101e-09,7.1055e-06,9.623e-05,7.5867e-07,1.1793e-05,2.4319e-07,8.6098e-07,4.7107e-07
100,5.420749005100575e-06,7.439251454706146e-11,1.904907881840276e-10,3.1116326600617216e-11,3.676552873439937e-09,1.2024257714823175e-10,1.2024257714823175e-10,1.2024257714823172e-10,1.202425771482317e-10,1.2024257714823175e-10,1.2024257714823172e-10,1.2024257714823177e-10,1.2024257714823175e-10,5.517026522461584e-10,2.426700174878198e-10,2.4282000800273275e-10,2.1885087803116724e-10,2.1885087803116724e-10,2.1885087803116724e-10,2.188508780311673e-10,1.0209147652971539e-07,1.6860548545293078e-10,5.25082118159788e-11,2.1188667339937202e-10,3.753447126559875e-09,1.227574228517696e-10,1.2275742285176964e-10,1.2275742285176959e-10,1.2275742285176956e-10,1.2275742285176964e-10,1.2275742285176959e-10,1.2275742285176966e-10,1.227574228517696e-10,2.414812196883269e-11,2.414812196883269e-11,2.41481219688327e-11,2.414812196883269e-11,3.2533251218029123e-13,1.808519972671952e-13,4.284400104824305e-05,1.6546004306213706e-07,1.4934723549249128e-06,7.009367529472598e-06,7.337613849305143e-09,1.3643055258279794e-08,5.0253860369765585e-08,4.555877076571097e-07,1.1410972856444738e-07,1.0037980340575703e-08,9.386099874705409e-07,1.5101007561145946e-09,7.105496714558082e-06,9.62301084541826e-05,7.586753986774962e-07,1.1792998683982803e-05,2.431911346626414e-07,8.609789509839085e-07,4.710799848696139e-07
200,5.420743026485511e-06,7.439006226975806e-11,1.9048883247051228e-10,3.111503764710357e-11,3.6764646330060927e-09,1.2023969122615844e-10,1.2023969122615844e-10,1.2023969122615842e-10,1.2023969122615842e-10,1.2023969122615844e-10,1.2023969122615842e-10,1.2023969122615847e-10,1.2023969122615847e-10,5.517028311248859e-10,2.4267001738247834e-10,2.428200079441387e-10,2.1885087097964884e-10,2.1885087097964884e-10,2.1885087097964882e-10,2.1885087097964887e-10,1.0209632735026403e-07,1.6860793773023387e-10,5.251016752949423e-11,2.1188796235288508e-10,3.753535366993692e-09,1.227603087738426e-10,1.2276030877384266e-10,1.227603087738426e-10,1.2276030877384258e-10,1.2276030877384266e-10,1.227603087738426e-10,1.2276030877384266e-10,1.2276030877384266e-10,2.4148129020351077e-11,2.414812902035108e-11,2.4148129020351084e-11,2.4148129020351077e-11,3.2533261752173644e-13,1.8085205586125708e-13,4.284399310603204e-05,1.6546006603951367e-07,1.4935436852480468e-06,7.009374822963214e-06,7.337979575231111e-09,1.3643102711513795e-08,5.0253740637072324e-08,4.5558575906866985e-07,1.1410948841172226e-07,1.0037963092609047e-08,9.386099751308763e-07,1.5101014740191239e-09,7.10549866523395e-06,9.623017593979086e-05,7.586757604558134e-07,1.1793001865895314e-05,2.4319113637416684e-07,8.609789998015578e-07,4.7110280392665604e-07
300,5.420737018429733e-06,7.438763442102116e-11,1.904868962857546e-10,3.111376152054198e-11,3.6763772722841452e-09,1.2023683407207937e-10,1.2023683407207937e-10,1.2023683407207934e-10,1.2023683407207931e-10,1.2023683407207934e-10,1.2023683407207934e-10,1.2023683407207937e-10,1.202368340720794e-10,5.517030264280352e-10,2.4267001726746456e-10,2.428200078801646e-10,2.1885086328065844e-10,2.1885086328065844e-10,2.1885086328065844e-10,2.1885086328065844e-10,1.0210112967626741e-07,1.6861036557896995e-10,5.251210371425128e-11,2.1188923847944434e-10,3.753622727715652e-09,1.2276316592792248e-10,1.227631659279225e-10,1.2276316592792246e-10,1.2276316592792243e-10,1.227631659279225e-10,1.2276316592792246e-10,1.227631659279225e-10,1.227631659279225e-10,2.4148136719341475e-11,2.4148136719341475e-11,2.4148136719341475e-11,2.4148136719341475e-11,3.2533273253550395e-13,1.8085211983535337e-13,4.2843983986776015e-05,1.6546008939809175e-07,1.4936145331201428e-06,7.009382096746413e-06,7.338342890271337e-09,1.3643145534945231e-08,5.0253632639600855e-08,4.55584006752309e-07,1.1410926698631444e-07,1.0037947299887604e-08,9.386099628690591e-07,1.5101021766201909e-09,7.105500433238187e-06,9.623024289337174e-05,7.586761112967655e-07,1.179300485569063e-05,2.4319113579385477e-07,8.60979037902593e-07,4.7112545839254995e-07
400,5.420730976713614e-06,7.43852588111802e-11,1.9048500160310776e-10,3.111251289073773e-11,3.6762917884642815e-09,1.2023403830288547e-10,1.2023403830288547e-10,1.2023403830288544e-10,1.2023403830288542e-10,1.2023403830288544e-10,1.2023403830288544e-10,1.202340383028855e-10,1.202340383028855e-10,5.517032517845801e-10,2.4267001713475243e-10,2.428200078063461e-10,2.1885085439701512e-10,2.1885085439701515e-10,2.1885085439701515e-10,2.1885085439701512e-10,1.0210582924210993e-07,1.686127411888108e-10,5.251399839689805e-11,2.1189048710924826e-10,3.753708211535519e-09,1.2276596169711649e-10,1.227659616971165e-10,1.2276596169711646e-10,1.2276596169711643e-10,1.227659616971165e-10,1.2276596169711646e-10,1.227659616971165e-10,1.227659616971165e-10,2.414814560298477e-11,2.414814560298477e-11,2.4148145602984763e-11,2.4148145602984766e-11,3.253328652476629e-13,1.8085219365382734e-13,4.284397279157656e-05,1.6546011374757136e-07,1.4936839199833127e-06,7.009389239953443e-06,7.338698756380534e-09,1.3643175103120381e-08,5.025355814191062e-08,4.555828043302443e-07,1.1410909966878338e-07,1.003793572008796e-08,9.38609950837768e-07,1.5101028362551778e-09,7.1055018160414654e-06,9.623030835054855e-05,7.586764329354822e-07,1.1793007428140667e-05,2.4319113061736893e-07,8.609790540880502e-07,4.711476459575448e-07
500,5.420724928747591e-06,7.438289290082843e-11,1.9048311462639087e-10,3.111126936641084e-11,3.6762066531393686e-09,1.2023125393136794e-10,1.2023125393136794e-10,1.2023125393136791e-10,1.202312539313679e-10,1.2023125393136794e-10,1.2023125393136791e-10,1.2023125393136797e-10,1.2023125393136797e-10,5.517034827213077e-10,2.426700169987541e-10,2.4282000773069977e-10,2.1885084529341067e-10,2.188508452934107e-10,2.188508452934107e-10,2.1885084529341067e-10,1.0211050972789627e-07,1.6861510709916257e-10,5.251588537361492e-11,2.1189173063357515e-10,3.753793346860431e-09,1.22768746068634e-10,1.22768746068634e-10,1.2276874606863399e-10,1.2276874606863396e-10,1.22768746068634e-10,1.2276874606863399e-10,1.2276874606863404e-10,1.2276874606863404e-10,2.4148154706589214e-11,2.4148154706589214e-11,2.414815470658921e-11,2.414815470658921e-11,3.253330012459816e-13,1.808522693001622e-13,4.2843961210925026e-05,1.6546013828103722e-07,1.49375303557275e-06,7.009396358915662e-06,7.3390532394048735e-09,1.3643202210117653e-08,5.0253489864312896e-08,4.5558170401014184e-07,1.1410894239776565e-07,1.0037924922525165e-08,9.3860993884928e-07,1.5101034879124116e-09,7.105503127322318e-06,9.623037352987963e-05,7.586767491520559e-07,1.179300992309986e-05,2.4319112458748574e-07,8.609790662043189e-07,4.7116974683042764e-07
600,5.420718905678669e-06,7.438053816011926e-11,1.9048123652019684e-10,3.111003172217369e-11,3.67612191906498e-09,1.202284826827964e-10,1.202284826827964e-10,1.2022848268279636e-10,1.2022848268279634e-10,1.202284826827964e-10,1.2022848268279636e-10,1.2022848268279641e-10,1.2022848268279641e-10,5.517037140778597e-10,2.426700168625085e-10,2.428200076549159e-10,2.1885083617325328e-10,2.188508361732533e-10,2.188508361732533e-10,2.1885083617325328e-10,1.0211516825371742e-07,1.6861746183987172e-10,5.251776347980894e-11,2.1189296827781232e-10,3.7538780809348196e-09,1.2277151731720556e-10,1.2277151731720556e-10,1.2277151731720556e-10,1.2277151731720554e-10,1.2277151731720556e-10,1.2277151731720556e-10,1.2277151731720562e-10,1.2277151731720562e-10,2.4148163826746622e-11,2.4148163826746622e-11,2.414816382674662e-11,2.414816382674662e-11,3.253331374915349e-13,1.8085234508401624e-13,4.284394964416966e-05,1.6546016299434786e-07,1.4938218296628993e-06,7.009403429455127e-06,7.339406042102876e-09,1.3643226659482193e-08,5.025342826998455e-08,4.5558071000637476e-07,1.1410879615066835e-07,1.0037914986267629e-08,9.386099269098152e-07,1.5101041312069194e-09,7.105504409869825e-06,9.623043841387166e-05,7.58677060641439e-07,1.1793012380784188e-05,2.4319111833519966e-07,8.609790770332628e-07,4.7119174430724463e-07
700,5.42071299636106e-06,7.437823445191792e-11,1.904793989421596e-10,3.110882094322998e-11,3.6760390182471474e-09,1.2022577139109774e-10,1.2022577139109772e-10,1.2022577139109772e-10,1.202257713910977e-10,1.2022577139109774e-10,1.2022577139109772e-10,1.2022577139109777e-10,1.2022577139109774e-10,5.517039473525301e-10,2.426700167251334e-10,2.4282000757850376e-10,2.1885082697746775e-10,2.1885082697746777e-10,2.1885082697746777e-10,2.1885082697746775e-10,1.0211972644758209e-07,1.6861976554807307e-10,5.25196010578462e-11,2.1189417905675603e-10,3.753960981752652e-09,1.2277422860890424e-10,1.227742286089042e-10,1.227742286089042e-10,1.2277422860890418e-10,1.227742286089042e-10,1.227742286089042e-10,1.2277422860890426e-10,1.2277422860890426e-10,2.4148173022532152e-11,2.414817302253215e-11,2.414817302253215e-11,2.4148173022532145e-11,3.2533327486666823e-13,1.808524214961758e-13,4.28439381409039e-05,1.6546018852934357e-07,1.493889154868547e-06,7.0094102787579145e-06,7.339751167628938e-09,1.364323896650092e-08,5.025339721056303e-08,4.5558020174681703e-07,1.1410870027029495e-07,1.0037908985191266e-08,9.386099151943317e-07,1.5101047362933212e-09,7.10550556113876e-06,9.623050194850164e-05,7.586773505329609e-07,1.1793014668164946e-05,2.4319111106678585e-07,8.609790819806031e-07,4.7121326938214865e-07
800,5.42070712087101e-06,7.437594591985003e-11,1.904775734164541e-10,3.110761815353265e-11,3.6759566626062486e-09,1.202230779294753e-10,1.2022307792947528e-10,1.2022307792947528e-10,1.2022307792947523e-10,1.202230779294753e-10,1.2022307792947528e-10,1.2022307792947534e-10,1.202230779294753e-10,5.517041811976135e-10,2.4267001658742237e-10,2.428200075019047e-10,2.188508177591918e-10,2.1885081775919182e-10,2.1885081775919182e-10,2.188508177591918e-10,1.0212425480455993e-07,1.6862205408014095e-10,5.252142658355169e-11,2.1189538184645338e-10,3.754043337393551e-09,1.2277692207052667e-10,1.2277692207052664e-10,1.2277692207052664e-10,1.2277692207052662e-10,1.2277692207052664e-10,1.2277692207052664e-10,1.227769220705267e-10,1.227769220705267e-10,2.41481822408081e-11,2.4148182240808095e-11,2.4148182240808095e-11,2.4148182240808092e-11,3.253334125777179e-13,1.8085249809518194e-13,4.284392665651879e-05,1.6546021430869338e-07,1.4939560432548384e-06,7.009417062268966e-06,7.340094010104628e-09,1.3643247662608322e-08,5.025337523166372e-08,4.5557983793869335e-07,1.1410861936806305e-07,1.0037904154365734e-08,9.386099035454558e-07,1.510105330017332e-09,7.105506673367851e-06,9.623056508185603e-05,7.586776340016743e-07,1.1793016904900542e-05,2.4319110349619436e-07,8.609790851788621e-07,4.7123465397337316e-07
900,5.420701279208518e-06,7.437367256391558e-11,1.9047575994308036e-10,3.1106423353081695e-11,3.675874852142283e-09,1.202204022979291e-10,1.2022040229792907e-10,1.2022040229792907e-10,1.2022040229792904e-10,1.202204022979291e-10,1.2022040229792907e-10,1.2022040229792912e-10,1.2022040229792912e-10,5.517044156131101e-10,2.426700164493754e-10,2.428200074251189e-10,2.1885080851842545e-10,2.1885080851842547e-10,2.1885080851842547e-10,2.1885080851842545e-10,1.0212875332465095e-07,1.686243274360754e-10,5.2523240056925406e-11,2.1189657664690433e-10,3.7541251478575164e-09,1.2277959770207286e-10,1.2277959770207286e-10,1.2277959770207286e-10,1.2277959770207284e-10,1.2277959770207286e-10,1.2277959770207286e-10,1.2277959770207291e-10,1.2277959770207291e-10,2.4148191481574463e-11,2.4148191481574463e-11,2.4148191481574463e-11,2.414819148157446e-11,3.2533355062468395e-13,1.808525748810346e-13,4.2843915191014325e-05,1.654602403323973e-07,1.4940224948217734e-06,7.009423779988279e-06,7.340434569529949e-09,1.36432527478044e-08,5.0253362333286616e-08,4.555796185820038e-07,1.1410855344397265e-07,1.0037900493791032e-08,9.386098919631878e-07,1.5101059123789518e-09,7.105507746557099e-06,9.623062781393486e-05,7.586779110475793e-07,1.1793019090990973e-05,2.4319109562342514e-07,8.609790866280397e-07,4.712558980809182e-07
