miliseconds,u,v,w
0,0.09958904781816195,0.5463457174890711,0.20005360985216078
100,0.09876108299434679,0.5597240811568248,0.19978306448542263
200,0.09718052078006201,0.5676827486459072,0.19969979181949032
300,0.09560434858568505,0.5729701747161925,0.1995882579092436
400,0.0943393990229744,0.576994154104086,0.19943934501874072
500,0.09227099406291395,0.5840073418612091,0.199364141131746
600,0.09114378916688372,0.5961009744252037,0.19918626811266238
700,0.09045562948847591,0.6007661513583342,0.19906898150595673
800,0.08875079760385854,0.6078479749755702,0.1989510369936905
900,0.08697737088229766,0.616367164638804,0.1988115035207274
1000,0.08576372888327757,0.6214007760325926,0.1986133976924116
1100,0.08400917849808318,0.6314266025296837,0.19842719306130321
1200,0.08365369916461406,0.631129514496492,0.19830512243582815
1300,0.08146396044693037,0.6380435931845346,0.1982383514862983
1400,0.081165830674752,0.6520825861946841,0.19802810465225779
1500,0.07889806296530534,0.6561278299673518,0.1980295957733116
1600,0.07860696900731586,0.6576894284332588,0.19785610192087738
1700,0.07689959099174715,0.6703745882956998,0.19761217704482
1800,0.0756558049904235,0.6785376560175101,0.1975644165604393
1900,0.07520327385172684,0.6771273961067783,0.1973508214158695
2000,0.07361464920648891,0.6850172563430845,0.19726512674159594
2100,0.07298460685801947,0.6934296039935048,0.19704583978752613
2200,0.0705490633289415,0.6993066051843738,0.19694150936646546
2300,0.07022799541829308,0.7027311347747808,0.19680190143199386
2400,0.06957872427555431,0.7123158255299239,0.19672614454134613
2500,0.06760740445457629,0.7140169293658647,0.19663979609165674
2600,0.06747657945788371,0.7203088981659598,0.19646119258725767
2700,0.06612298258936376,0.727001357561745,0.19630864817766674
2800,0.0648924445943359,0.7338724044864322,0.1962160849087493
2900,0.06439862483422078,0.7360203639624314,0.19590932542530978
3000,0.06334978256480471,0.7481665458543142,0.1957639019197614
3100,0.062454730090082754,0.748352198106531,0.19569207403096456
3200,0.060276370833557434,0.7554580960843411,0.19552211821214444
3300,0.05957904359163486,0.7614865237294725,0.19548749015771671
3400,0.05923842441406022,0.7686874743186184,0.19534266546669996
3500,0.05773210294380249,0.7700740390885211,0.195178692138666
3600,0.05717954568689818,0.7715517879954097,0.19499288262247153
3700,0.05684934008162706,0.7791563690505514,0.19496374789486862
3800,0.05512372718309892,0.7834379348234641,0.19482350413937974
3900,0.05431119833220464,0.7889850170078754,0.19460189695203478
4000,0.05363877746352535,0.7967411225484051,0.19453890462871776
4100,0.0530433256074582,0.7960416680782094,0.19439417059442904
4200,0.05202257144035297,0.8015005076195523,0.19408455116855727
4300,0.05124432610823045,0.8029432602534227,0.19397080709355538
4400,0.05080291884282873,0.8113918716582228,0.19386729618962395
4500,0.048604695705764936,0.8173359611348638,0.19365543574382005
4600,0.04779321525193534,0.8219784029711252,0.1936852868740264
4700,0.04823199447598998,0.8183815908921587,0.19356992615950808
4800,0.046723715675163376,0.8278016586875746,0.1933573298592307
4900,0.04704450719330226,0.8268763254290242,0.19315174795455228
5000,0.04582599795650134,0.8377134099727931,0.1930428818667855
