milliseconds,Dsh_i,Dsh_a,APC__axin__GSK3,APC_axin_GSK3,GSK3,APC_axin,APC,B_catenin_APC__axin__GSK3,B_catenin__APC__axin__GSK3,B_catenin,B_catenin_0,Axin,TCF,B_catenin_TCF,B_catenin_APC
0,100.0,0.0,0.009660159977813281,0.004829729707286867,49.99999997811636,0.0009805880844574338,98.00000790731704,0.0020199989258635385,0.0020200377169570546,0.9999876228910836,25.09994764809944,0.0004929309934317515,8.16999847723375,6.829988519212905,2.0499935337397104
100,100.0,0.0,0.009669703560977435,0.0048331116840726485,49.99999650801285,0.0009730642620491251,98.00033638037888,0.0020154027882118976,0.002015366597145193,0.9999081957951479,25.097818878898327,0.0004965302077740045,8.167303795165983,6.832704461450712,2.0496598426767307
200,100.0,0.0,0.00967017020690522,0.004835483889438041,49.999993605164825,0.0009715770737339602,98.00032788639004,0.0020154713611912067,0.0020155579708413963,0.9996418322902872,25.09795999372604,0.0004957474088260529,8.167321394341945,6.832707474668125,2.0496758398572656
300,100.0,0.0,0.009670501981237988,0.004836230332035068,49.99999205171531,0.0009704657552628838,98.00032944277541,0.002015569690957908,0.0020156051671657866,0.9995470821414788,25.097925215093674,0.0004950761670421174,8.167308546461364,6.83275905976446,2.0496707787006234
400,100.0,0.0,0.009670309644777912,0.004837423699335421,49.99999109426652,0.0009697732241132644,98.00031925811895,0.0020157386633834896,0.002015705276272326,0.9994111024470258,25.098034353466513,0.000494726573744016,8.167293573758194,6.832705739825697,2.0496876664112307
500,100.0,0.0,0.009670791465089526,0.004837254723076133,49.99999013484212,0.0009692051740656797,98.00029830075106,0.0020157482251742043,0.0020157207519907517,0.9991534415686824,25.09833759020655,0.000494353010047981,8.16720617569777,6.832738311570501,2.049686054591965
600,100.0,0.0,0.00967106646694649,0.004837669794168963,49.999989390020296,0.0009688377026083359,98.0003026388045,0.0020159065908215167,0.002015786505513464,0.9989737424139585,25.09832751982169,0.000494197822193737,8.167187584723179,6.832824412852409,2.0497014778219373
700,100.0,0.0,0.009671642955283012,0.004837361077183555,49.99998911242991,0.0009681179564730269,98.00028492842753,0.0020159100601327955,0.0020158958093705586,0.9988680690300409,25.0985430666839,0.0004939541439092309,8.167196994554134,6.832757654092261,2.049714591491238
800,100.0,0.0,0.009672249252168998,0.00483696549164498,49.99998859504914,0.0009678511426524893,98.0002853145452,0.0020159898764261237,0.00201609917646619,0.9988746014036256,25.098469847807007,0.0004938875682442594,8.167219195212644,6.832839504546826,2.0497178176106234
900,100.0,0.0,0.00967244640385721,0.004836811200405633,49.99998844924035,0.0009679922175116428,98.0002773659039,0.0020161367313574962,0.0020160716390769996,0.9986684099298144,25.098531176529185,0.0004938793729701597,8.167179134060591,6.832787611230808,2.0497183150205753
1000,100.0,0.0,0.00967279652053765,0.00483672626958989,49.99998843181497,0.0009678561572038008,98.00025805625475,0.0020161579169596456,0.002016163672216621,0.9985285917875178,25.098730950980844,0.0004937264810530394,8.167153474763065,6.832828146114649,2.049728758385598
1100,100.0,0.0,0.009672730857105223,0.004836386899815408,49.999987828786786,0.0009677569118850065,98.00025309773986,0.0020162072089483186,0.0020163070809244136,0.9984562497587693,25.09875243432331,0.0004936418638491631,8.1671115777834,6.832897027191817,2.0497450340096615
1200,100.0,0.0,0.009673603776618167,0.004836120191256882,49.99998815090521,0.0009673640237446383,98.00024770349901,0.002016318432204988,0.002016303135325998,0.9983386618458492,25.098899886499378,0.0004935778904509133,8.167091006301622,6.832875759472405,2.0497440610282665
1300,100.0,0.0,0.009673452039338145,0.004835788731258303,49.99998764044086,0.0009672982165602949,98.00025149370467,0.0020163608431926928,0.0020163692711278555,0.9982073662868484,25.09909150383519,0.0004935858736217743,8.16709990846985,6.832912354933568,2.049749505059983
1400,100.0,0.0,0.009673756441920858,0.004835493595340448,49.999987727152984,0.0009673611873162949,98.00022881613323,0.0020164834610821264,0.002016386716956668,0.9982673703370634,25.099190536766695,0.0004935774610923447,8.16709905784854,6.832939434742126,2.0497687852756004
1500,100.0,0.0,0.009674455491091052,0.004835255886359684,49.999987465450005,0.000967419472794329,98.00022529609822,0.0020166321032012028,0.002016485423021602,0.9981493935137017,25.09923899843897,0.0004934675323007085,8.167057440544275,6.83290489553787,2.0497745553622626
1600,100.0,0.0,0.009674178850480044,0.004834734062385812,49.999987417772694,0.0009672481544663527,98.00022287935607,0.0020165272455475664,0.0020166763339905143,0.9980379046767454,25.099295656342587,0.0004934286998762606,8.167108756478372,6.832955378143365,2.0497801333488566
1700,100.0,0.0,0.009674775403732638,0.00483427303228446,49.999987296241066,0.0009670874784189204,98.00021397380719,0.002016633064224264,0.0020166809116640093,0.9979189645333085,25.099416599032224,0.0004933905759623725,8.167045334884069,6.832960602682999,2.049791317848896
1800,100.0,0.0,0.009675384641893525,0.004833931694082439,49.999987557804104,0.0009667827320594112,98.00021005951098,0.0020167249714495425,0.002016756238607694,0.9978373263135584,25.099561935880846,0.0004934310204049235,8.167086856436997,6.832925633810314,2.049799826687009
1900,100.0,0.0,0.009675218530400582,0.004833495326828349,49.99998709012005,0.0009667133378155095,98.0001959420398,0.00201681969875879,0.0020168808185965126,0.9977926041693506,25.099641134135048,0.0004933904577506637,8.167057707262424,6.83300429335365,2.049792472224946
2000,100.0,0.0,0.009675708540254617,0.004833275125765232,49.99998738310585,0.0009668634406598204,98.00019362783311,0.002016876170489981,0.002016825813957833,0.9977268162821195,25.099715110761288,0.0004933509115344569,8.167030118375832,6.832952531764906,2.049802153550442
