milliseconds,S,R
0,10000000000.0,200000.0
100,9968638204.12779,200660.952736757
200,9937350681.481903,201324.1147219212
300,9906142158.953499,201989.64237385572
400,9875013053.897934,202657.56521784945
500,9843963305.983671,203327.8985131454
600,9812992820.762154,204000.64284754207
700,9782101416.93407,204675.81874660542
800,9751289045.746881,205353.42759847877
900,9720555372.627872,206033.49649354207
1000,9689900462.925362,206716.02014053677
1100,9659324262.36793,207401.00293382388
1200,9628826464.714542,208088.46766329804
1300,9598406932.255606,208778.42481488676
1400,9568065619.681843,209470.87812865296
1500,9537802405.766523,210165.8368928133
1600,9507617009.260761,210863.3222256434
1700,9477509361.375803,211563.33953874494
1800,9447479320.267088,212265.8996445621
1900,9417526732.407925,212971.0144895171
2000,9387651432.530218,213678.69715976377
2100,9357853284.950056,214388.9578697353
2200,9328132142.091621,215101.80798820592
2300,9298487873.80564,215817.25984926894
2400,9268920332.354343,216535.3248127277
2500,9239429366.392677,217256.01403856458
2600,9210014829.329954,217979.3389501237
2700,9180676574.575487,218705.31097074912
2800,9151414455.53859,219433.941523785
2900,9122228325.628574,220165.2420325754
3000,9093118123.884295,220899.23192605923
3100,9064083673.40012,221635.91979340496
3200,9035124806.741861,222375.3151092763
3300,9006241378.776289,223117.42943327612
3400,8977433244.370165,223862.27432500737
3500,8948700258.390259,224609.86134407294
3600,8920042275.703335,225360.20205007578
3700,8891459151.176159,226113.30800261875
3800,8862950739.675497,226869.1907613048
3900,8834516896.068117,227627.86188573684
4000,8806157475.220781,228389.3329355178
4100,8777872332.00026,229153.61547025054
4200,8749661321.273317,229920.72104953806
4300,8721524422.898775,230690.68581761702
4400,8693461444.860432,231463.5121126991
4500,8665472204.71476,232239.20415584234
4600,8637556560.091413,233017.77405008042
4700,8609714368.620043,233799.23389844704
4800,8581945487.930302,234583.59580397583
4900,8554249775.651838,235370.87186970052
5000,8526627089.414307,236161.07419865474
