milliseconds,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s28,s29,s30,s31,s32,s33,s34,s35,s36,s37,s38,s39,s40,s41,s42,s43,s44,s45,s46,s47,s48,s49,s50,s51,s52,s26,s27
0,0.5,0.5,0.8,0.8,0.8,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.2,1.2,1.5,1.5,1.2,1.2,1.2,1.2,1.5,1.5,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.5,1.8,2.0,2.2,2.5,1.0,1.0
100,0.575916177254126,0.5767260690330424,0.7914547628212206,0.769603357403048,0.8023331346578666,0.8084219652673873,0.9355431783837438,0.9950988326409781,0.9850959882655276,0.9998259391228691,0.9826057723841949,0.9998259391228691,0.9817821877463347,0.9998561647265274,1.000988571693068,1.003600305046435,1.0083643838288479,1.0074874245516716,0.999174664972805,1.0131115253406096,1.2358184442844187,1.0277626476718524,1.074832320240155,1.0676800113730447,1.0943853950172155,1.1737786211419166,1.271501970825873,1.4704856395570771,1.5440920633235904,1.1656285592537254,1.270972646643433,1.1892992828884672,1.272292273340541,1.4622930485443277,1.5437986302621836,1.1892992828884672,1.272292273340541,1.1897883192611134,1.2723109563613286,1.1778059551395548,1.271645784200102,1.1778059551395548,1.271645784200102,1.1778059551395548,1.271645784200102,1.5134909665391971,1.759110249896198,1.922856438800866,2.086602627705534,1.7173403631297588,1.0135577027134905,1.0135577027134905
200,0.6299631214114169,0.6326179582819463,0.7855794967442044,0.7537824642319665,0.8073351525758454,0.8149650847157908,0.8944377425578626,0.9859361109445497,0.9785590768867187,0.9989436945979091,0.969274102848762,0.9989436945979091,0.9665289830897136,0.9992868231440929,1.0053467217580887,1.0123904281257694,1.0247558322130883,1.0219308981778898,0.9973654960875799,1.0363061807380303,1.3057742481716852,1.0576157564142223,1.115702531633807,1.1120599894139132,1.1423005198693101,1.1650615276074474,1.2917497846138324,1.459851324842547,1.541755134611707,1.1602718437578752,1.290695938391547,1.1892280651550917,1.2942490840256744,1.4387968506737678,1.5401670056483774,1.1892280651550917,1.2942490840256744,1.1901428895379769,1.294332010876836,1.1753422176279102,1.2925287468538915,1.1753422176279102,1.2925287468538915,1.1753422176279102,1.2925287468538915,1.499925296726723,1.7010213536738963,1.835085391638679,1.9691494296034617,1.5261614422031018,1.0387817372766082,1.0387817372766082
300,0.6691663418415631,0.6741192362969336,0.7819628873253917,0.7473384641935953,0.8131443518023668,0.8208441418970015,0.8685054078185419,0.9767718561623656,0.9777051701790553,0.9972543848931561,0.9588969916717948,0.9972543848931561,0.9536927900417163,0.9985091228669213,1.0125195300678336,1.0236545042763092,1.0421851416266206,1.0372169158635072,0.9953575121979286,1.0592442394338275,1.3227093656608488,1.0826356651616058,1.139524091878276,1.1401619310222104,1.1677463398833028,1.1650324478819012,1.2983531607568557,1.4537652928078062,1.5295073982904073,1.1658934161865158,1.2973200655216228,1.1936159267752495,1.3028205085072977,1.4217740136141461,1.5257651464422957,1.1936159267752495,1.3028205085072975,1.1944975490873146,1.3029729038047437,1.1802766148193475,1.3001686777979529,1.1802766148193475,1.3001686777979529,1.1802766148193475,1.3001686777979529,1.4825932482901998,1.6472367731396302,1.7569991230392508,1.8667614729388726,1.468743536497631,1.0652274671639708,1.0652274671639708
400,0.698217620575712,0.7056003787996186,0.7802003109950167,0.7468122908855669,0.8188889847610575,0.826647388717457,0.8525870255652626,0.969033201488301,0.9803850463061657,0.9949175066044044,0.950816603180281,0.9949175066044044,0.9429421763127364,0.9978305381752769,1.0211246670173448,1.0356480225183957,1.0582147664275317,1.0513628738338703,0.9936114038525631,1.0793603047241302,1.3229335474033312,1.1024955395025802,1.1550721716435222,1.1585516952291377,1.1826296880149991,1.1692222283800326,1.3005609802533054,1.4481758965931117,1.5155482477325297,1.1749997738505946,1.3000332054342698,1.1997969785653413,1.3069157464437429,1.408153794388514,1.509187537676465,1.1997969785653413,1.3069157464437426,1.2003319469104745,1.3071057691343808,1.1876754977744344,1.3035915827359652,1.1876754977744344,1.3035915827359652,1.1876754977744344,1.3035915827359652,1.4655946744575334,1.600393392002573,1.6902592036992659,1.7801250153959611,1.4426626220974457,1.0898088806527122,1.0898088806527122
500,0.7202693481662648,0.7300419592044308,0.7799332888671442,0.7499262464618485,0.8242342706648056,0.8326088353764448,0.8433472464816316,0.9629972316225471,0.9851017902172777,0.9921490668940698,0.9445885323658613,0.9921490668940698,0.9340219794225889,0.9974569380533661,1.0301009595650374,1.047436211121305,1.0722817459979204,1.0639553298236002,0.9923425459682463,1.0963722699466167,1.3181421413425092,1.1182213759450839,1.1664620889263302,1.1714135475537395,1.19244684093389,1.1752603381596733,1.3009448659325005,1.4420724763099266,1.5016888432386337,1.1845640929060093,1.3012120225567376,1.2065074815471484,1.3089573439345208,1.3965759674533698,1.492580201564465,1.2065074815471484,1.3089573439345206,1.2065699184520082,1.3091396717631532,1.1955273203708736,1.3051922844292119,1.1955273203708736,1.3051922844292119,1.1955273203708736,1.3051922844292119,1.449513459441957,1.5598773156605832,1.6334532198063336,1.7070291239520858,1.4248677821360656,1.1117806887430863,1.1117806887430863
600,0.7374543319965984,0.7494889147580619,0.7808581412322373,0.7551959064058867,0.8291126013143625,0.8387773649984993,0.8385910348548845,0.9585210826076315,0.9908884562340853,0.9891470094495981,0.9398811170606973,0.9891470094495981,0.9267090081748659,0.99748400334714,1.0388294553641035,1.058573574798493,1.0844752986749713,1.0750822452862019,0.9916178023752009,1.1105996072794577,1.3121349747442699,1.1308508579435552,1.175544381330657,1.1810964690988157,1.1996538934228271,1.1818867307732108,1.3003855775441968,1.4353344377656694,1.4883032858436265,1.193455667901414,1.3015619578946582,1.213129963731173,1.30978100412574,1.3863720429927153,1.4765467317697594,1.213129963731173,1.3097810041257398,1.2127138941580617,1.3099132990497238,1.2030212547861936,1.3057462246204838,1.2030212547861936,1.3057462246204838,1.2030212547861936,1.3057462246204838,1.4343861576287653,1.5247444490125497,1.5849833099350719,1.6452221708575947,1.410089080642711,1.1311311450468275,1.1311311450468275
700,0.7512263716812697,0.7653535495160864,0.7827233899599675,0.7616650355308201,0.8335732562721156,0.8451155524167555,0.836855033388943,0.9553464423628305,0.997147140306638,0.9860697775724956,0.9364317773877254,0.9860697775724956,0.9208009323205681,0.9979303317321813,1.047011883706466,1.0688792173210422,1.0950524525828373,1.0849412692784621,0.991425339702879,1.1224668957438628,1.3061559046191615,1.141178682977824,1.183155550951492,1.1888515367293075,1.2053500760875966,1.188445204933756,1.2992734737580687,1.428081642971718,1.475453125759221,1.2013294299661292,1.3013526748305329,1.2193667740637117,1.3097840044164957,1.377177231482699,1.4612891335248648,1.2193667740637117,1.3097840044164955,1.2185222444133552,1.3098340764137077,1.209850166930283,1.3055940687833338,1.209850166930283,1.3055940687833338,1.209850166930283,1.3055940687833338,1.4201980577415063,1.494177188432252,1.5434966088927489,1.5928160293532452,1.3970128322696906,1.1480648017166828,1.1480648017166828
800,0.7625838541212843,0.7786180966934718,0.785323518111106,0.7687267048462862,0.83770450097907,0.8515537677089488,0.8371547548577194,0.953215921057194,1.003518231902309,0.9830356659162711,0.9340267306625151,0.9830356659162711,0.9161149362402341,0.998770042361806,1.0545395191406477,1.0783076069449868,1.1042733952717323,1.0937196631353991,0.9917168396196538,1.1323700650063677,1.300592797686784,1.149771696128615,1.1896950145150715,1.195335882058799,1.2100455803083288,1.1946099810120887,1.297819074851318,1.4204795735943703,1.4631358202017164,1.2081517084709537,1.3007239401752129,1.2250842945784821,1.3092064891593076,1.3687722720340463,1.4468806541798884,1.2250842945784821,1.3092064891593076,1.2238781474234564,1.309153500210609,1.2159224302553457,1.3049317320097213,1.2159224302553457,1.3049317320097213,1.2159224302553457,1.3049317320097213,1.4069359515889195,1.4675049499009682,1.5078842821090008,1.5482636143170327,1.3852395322827633,1.1628362460929604,1.1628362460929604
900,0.7722165994609191,0.78997003928389,0.7884920565831608,0.7760040661552761,0.8415970416060489,0.8580174610276314,0.8388244624932143,0.9519096298257657,1.0097909835339303,0.980128976508829,0.9324900232200237,0.980128976508829,0.9124879629565651,0.9999555488646806,1.0614034061662008,1.0868800079722691,1.1123587226384144,1.10156984352091,0.9924304096034703,1.1406482620177851,1.2955316079889716,1.1570281398964688,1.195372333385233,1.2008976197419892,1.213992439442208,1.2002367553863955,1.2961493611772874,1.412682749512261,1.4513389208553362,1.2140031207216606,1.299768121995362,1.2302351072286297,1.308212335965972,1.3610147419194485,1.43334026532629,1.2302351072286297,1.308212335965972,1.2287315076552456,1.3080452573196415,1.221240834358084,1.3038911568165377,1.221240834358084,1.3038911568165377,1.221240834358084,1.3038911568165377,1.3945838575078386,1.4441735676802172,1.4772333744618034,1.5102931812433882,1.3745942976233978,1.1756967196492978,1.1756967196492978
