milliseconds,SPB_B,SPB_T,Bfa1,Bfa1P4,Bfa1P5,Tem1GTP,Tem1GDP,B_Bfa1,B_Bfa1P4,B_Bfa1P5,T_Tem1GTP,T_Tem1GDP,B_Bfa1_Tem1GTP,B_Bfa1P4_Tem1GTP,B_Bfa1P5_Tem1GTP,B_Bfa1_Tem1GDP,B_Bfa1P4_Tem1GDP,B_Bfa1P5_Tem1GDP,Bfa1_Tem1GTP,Bfa1P4_Tem1GTP,Bfa1P5_Tem1GTP,Bfa1_Tem1GDP,Bfa1P4_Tem1GDP,Bfa1P5_Tem1GDP
0,8.33e-05,0.000166,2.0300000000000003e-08,0.0,0.0,4.910000000000001e-08,7.99e-09,8.33e-05,0.0,0.0,0.0,0.0,0.0,0.0,5e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,8.339761234311548e-05,0.0001645215933340427,1.7387468292740578e-08,1.0896604637340056e-10,1.3538459858561843e-15,4.635887724753408e-08,7.547423964778531e-09,1.6720614908110526e-06,7.023793218980232e-05,1.34027913441128e-07,1.271255510891174e-06,2.0720645567400605e-07,1.9851933648825415e-07,7.102929825838167e-06,4.940940919798782e-06,3.2318001475964875e-08,4.235295369237538e-06,5.91308463973576e-09,2.3449035193447046e-09,4.1780253566955674e-11,1.6788707050700084e-14,3.8355620381334243e-10,3.5542967858865256e-11,8.791244876365999e-17
200,8.350168285664566e-05,0.00016317799002343555,1.5040709537747504e-08,1.8755931735051552e-10,3.1608346661281836e-15,4.414184968891188e-08,7.191907739093217e-09,8.926230673643224e-07,6.195239277220826e-05,1.7652089057653948e-07,2.4264480014757824e-06,3.9570076031874944e-07,2.8204419340795374e-07,1.1514396529974883e-05,4.891554217539986e-06,4.592060232899635e-08,9.135045684192011e-06,1.3057088178314351e-08,4.204343456861149e-09,9.542551013062634e-11,3.3054696398287297e-14,6.889933206532477e-10,8.723080426293305e-11,2.1829661298544822e-16
300,8.360575337017582e-05,0.00016183438671282837,1.269395078275443e-08,2.661525883276304e-10,4.967823346400182e-15,4.192482213028968e-08,6.836391513407901e-09,1.1318464391759257e-07,5.366685335461421e-05,2.1901386771195094e-07,3.5816404920603906e-06,5.841950649634928e-07,3.6556905032765326e-07,1.5925863234111597e-05,4.8421675152811895e-06,5.9523203182027815e-08,1.4034795999146484e-05,2.0201091716892942e-08,6.063783394377595e-09,1.49070766694297e-10,4.93206857458745e-14,9.944304374931528e-10,1.3891864066700082e-10,3.486807772072364e-16
400,8.369851978408563e-05,0.0001609142484157876,1.0232083188444097e-08,3.342944054373255e-10,8.233898090421586e-15,3.9588269554872636e-08,6.479984484071193e-09,-4.884054544520967e-07,4.469400908119018e-05,2.662627619836258e-07,4.362808575090494e-06,7.23976054810168e-07,4.277799586671975e-07,1.965309094307089e-05,4.789670123082406e-06,6.97118340253319e-08,1.9902534643906797e-05,2.559347634457555e-08,8.012394170131275e-09,1.9190852952594859e-10,6.383055504984114e-14,1.3351813177784353e-09,1.9915263347882246e-10,5.918522345223358e-16
500,8.375223363302831e-05,0.00016145706564010852,7.372546113440464e-09,3.6632931488815837e-10,1.654071515014701e-14,3.683879081635122e-08,6.120499972348683e-09,-4.755783499809851e-07,3.3346714967797134e-05,3.2994204604131696e-07,3.851824875503145e-06,6.954658976563466e-07,4.1635701826265686e-07,2.1016460520055145e-05,4.726426149992264e-06,6.810613448598849e-08,2.9114407576826685e-05,2.4934497872776836e-08,1.0269065744213871e-08,1.9740936458124822e-10,7.227351107482923e-14,1.7979315688674179e-09,2.8891125359774967e-10,1.2246728668204461e-15
600,8.380594748197097e-05,0.00016199988286442948,4.513009038436817e-09,3.983642243389913e-10,2.4847532209872432e-14,3.40893120778298e-08,5.761015460626174e-09,-4.627512455098735e-07,2.1999420854404017e-05,3.936213300990081e-07,3.340841175915797e-06,6.669557405025253e-07,4.0493407785811614e-07,2.237983009703939e-05,4.663182176902122e-06,6.650043494664506e-08,3.8326280509746506e-05,2.4275519400978122e-08,1.2525737318296467e-08,2.0291019963654784e-10,8.071646709981732e-14,2.260681819956399e-09,3.7866987371667644e-10,1.8574934991185567e-15
700,8.385966133091364e-05,0.00016254270008875043,1.6534719634331833e-09,4.3039913378982417e-10,3.315434926959783e-14,3.1339833339308406e-08,5.401530948903665e-09,-4.499241410387619e-07,1.0652126741010906e-05,4.573006141566992e-07,2.8298574763284486e-06,6.38445583348704e-07,3.935111374535754e-07,2.3743199674023632e-05,4.59993820381198e-06,6.489473540730166e-08,4.7538153442666394e-05,2.361654092917941e-08,1.4782408892379062e-08,2.0841103469184748e-10,8.915942312480546e-14,2.7234320710453796e-09,4.684284938356032e-10,2.4903141314166637e-15
800,8.391337517985629e-05,0.00016308551731307133,-1.2060651115704498e-09,4.6243404324065694e-10,4.146116632932319e-14,2.859035460078699e-08,5.042046437181158e-09,-4.3709703656765036e-07,-6.951673723821438e-07,5.209798982143901e-07,2.3188737767411023e-06,6.099354261948826e-07,3.8208819704903476e-07,2.5106569251007876e-05,4.536694230721838e-06,6.328903586795825e-08,5.675002637558622e-05,2.29575624573807e-08,1.703908046646166e-08,2.139118697471471e-10,9.760237914979352e-14,3.1861823221343583e-09,5.581871139545299e-10,3.1231347637147703e-15
900,8.396708902879897e-05,0.00016362833453739228,-4.065602186574083e-09,4.944689526914898e-10,4.976798338904859e-14,2.584087586226559e-08,4.682561925458649e-09,-4.2426993209653877e-07,-1.2042461485775193e-05,5.84659182272081e-07,1.8078900771537557e-06,5.814252690410614e-07,3.706652566444941e-07,2.6469938827992124e-05,4.473450257631696e-06,6.168333632861483e-08,6.596189930850604e-05,2.229858398558199e-08,1.9295752040544248e-08,2.1941270480244668e-10,1.060453351747816e-13,3.6489325732233374e-09,6.479457340734562e-10,3.755955396012877e-15
