milliseconds,E,E_P_1,P,M,E_M,T,E_P_2,P2,E_P2
0,0.00015012830974490152,-1.7629011308656493e-07,1.0003175326404659,-0.0001397585795064486,5.235332530291059e-09,-1.0025370254348588e-05,3.4177641171063616e-08,-1.245436593799639e-05,1.215927829855495e-10
100,7.970019447291908e-05,6.257398693180437e-05,0.9990309059917322,0.0007518211829458093,3.3766031249924747e-08,-1.0241469227539335e-05,7.582706307114685e-06,5.4851953859080745e-06,5.13551799626239e-13
200,7.942995216156251e-05,6.27715324691789e-05,0.9985238648911531,0.0009453900656385073,5.5071655792848836e-08,1.2647792070859897e-06,7.545702717433186e-06,4.376086177881034e-05,2.566714192707246e-10
300,7.956248093412889e-05,6.321712018143204e-05,0.9980843588537712,0.001206827368251123,8.188069950051709e-08,1.410097518338295e-05,7.612754709859141e-06,5.3705132642693936e-05,4.287706124469171e-10
400,7.931728875578862e-05,6.282167740435581e-05,0.9976121706137552,0.0022456722445058585,1.2733142276411455e-07,5.2016875477463406e-06,7.549043072735172e-06,0.00010173582951756933,7.641152563076851e-10
500,7.937753445828237e-05,6.279114010508806e-05,0.9971096597229379,0.0027601761324138286,1.389631933861236e-07,3.0543506927170246e-06,7.577207862588313e-06,0.0001087368255345176,1.0967470708591128e-09
600,7.969412146815323e-05,6.308228928395518e-05,0.99662409878288,0.003215100029660393,1.7749443331795316e-07,1.1181178091622806e-06,7.523114204131946e-06,0.00013532775311069634,1.0970185426569518e-09
700,7.914330049963385e-05,6.24886183801816e-05,0.9957705770999602,0.0034993080416462746,2.1745314658601353e-07,2.2898180404758715e-05,7.595201938634574e-06,0.00017218508845191855,1.297261514661191e-09
800,7.918739078248856e-05,6.305498305421892e-05,0.9954964087314896,0.004152792546306957,2.4792461265099227e-07,2.3443346436215658e-05,7.528803658470557e-06,0.00019333136770901047,1.5015967678497683e-09
900,7.92441125342511e-05,6.24786472773576e-05,0.9951352971880075,0.00488629829730608,2.738259880689252e-07,1.6730632849535174e-05,7.5515795739914836e-06,0.00022153078810332956,1.7114050386954462e-09
1000,7.944131137236485e-05,6.28011503127822e-05,0.9946588755748925,0.0049071797024016995,3.0588370786746585e-07,2.6638752595010286e-05,7.575935241616591e-06,0.00022899800308239014,2.129263998789544e-09
1100,7.933101272539886e-05,6.232154756797439e-05,0.9938799118576681,0.005343529737629467,3.3593348205592344e-07,3.107959764283602e-05,7.542996941632152e-06,0.0002757484789761179,2.1715849888124265e-09
1200,7.968849728488725e-05,6.222646944758306e-05,0.9937027156568399,0.0059212135097258135,3.618892668106681e-07,3.8561526447771585e-05,7.515357406773306e-06,0.0002860524450761514,2.58847569617615e-09
1300,7.986332761252671e-05,6.216805455084239e-05,0.9928681658915224,0.006345559472528632,3.756041579108548e-07,6.271130328688937e-05,7.5138966667335455e-06,0.0003085597110112121,2.682114623421905e-09
1400,7.980781536868653e-05,6.240692554475367e-05,0.9927309434830628,0.0069108245256969195,3.986459644275137e-07,5.4135310068975056e-05,7.543973395595382e-06,0.00033152441239193454,3.0408089375412364e-09
1500,7.951957003203828e-05,6.239543597264628e-05,0.992107736153642,0.007664688825386395,4.3831824430890816e-07,6.281438357141634e-05,7.502610496717074e-06,0.00036137321797841837,3.006549857970902e-09
1600,7.909285877677435e-05,6.289326734283661e-05,0.9910937448609718,0.008454793822953183,4.669249686445733e-07,8.401820947172543e-05,7.495783990270866e-06,0.00037767767141102897,3.486930529576548e-09
1700,7.914586043541042e-05,6.24427269255383e-05,0.9909385062865108,0.008491209338620877,4.75328200689614e-07,9.539088221261589e-05,7.473830687730426e-06,0.0004052200489675876,3.5961510056104283e-09
1800,8.002004934713343e-05,6.252888311326316e-05,0.9902661460743089,0.00896023221454751,5.40893554743613e-07,9.413576377305764e-05,7.527818268868791e-06,0.0004217179578740555,3.802657223486813e-09
1900,7.99085885767993e-05,6.204393216561545e-05,0.9898624112398032,0.009509512397325753,5.710057459923434e-07,0.0001159757107039832,7.5011668307573385e-06,0.0004771089210637138,4.115014711935705e-09
2000,7.938977305552008e-05,6.201008365974247e-05,0.9890635214244795,0.010176388173731548,5.644233332215268e-07,0.00011789774069364333,7.525692218318075e-06,0.00046678779082970617,4.293666317508866e-09
2100,7.927692650796683e-05,6.24742281394571e-05,0.9885442210056191,0.01070305036178563,6.285812073969745e-07,0.00014213818220198108,7.549174036903777e-06,0.0005014825887526747,4.378072612528944e-09
2200,7.95021530160671e-05,6.213501159836836e-05,0.9881581762676884,0.011083540440140097,6.280500191815284e-07,0.00013895345575628046,7.499585879428692e-06,0.0005161074429732702,4.711694611193077e-09
2300,7.948663154693415e-05,6.26286407468762e-05,0.987857161998228,0.011399240941624205,6.795859037699203e-07,0.0001736366972480707,7.526904033040092e-06,0.0005607763519527697,4.836633119524571e-09
2400,8.001243525530797e-05,6.250349283500166e-05,0.9867988899685946,0.012202320984068211,6.909702514491657e-07,0.00016792179748357364,7.475789628639117e-06,0.0005736052549619174,5.0927365556973695e-09
2500,7.942286792248646e-05,6.241608386709942e-05,0.9864123310401411,0.012649427169616909,7.32876046224324e-07,0.0001972233715670811,7.519577095514695e-06,0.0006059851541620484,5.147168127848761e-09
2600,7.980801801249828e-05,6.220844412921567e-05,0.9860400998751769,0.012994169461321235,7.338048631008745e-07,0.00021559507821485477,7.533070988321219e-06,0.0006111358977126144,5.607284382711764e-09
2700,7.987224155531653e-05,6.182378436197776e-05,0.9853547362255235,0.013588507738687958,7.726375702520909e-07,0.00021755467126472725,7.52074582146117e-06,0.0006608783418432885,5.5667452722972334e-09
2800,7.917480578626452e-05,6.190871425200989e-05,0.9848696655590417,0.014303743107904485,8.192434493793067e-07,0.00024249869717033457,7.473243643058471e-06,0.0006614829872763794,5.986540406350763e-09
2900,7.980780120401577e-05,6.198198248421035e-05,0.9839226413346799,0.014845741980696336,8.199779088263135e-07,0.000251106458564984,7.4504191719370785e-06,0.0007040266586601307,6.049437737526151e-09
3000,7.961123605225445e-05,6.211159563133759e-05,0.9836488813140716,0.015060704609152806,8.524245110921748e-07,0.0002669399638318487,7.425907563272578e-06,0.0007116051765744624,6.3827014891382e-09
3100,8.00676687443475e-05,6.2253752763557e-05,0.9830199434177977,0.01563867596634613,9.093895142917084e-07,0.000287209294891745,7.516121221924004e-06,0.0007353404000602047,6.47920722549056e-09
3200,7.938892804417473e-05,6.162909457319849e-05,0.9830286146397895,0.016075527925494208,9.085091859627717e-07,0.0003206889596179742,7.479286015768114e-06,0.0007686403251527031,6.6246056455234315e-09
3300,7.918223259513785e-05,6.220625083093388e-05,0.9824520234009706,0.016840694412171602,9.603505072189884e-07,0.00033068831300811844,7.488542149842483e-06,0.0007827706216925084,6.951589313852293e-09
3400,7.999245679051801e-05,6.195103169943613e-05,0.9818792026566977,0.01713818502612658,9.80200885267643e-07,0.0003443345399507217,7.417273849533058e-06,0.0008245636531956591,7.15102441603707e-09
3500,7.930084244461413e-05,6.196624281831717e-05,0.9807044974183219,0.017480792084530183,1.0092060534210184e-06,0.0003823152723027961,7.415444156829388e-06,0.0008455348826465597,7.418127144656841e-09
3600,7.969651999760379e-05,6.1807351318004e-05,0.9802653775457637,0.018381206790170836,1.0554927887495223e-06,0.00040445957836964224,7.427744781966699e-06,0.0008863819775819797,7.652699654815325e-09
3700,7.981794855563715e-05,6.183852821460002e-05,0.9798845004287814,0.018552859947402113,1.0474826175702277e-06,0.0004242141342862811,7.391237385560844e-06,0.0008822434137848574,7.77088059232024e-09
3800,7.97375058665369e-05,6.172396366067855e-05,0.9798690433574354,0.01880842463677024,1.1001702509119529e-06,0.0004299150976600224,7.455356579810965e-06,0.0009327540432100289,7.989518350268447e-09
3900,7.984664680170441e-05,6.191682376783599e-05,0.9788180296549821,0.019525296595489832,1.108028057069891e-06,0.0004568864569447619,7.4599072530930155e-06,0.0009464547650021833,8.281590505143007e-09
