miliseconds,E,E_P_1,P,M,E_M,T,E_P_2,P2,E_P2
0,0.00014959480800913873,2.722690413523527e-07,0.9999168312707339,-0.00022123235792668113,6.913690513473132e-09,4.3894455664578337e-07,-7.213934882946624e-09,3.2046131760919502e-06,-3.2427421801937945e-11
100,7.946056826522601e-05,6.301491708067688e-05,0.9991053000323524,0.0005314208775181677,4.2632298592682866e-08,-5.447848053593538e-06,7.513067164927891e-06,3.47008059861559e-05,1.2199792550281627e-10
200,7.945385273038272e-05,6.253458394713965e-05,0.9988197721872885,0.0006945574584816789,4.1130003516117447e-08,1.1258936490996937e-05,7.609255827016321e-06,5.150114278743993e-05,4.4351209679826933e-10
300,7.974716131759029e-05,6.246700128986811e-05,0.998425809744576,0.001220970247954162,6.749187234167195e-08,8.550993869429983e-06,7.600660333993279e-06,7.452830855162167e-05,4.759088546279131e-10
400,7.94322272353793e-05,6.243750098020534e-05,0.9979634518172601,0.002246963774200477,1.1515723180607465e-07,1.2978484041639842e-05,7.5737020660477105e-06,9.993693605879269e-05,8.406873058449789e-10
500,7.986793959341448e-05,6.293218544762285e-05,0.9968819506630501,0.002213599692289656,1.3927629524111274e-07,-1.4995371142692933e-06,7.559920603691973e-06,0.00010373330874344466,1.0727909081019841e-09
600,7.901936615074417e-05,6.282553862788414e-05,0.9969695343082396,0.0034255479508901836,1.7533957456810889e-07,1.2894879853953677e-05,7.567193813368156e-06,0.00013896822889415255,1.329945971650348e-09
700,7.898850272947083e-05,6.263134115967515e-05,0.9960337441170328,0.003639031229854408,2.0735904749089745e-07,8.436493686538873e-06,7.591774870402012e-06,0.00018154300865056477,1.4644353802781925e-09
800,7.990692416350526e-05,6.298341098371274e-05,0.995600187573439,0.004302730803670362,2.483628937042965e-07,1.3233354303095933e-05,7.5757064516626525e-06,0.00017458437462724324,1.6111927862571263e-09
900,7.948580965895677e-05,6.305721276776154e-05,0.9949963649978327,0.004474373191066354,2.7589738753656226e-07,3.091353987038288e-05,7.594251287964828e-06,0.00020084967344471505,1.729031916425609e-09
1000,7.929542427254982e-05,6.258402370153494e-05,0.9942928460581415,0.005434277342144161,3.0063883827153694e-07,2.5755839401558407e-05,7.51981348113094e-06,0.00023504216276944964,1.9295284934039265e-09
1100,7.98626054154545e-05,6.278386979856978e-05,0.993970521988708,0.005347771041268125,3.3526943876582645e-07,2.914268048962575e-05,7.558496037946519e-06,0.00025665289843080236,2.285359724386292e-09
1200,7.960497555524838e-05,6.28872358889837e-05,0.9936224332134329,0.006130004911468569,3.662675602804414e-07,5.513212966389801e-05,7.515817139556605e-06,0.0002744737499736564,2.3906350846639226e-09
1300,7.908386428823105e-05,6.300779172513951e-05,0.9931944000876689,0.006395421707785618,3.8139570455085596e-07,5.922168073485598e-05,7.494943269179459e-06,0.00031567339154408,2.753896228489398e-09
1400,7.959616195542302e-05,6.272947425197526e-05,0.9924189272380152,0.007305567174912938,3.9138608903408255e-07,5.568793705875891e-05,7.5779254793004575e-06,0.00034416984179674995,2.833895877707955e-09
1500,7.941895542958215e-05,6.243229715282703e-05,0.9921982918426532,0.007448549270687777,4.4564949703956575e-07,7.072699887978241e-05,7.493134189551887e-06,0.0003548823284950322,3.2289656674645916e-09
1600,7.943256423030173e-05,6.260333700264444e-05,0.9909336103276881,0.00782255672521955,4.6934376971747593e-07,6.984203275276457e-05,7.5503666162656725e-06,0.00037692649713691586,3.496214300081337e-09
1700,7.96776645652653e-05,6.247900562950963e-05,0.9905973905487336,0.008354560678694714,4.782270206166264e-07,8.835988986190207e-05,7.4752773107546355e-06,0.0004082074464597326,3.4996982901924844e-09
1800,7.945192126297504e-05,6.27083892112e-05,0.9905025846925435,0.008848180476588892,5.441679655880283e-07,9.29681879726848e-05,7.501675782230032e-06,0.0004517531437170403,3.705936522773218e-09
1900,7.904545353923148e-05,6.268929824417068e-05,0.9898175729210895,0.009614306053891498,5.739456576625523e-07,0.00010833611872324239,7.46155539218047e-06,0.00047027566917028736,4.112340950485549e-09
2000,7.999841743626129e-05,6.218887156126505e-05,0.9889721065925832,0.009873904425537035,5.961695268715223e-07,0.00011234447126427093,7.5448476193855484e-06,0.0004938287504547546,4.248365507797425e-09
