miliseconds,E,E_P_1,P,M,E_M,T,E_P_2,P2,E_P2
0,0.00014989729881558137,-2.831430779458684e-07,1.0002213495222407,-7.83022714854222e-05,-3.913681066602004e-09,-4.144763309615443e-06,3.0881615383973235e-08,1.319506781512205e-05,1.0274806927057932e-10
100,7.956994236425538e-05,6.268110225122327e-05,0.9991700527718453,0.00015462476618985507,4.618202543776767e-08,4.666367151508897e-06,7.5597735991246795e-06,3.6888581844432637e-05,1.9639410354108826e-10
200,7.976414871704797e-05,6.315088305472364e-05,0.9987155864595275,0.000748993783677601,4.0968082668384646e-08,8.829076454643077e-06,7.518979207520087e-06,4.992065637479998e-05,4.1389749689338483e-10
300,7.900351205677865e-05,6.251266090501973e-05,0.998060201188384,0.0018148557709911338,8.020483451757594e-08,8.712592861901242e-06,7.531002893709101e-06,7.315143971915126e-05,5.327113426921831e-10
400,7.955910673952648e-05,6.257603992527566e-05,0.9978406970215407,0.0017240033727431501,1.1453332385629511e-07,2.5837548093537684e-06,7.586549621263886e-06,8.976262217640637e-05,9.287981092387562e-10
500,7.970064023499607e-05,6.241155126152293e-05,0.9971138264926944,0.0023420777731089897,1.5554962391256254e-07,3.0545395571691944e-06,7.540657737279423e-06,0.00012157270677276306,1.0605587110048275e-09
600,7.932200693748226e-05,6.275298648020991e-05,0.9967082707434404,0.0028614527163897878,1.6096326654848175e-07,8.921423175814094e-06,7.566342291487367e-06,0.0001488333299636421,1.145426023841624e-09
700,7.987436788420264e-05,6.23808220627989e-05,0.9958217867462813,0.0037343708012825224,1.9083002699827622e-07,1.9806368536346805e-05,7.5897198659177194e-06,0.0001775201150749982,1.4943316470139792e-09
800,7.969876248160574e-05,6.236489300348221e-05,0.9959576966681535,0.003914978066097511,2.5393452279156536e-07,1.0271409118839537e-05,7.5446300260294835e-06,0.00019496323797087056,1.6419346674052215e-09
900,7.993065860687721e-05,6.307894225085812e-05,0.9947634242664026,0.004382499041730137,2.536686740764825e-07,2.9796209510780277e-05,7.595171088428148e-06,0.00020742018324559127,1.9112545114844364e-09
1000,7.952445884800678e-05,6.291089248448781e-05,0.9947906612720153,0.005342868929085583,2.9113641472210614e-07,2.2375596744799417e-05,7.5209468340074655e-06,0.00022486891501690649,1.950325134924705e-09
1100,7.922347731711682e-05,6.248554688068375e-05,0.9943350128040511,0.005810977644990361,3.163912168605061e-07,2.84293607234599e-05,7.572472902445157e-06,0.0002643317824712373,2.1251657675928457e-09
1200,7.976966746144393e-05,6.271811900959893e-05,0.993344169002287,0.0057949177075225415,3.604973614627473e-07,4.48269014430268e-05,7.53728895020094e-06,0.00029269125363789495,2.5407596525238882e-09
1300,7.958899156059306e-05,6.285843789426118e-05,0.9925385713192643,0.006710078296898965,3.6531694778225884e-07,4.481937628840103e-05,7.498551607181302e-06,0.0003300567674464676,2.7197265955044705e-09
1400,7.928545196872633e-05,6.25385498354721e-05,0.9927514330744827,0.006820179597661878,4.0845115238139096e-07,5.44355878652236e-05,7.567383883374159e-06,0.00035420719948885647,2.809759718737503e-09
1500,7.927836486613588e-05,6.266626027879194e-05,0.9921218289379722,0.007489571393678862,4.3647474892294114e-07,6.571970654507906e-05,7.47170254958973e-06,0.00035733477156051974,3.0713940884298262e-09
1600,7.941898002965045e-05,6.245611555668618e-05,0.9915221195177998,0.008038132327014561,4.5058559221909223e-07,8.156246943996439e-05,7.515847871617045e-06,0.0003957116229038432,3.4185201691102833e-09
1700,7.948775760661112e-05,6.261308930904576e-05,0.9904082738064137,0.008954951917651577,5.081927422866231e-07,9.077594054612767e-05,7.54975544964874e-06,0.00041675117707104515,3.5545223985187766e-09
