miliseconds,E,E_P_1,P,M,E_M,T,E_P_2,P2,E_P2
0,0.00014953643675857814,2.4566959942350163e-07,1.0000294906926566,-0.00032807775783985323,-5.067158958200356e-09,-9.24064423770647e-06,3.165842924204775e-08,-1.1041980996958122e-05,5.262033748579793e-11
100,7.940564681581393e-05,6.25416583527277e-05,0.9997054421401168,0.0007174733908465993,2.9592453759348613e-08,5.73022936808749e-06,7.5321113371163825e-06,3.357795950095035e-05,-2.7360473692455746e-12
200,7.938690365839926e-05,6.298833167818862e-05,0.9985021369638992,0.0006864392347510242,7.710522226096305e-08,8.982347744599982e-07,7.585638628938148e-06,4.466405546279051e-05,1.9544571026763338e-10
300,7.949505487774384e-05,6.304623649839773e-05,0.998251283854219,0.0016105441367208334,9.469078323203096e-08,3.015119244344957e-06,7.57342755966492e-06,8.055001887091916e-05,4.904662956627694e-10
400,7.989669006956423e-05,6.288136389604612e-05,0.9979131473711963,0.0019819126796037454,9.854141136253087e-08,-4.7446372565640646e-06,7.529527161447915e-06,8.980477316668395e-05,8.98918910458082e-10
500,7.965649989538055e-05,6.310383849011153e-05,0.9969588067294871,0.0025560013319244675,1.5240113897294555e-07,-4.0366875049205955e-06,7.578124141018368e-06,0.0001116842621530172,9.975208862584658e-10
600,7.984559439247886e-05,6.307765499029555e-05,0.9968178403060439,0.003226483436711557,1.613371142124828e-07,1.6236276589756583e-05,7.570396593578708e-06,0.00013255179693883931,1.2595585600335456e-09
700,7.906632637147915e-05,6.285110987437217e-05,0.9961851861605697,0.003781010777286569,2.1153090675555261e-07,1.2373779709980725e-05,7.513142813872395e-06,0.00017078300750435766,1.2675277527986353e-09
800,7.948247409167592e-05,6.264469290924483e-05,0.9956588010352673,0.0037512918606581952,2.316450494100886e-07,1.87864838335433e-05,7.55526672500301e-06,0.0001897877175877332,1.737876139062388e-09
900,7.978916691102931e-05,6.288080441727168e-05,0.994708830412917,0.004265496290570315,2.637996756617012e-07,1.3230832316396943e-05,7.529647512444825e-06,0.00021319567077578592,1.9590758818188122e-09
1000,7.942751739715681e-05,6.300424756438411e-05,0.9944607806672486,0.004919232722642062,2.909333920687055e-07,2.2582665522131648e-05,7.588751669092254e-06,0.0002305463965432037,1.918959888845625e-09
1100,7.962587450599755e-05,6.281098938597963e-05,0.994232752627043,0.00530486055628226,3.298024400595034e-07,2.9915441236241535e-05,7.487972988670633e-06,0.00025723670110374303,2.1516565174029385e-09
1200,7.914625131093486e-05,6.273182108131587e-05,0.993747718510372,0.005839523268502896,3.4838694958781763e-07,3.924915478303943e-05,7.51537070170203e-06,0.0002749252750133831,2.5425961120467093e-09
1300,7.936441381806774e-05,6.297706866315343e-05,0.9925342645097157,0.006484800021703041,3.956809138986798e-07,4.4793441601180756e-05,7.479422846664369e-06,0.00031278862922407653,2.567524933500461e-09
1400,7.948456852772753e-05,6.218153259165529e-05,0.9924391545225342,0.007342711540046116,4.006949781962183e-07,5.3335545050840626e-05,7.569873755607274e-06,0.00034198980718998175,2.99193712089574e-09
1500,7.92110542773454e-05,6.210002856519608e-05,0.9919199874436556,0.007429570784704145,4.392734553811036e-07,6.593736418350295e-05,7.5593009698437086e-06,0.00036859343614949744,3.0835532842471517e-09
1600,7.993936915264498e-05,6.252957082042008e-05,0.9912325511788556,0.008377345281792695,4.6823349428682005e-07,6.725713667526018e-05,7.54964355730912e-06,0.0003858714668610648,3.431260799400102e-09
1700,7.924266636781872e-05,6.218881101945505e-05,0.9907361395082911,0.008392520126322727,5.077074862121111e-07,8.463699203013898e-05,7.525667897677695e-06,0.0003977494547132671,3.4036038617136696e-09
1800,7.998015513770645e-05,6.261817293664133e-05,0.9900400969063428,0.009370418587051212,5.124081842548021e-07,9.064251190636936e-05,7.542816991131092e-06,0.0004424291421061438,3.857499725955459e-09
