milliseconds,E,E_P_1,P,M,E_M,T,E_P_2,P2,E_P2
0,0.00015032294996850253,-6.6877997632052e-08,0.9996610072245344,-0.0002955249703678081,-2.633870266357817e-09,1.024368244216203e-05,6.590057933593572e-09,-8.09156709235677e-06,7.334130072861186e-11
100,7.943508533490767e-05,6.325200445462219e-05,0.9997882133174928,0.0005896600077758596,3.681967548943068e-08,9.844306003724036e-06,7.605285463998502e-06,1.332886028721317e-05,2.600943225343291e-10
200,7.918097779105991e-05,6.252198587943058e-05,0.9991955676602372,0.0011224775776400055,3.64674377963204e-08,-1.0420514970309895e-05,7.530493545184993e-06,3.08916504649801e-05,4.732238768518527e-10
300,7.932212484027752e-05,6.288099051491192e-05,0.9980566287877106,0.0012868604985105587,6.65906759468602e-08,3.742556423342695e-06,7.554025904221865e-06,5.295904432638446e-05,5.991962505470258e-10
400,7.91545097752226e-05,6.280349755366507e-05,0.9977153711412533,0.0021809722796479265,1.002249730029245e-07,2.1788249742366567e-06,7.595360627864357e-06,8.104971425606418e-05,6.536136521844191e-10
500,7.981754029153021e-05,6.314218480914597e-05,0.9969033399643581,0.002809099352612029,1.3512885568807734e-07,1.4865338473720193e-05,7.54690400389702e-06,0.0001294101015343848,9.717027064897982e-10
600,7.953440222795671e-05,6.284428765664688e-05,0.9964283401550311,0.0029704185037864065,1.6347208575699415e-07,1.5183620784762427e-05,7.558523529849559e-06,0.00015703750140662388,1.0882704851599199e-09
700,7.991533904149968e-05,6.233299020059174e-05,0.9957765096850419,0.0037682010191448746,1.9279242787300863e-07,9.834575312012966e-06,7.537008477217815e-06,0.00015102711067988605,1.4686369205182162e-09
800,7.997213907933027e-05,6.250201018115101e-05,0.9960055248458944,0.004148438073094796,2.210037973462381e-07,1.1081723324972324e-05,7.569960881098123e-06,0.00018504293458766917,1.5105283898239886e-09
900,7.925126117013096e-05,6.251807169091582e-05,0.994827452246629,0.0045129552844809405,2.8293901050196636e-07,3.508494501963765e-05,7.531886519831262e-06,0.00021399184283662633,1.8071055069052582e-09
1000,7.937745670120505e-05,6.297166963197009e-05,0.9947208545414234,0.0048514741934005765,2.957020921869188e-07,2.672505855571278e-05,7.5386201968660456e-06,0.0002584458743043374,2.1668770138804833e-09
1100,7.96225721858813e-05,6.30085458190674e-05,0.99366357462351,0.005370171583222448,3.395447774645014e-07,3.0217901196709203e-05,7.575138232501915e-06,0.00024780396267227214,2.169422910295622e-09
1200,7.942052811502275e-05,6.263437697486948e-05,0.9937552189675284,0.006199489696180735,3.6070032995491013e-07,5.500931858402008e-05,7.532434007587507e-06,0.00029022285257122805,2.6138144684043094e-09
1300,7.963491921666007e-05,6.229855836520843e-05,0.992580955538904,0.007018039828214333,3.6238112801097327e-07,4.3389589791729284e-05,7.487489756477423e-06,0.00032566604556782833,2.8255683998129795e-09
1400,7.975386821991929e-05,6.285164373969771e-05,0.9921255166167886,0.006876053479775969,4.142342862319578e-07,5.130943062060007e-05,7.5156412619562826e-06,0.0003393937290067098,2.9808049247230424e-09
