milliseconds,APC,APC_Va,Va,Va_i_506,Va_i_306,APC_Va_i_506,APC_Va_i_306,Va_i_306_506,Va_1_306_Va_LC,Va_307_506,Va_507_679_709,APC_Va_1_306_Va_LC,Xa,Xa_Va,Xa_Va_i_506,Xa_Va_i_306_506,Xa_Va_i_306,Va_307_679_709,PT,Va_PT,Xa_Va_PT,Xa_Va_i_506_PT,Xa_Va_i_306_PT,Xa_Va_i_306_506_PT
0,2.013512658087341e-09,5.3431572629016754e-12,1.9920289724981666e-08,8.310601260353356e-11,-1.6225174863885595e-12,-1.2048893698873975e-12,-8.43311575012349e-13,-5.6532597915338104e-12,9.973021734515242e-13,1.942842622499242e-13,1.3069742242810286e-13,2.2187558259439412e-14,0.0,0.0,0.0,0.0,0.0,6.383621693475583e-13,0.0,0.0,0.0,0.0,0.0,0.0
100,1.6817012278784035e-09,3.4510201549635465e-10,1.9763589694683463e-08,1.0799183395468161e-11,-7.82674063234063e-12,-4.596700046719518e-12,-9.121331830464278e-15,7.040131351409027e-13,3.91724434916091e-13,1.4926139734563044e-14,-4.4180709609022416e-14,-7.026182379159819e-14,0.0,0.0,0.0,0.0,0.0,6.163478708222502e-13,0.0,0.0,0.0,0.0,0.0,0.0
200,1.4668200961149704e-09,5.598371082860615e-10,1.9244578181173415e-08,4.963840398828267e-11,6.9363655645620136e-12,-3.531780051847486e-12,6.395899349812314e-13,2.1075275422514864e-12,-1.0582207503095337e-12,-5.4019267559963503e-14,1.351840811538999e-13,2.865290417925343e-14,0.0,0.0,0.0,0.0,0.0,1.5195191061365079e-12,0.0,0.0,0.0,0.0,0.0,0.0
300,1.2810593804658709e-09,7.116733062929404e-10,1.9041714019132222e-08,3.505723454498859e-11,2.351639886981603e-11,-6.886745139631436e-12,-5.141802278567491e-13,-2.3603372758486858e-12,3.285099008448698e-13,8.190320555092909e-14,-1.3323990642232844e-13,-4.437398234385564e-14,0.0,0.0,0.0,0.0,0.0,4.88969491382416e-13,0.0,0.0,0.0,0.0,0.0,0.0
400,1.2071588487076896e-09,7.92842413847341e-10,1.8999626719740778e-08,2.9858701563064213e-10,4.028740146774534e-11,1.2572840748316057e-11,4.0213996497650607e-13,-2.774908177827548e-12,1.2811880055472735e-12,2.3912337294445656e-13,-1.0724471168200952e-13,-8.414493698024356e-14,0.0,0.0,0.0,0.0,0.0,1.4263087601587262e-12,0.0,0.0,0.0,0.0,0.0,0.0
500,1.140019394563898e-09,8.510962775455143e-10,1.8760837246489406e-08,2.5774113276974335e-10,4.009085771137517e-11,1.53945945795749e-11,1.26052892376577e-12,2.9639489688237246e-12,1.3677486456742842e-12,-8.606197499548558e-14,-1.3477986248680525e-13,4.1027261625953925e-14,0.0,0.0,0.0,0.0,0.0,7.842100677283907e-14,0.0,0.0,0.0,0.0,0.0,0.0
600,1.0867056801256922e-09,9.056435826059057e-10,1.8662079150618453e-08,4.734106255392587e-10,8.010495616280161e-11,4.564713485823576e-12,1.340634342253535e-12,4.582054778542466e-12,-2.855346591052479e-13,8.706836495741456e-14,6.99881935347178e-14,-5.905067306184419e-14,0.0,0.0,0.0,0.0,0.0,-4.5365157612625335e-14,0.0,0.0,0.0,0.0,0.0,0.0
700,1.0430761312518798e-09,9.337341875881255e-10,1.8541015741653474e-08,4.000657958135433e-10,8.033875354183218e-11,2.217738088325281e-11,2.405180566779311e-12,2.4080434045145105e-12,2.6842151895082733e-13,1.5387425464698068e-13,2.391555642993825e-13,8.213232565440202e-14,0.0,0.0,0.0,0.0,0.0,-6.209424743126164e-13,0.0,0.0,0.0,0.0,0.0,0.0
800,1.0429659643343422e-09,9.291499203718571e-10,1.8298750598869483e-08,5.409005804764352e-10,9.25928476999058e-11,8.222657536065354e-12,2.2096098330248323e-12,5.774987499435633e-12,2.35559240739936e-12,1.7924802134143416e-13,2.369893736175793e-13,6.778530354585406e-14,0.0,0.0,0.0,0.0,0.0,-5.599202635580778e-13,0.0,0.0,0.0,0.0,0.0,0.0
900,1.0321386949918508e-09,9.343978501248014e-10,1.8222381881087948e-08,5.321016932378635e-10,1.1371083638622164e-10,2.958712438943678e-11,2.5284052589155108e-12,-3.764477508395291e-12,1.6976052182838194e-12,4.2690497116456466e-14,3.7357728330319976e-14,1.0551448066811621e-13,0.0,0.0,0.0,0.0,0.0,1.3010153047405066e-12,0.0,0.0,0.0,0.0,0.0,0.0
1000,1.0247112754545153e-09,9.533886814367073e-10,1.8267229521013653e-08,6.934756478743316e-10,1.410781383920608e-10,3.33680329693791e-11,3.038475355659575e-12,3.0719506319627165e-12,3.1177900420197264e-13,-2.1452458190855158e-13,8.889858698601297e-14,1.3018794414332726e-14,0.0,0.0,0.0,0.0,0.0,2.57111633577354e-12,0.0,0.0,0.0,0.0,0.0,0.0
1100,9.933978123759728e-10,9.459989153779972e-10,1.8070989205975976e-08,7.915043132545668e-10,1.5111610436155373e-10,2.718809036660529e-11,5.704940031005871e-12,5.311795945102526e-12,1.2007781601644751e-12,2.5338826899454613e-13,1.6349083067775572e-13,1.1601247019364104e-14,0.0,0.0,0.0,0.0,0.0,3.0922921433467343e-12,0.0,0.0,0.0,0.0,0.0,0.0
1200,1.0040813759603465e-09,9.494394750087636e-10,1.8054643063633523e-08,8.230756092206306e-10,1.7317603538314322e-10,4.6240368578191105e-11,5.3502885420352255e-12,4.285217133820924e-12,2.1738710573578654e-12,2.7902251939371923e-14,1.7632859914241996e-13,1.969879624720922e-14,0.0,0.0,0.0,0.0,0.0,1.33169566273821e-12,0.0,0.0,0.0,0.0,0.0,0.0
1300,9.914933059470912e-10,9.419043532050519e-10,1.7766182699049916e-08,8.80995723044398e-10,1.985842277035202e-10,3.488897314911555e-11,6.304659471690477e-12,2.581850516678473e-12,3.634661168376553e-12,-1.668180261019098e-13,1.2208003181708385e-13,1.8408489835715388e-13,0.0,0.0,0.0,0.0,0.0,2.6762075380632908e-12,0.0,0.0,0.0,0.0,0.0,0.0
1400,9.884228310853567e-10,9.535403233052737e-10,1.7690136885452593e-08,1.0275756941606324e-09,2.0014322018174954e-10,3.8552498948086106e-11,8.06931481232224e-12,6.178218749810988e-12,4.850069548903402e-12,3.843258312951641e-16,3.602031810298458e-15,1.9019220648010932e-13,0.0,0.0,0.0,0.0,0.0,3.655748373364933e-12,0.0,0.0,0.0,0.0,0.0,0.0
1500,9.90855631686255e-10,9.381503082836224e-10,1.7570660218415085e-08,1.0941805461809036e-09,2.1508612721480802e-10,4.838870643274471e-11,7.043383188902348e-12,1.1906862733751393e-11,2.778896558327079e-12,1.4923017654849552e-13,3.0292273547004147e-13,2.289427293754943e-13,0.0,0.0,0.0,0.0,0.0,4.574726588641162e-12,0.0,0.0,0.0,0.0,0.0,0.0
1600,9.927872371352313e-10,9.457036957268504e-10,1.7337495694807882e-08,1.3313925014704652e-09,2.491706545909991e-10,5.6496528231269965e-11,7.948326131811704e-12,1.5111658120123628e-11,5.722202271403142e-12,2.939008296394357e-13,3.340089314917771e-14,2.047927665423115e-13,0.0,0.0,0.0,0.0,0.0,5.6093255829142175e-12,0.0,0.0,0.0,0.0,0.0,0.0
1700,9.8400028197448e-10,9.398658626860326e-10,1.7373467787011137e-08,1.3794028741911488e-09,2.575384346353971e-10,7.525702409379176e-11,8.522348027200747e-12,1.0753255948548357e-11,6.796193187895431e-12,1.1745244659364827e-13,1.716910248633971e-13,2.307163217627454e-13,0.0,0.0,0.0,0.0,0.0,4.3887624858894985e-12,0.0,0.0,0.0,0.0,0.0,0.0
1800,9.986601603238878e-10,9.270800470244391e-10,1.7328405464669816e-08,1.4196962483031796e-09,2.4797683154039905e-10,8.125752579079759e-11,1.0589021871721328e-11,1.1762448242599635e-11,5.990142758823648e-12,1.0114909388824152e-13,2.2975748553957673e-13,2.465988579096654e-13,0.0,0.0,0.0,0.0,0.0,5.472070322418174e-12,0.0,0.0,0.0,0.0,0.0,0.0
1900,1.0008454038746169e-09,9.342928414937928e-10,1.7268063381124056e-08,1.5575115086033473e-09,2.7257136504499573e-10,8.173274622473416e-11,1.200464118438759e-11,2.0903271840011103e-11,7.972649460576773e-12,3.9284724537012907e-13,6.271921311935094e-14,3.7230773309076944e-13,0.0,0.0,0.0,0.0,0.0,5.746526155672764e-12,0.0,0.0,0.0,0.0,0.0,0.0
2000,9.784383045164776e-10,9.318497456740453e-10,1.7162227598990477e-08,1.646225253551179e-09,2.889377607585703e-10,9.739812097029458e-11,1.1020861237717905e-11,1.5906064382985576e-11,9.138282938652944e-12,1.296942505680987e-13,3.665029402181899e-13,3.084355699168485e-13,0.0,0.0,0.0,0.0,0.0,8.777961935887766e-12,0.0,0.0,0.0,0.0,0.0,0.0
2100,9.608833834827526e-10,9.190813865092905e-10,1.6997102871733668e-08,1.7321959356772916e-09,2.988261062968584e-10,1.0694038225896627e-10,1.328100216865107e-11,2.8775674418048086e-11,9.09567903997096e-12,3.5334813810529647e-13,5.597469427790405e-13,4.73939135289829e-13,0.0,0.0,0.0,0.0,0.0,8.062749360765639e-12,0.0,0.0,0.0,0.0,0.0,0.0
2200,9.783242350072103e-10,8.88200702143506e-10,1.6815120450818778e-08,1.7372848927065977e-09,3.120253129247483e-10,1.008784664810282e-10,1.391863592645855e-11,2.475878926017854e-11,1.0973668903599404e-11,6.615984394325258e-13,2.1635232611240087e-13,5.716986111996702e-13,0.0,0.0,0.0,0.0,0.0,9.68607439504038e-12,0.0,0.0,0.0,0.0,0.0,0.0
2300,9.85622786309518e-10,9.069403439797042e-10,1.668727474775784e-08,1.8260837119024512e-09,3.314156867249056e-10,1.1287445378761674e-10,1.5297979444784497e-11,2.935558060529867e-11,1.0730744704646034e-11,4.783739021269366e-13,4.933562879339567e-13,4.799131575578234e-13,0.0,0.0,0.0,0.0,0.0,1.1108330092177054e-11,0.0,0.0,0.0,0.0,0.0,0.0
2400,9.767781117941416e-10,8.983639404199084e-10,1.6637979360243046e-08,1.893783425908169e-09,3.5314736654360315e-10,1.1240082909835603e-10,1.6285527813326968e-11,3.9547558468117614e-11,1.0240621531486034e-11,6.067708029288353e-13,7.382964985911996e-13,6.513196290590828e-13,0.0,0.0,0.0,0.0,0.0,1.0399662683040602e-11,0.0,0.0,0.0,0.0,0.0,0.0
2500,9.804123185298243e-10,8.857211138417069e-10,1.6711905531361778e-08,1.9840013192088124e-09,3.821276967655325e-10,1.3740037171432722e-10,1.6844686339822582e-11,4.1061669055113486e-11,1.2079044146460768e-11,7.122779571891109e-13,8.803188868339837e-13,7.687091950151925e-13,0.0,0.0,0.0,0.0,0.0,1.2153326647223937e-11,0.0,0.0,0.0,0.0,0.0,0.0
2600,9.728014769373619e-10,8.747892084556442e-10,1.6447369062371142e-08,1.993554343650071e-09,3.67741410643062e-10,1.3783795781333466e-10,1.6236498975788816e-11,4.083637538947366e-11,1.2591135164057766e-11,9.854445614356981e-13,8.154325347507784e-13,7.641376447402823e-13,0.0,0.0,0.0,0.0,0.0,1.2458263860993255e-11,0.0,0.0,0.0,0.0,0.0,0.0
2700,9.750885494678678e-10,8.627079488346059e-10,1.6456601439767117e-08,2.2048535226762778e-09,4.021144382021501e-10,1.4965516007158946e-10,1.771610610495827e-11,4.136653990555624e-11,1.3182815342618371e-11,1.0529326319977579e-12,1.136692478311975e-12,7.225024640179338e-13,0.0,0.0,0.0,0.0,0.0,1.3456717668188246e-11,0.0,0.0,0.0,0.0,0.0,0.0
2800,9.800823004482596e-10,8.507013440719488e-10,1.6245360834000472e-08,2.284906985219922e-09,3.897202015002395e-10,1.491066977123633e-10,1.7530775791193708e-11,5.163401092806289e-11,1.6753341516345878e-11,1.2613535520640631e-12,1.279014711952197e-12,9.682943681590863e-13,0.0,0.0,0.0,0.0,0.0,1.4064458125333937e-11,0.0,0.0,0.0,0.0,0.0,0.0
