milliseconds,APC,APC_Va,Va,Va_i_506,Va_i_306,APC_Va_i_506,APC_Va_i_306,Va_i_306_506,Va_1_306_Va_LC,Va_307_506,Va_507_679_709,APC_Va_1_306_Va_LC,Xa,Xa_Va,Xa_Va_i_506,Xa_Va_i_306_506,Xa_Va_i_306,Va_307_679_709,PT,Va_PT,Xa_Va_PT,Xa_Va_i_506_PT,Xa_Va_i_306_PT,Xa_Va_i_306_506_PT
0,1.993078917506543e-09,-3.037235342180178e-12,2.0010306107592752e-08,-2.5725328662496177e-11,-1.0776117599990967e-11,-2.946564414909184e-12,1.160341457652325e-13,-3.2110964660562323e-12,-7.275103627363328e-13,-1.903031130292938e-13,-1.2790011882306526e-13,1.9341723610847196e-14,0.0,0.0,0.0,0.0,0.0,-6.123171652137342e-13,0.0,0.0,0.0,0.0,0.0,0.0
100,1.6692450754653868e-09,3.2454349785081243e-10,1.9642332618355536e-08,5.175945487287215e-11,-7.836752879174174e-12,7.815735813126299e-12,7.392995664754555e-14,6.115778236795518e-13,9.422006079225638e-13,2.0647244463831468e-13,-2.1007769939468e-13,-9.527730765762017e-14,0.0,0.0,0.0,0.0,0.0,6.357420657792532e-13,0.0,0.0,0.0,0.0,0.0,0.0
200,1.4512780807565703e-09,5.478592473659148e-10,1.93331087851287e-08,1.557783769903862e-10,2.028924490716267e-11,-5.897240432943513e-12,3.7737151118296383e-13,5.934123728260079e-12,-1.0170248956190524e-12,-1.3013636246428773e-13,1.4958130155908172e-13,8.379672428804307e-14,0.0,0.0,0.0,0.0,0.0,-4.658453361047872e-13,0.0,0.0,0.0,0.0,0.0,0.0
300,1.293111493968135e-09,7.034983540566187e-10,1.9042492340200927e-08,1.455945814673915e-11,7.757638168587197e-12,2.6126295727245345e-12,-5.214898074669205e-13,-3.07293708113388e-12,6.06971341749946e-15,2.3597819984628682e-14,1.7152105348502187e-13,-8.716140083397333e-14,0.0,0.0,0.0,0.0,0.0,5.174429852041974e-13,0.0,0.0,0.0,0.0,0.0,0.0
400,1.2190306620816219e-09,8.047321311308446e-10,1.883717017712573e-08,1.8694732866065023e-10,5.584966108496855e-11,7.236283392863004e-12,-1.1578474584519119e-14,3.8683316381959873e-13,3.9885195888318047e-13,-6.339600448016123e-14,8.00235179885155e-14,-9.995222406131239e-14,0.0,0.0,0.0,0.0,0.0,-1.0904932565660492e-12,0.0,0.0,0.0,0.0,0.0,0.0
500,1.1482820159781002e-09,8.557907364274106e-10,1.8746203649602137e-08,3.589262247209166e-10,3.31433532406305e-11,5.658672187517731e-12,4.652905698558183e-13,-3.4976700187090976e-12,-4.960383017355998e-13,-2.2148571709505916e-13,1.0837868878435844e-13,-1.9117020568405958e-14,0.0,0.0,0.0,0.0,0.0,7.736413462915903e-13,0.0,0.0,0.0,0.0,0.0,0.0
600,1.0875179680277663e-09,8.985546451201973e-10,1.8685216347292635e-08,4.061312799192376e-10,6.407093722320491e-11,8.661794739730832e-12,2.0332094797249046e-12,3.468446614302121e-12,2.0067316972176844e-12,1.9054238931765703e-13,3.0930706421575483e-15,-4.6910910602673045e-14,0.0,0.0,0.0,0.0,0.0,7.110085794621489e-13,0.0,0.0,0.0,0.0,0.0,0.0
700,1.0739289456089319e-09,9.393712809142122e-10,1.866997831360135e-08,4.0687207201803173e-10,9.052039606430965e-11,1.85231778299562e-11,1.0413709138271e-12,-4.9504135130888295e-12,1.0356074430093694e-12,-1.267890327171956e-13,1.1573725304404404e-13,-3.0175619090689687e-15,0.0,0.0,0.0,0.0,0.0,9.509641188029795e-14,0.0,0.0,0.0,0.0,0.0,0.0
800,1.0430298012706555e-09,9.395758459312418e-10,1.849893430151942e-08,6.070222906574307e-10,8.30420180092878e-11,7.438756090734364e-12,2.816761820565635e-12,2.9263382917120413e-12,-1.320467791055811e-13,1.5426059972935685e-13,2.3401739289058237e-13,-7.859996227964451e-14,0.0,0.0,0.0,0.0,0.0,1.3154171532192341e-12,0.0,0.0,0.0,0.0,0.0,0.0
900,1.0106495696826654e-09,9.591882289982268e-10,1.8251176475298085e-08,5.356259852223667e-10,1.1586214951655742e-10,1.605847434856046e-11,2.8042111304625675e-12,4.354704341181161e-12,8.927817652024923e-13,2.011612038312263e-13,-1.7321684964741017e-13,4.8840547808222296e-14,0.0,0.0,0.0,0.0,0.0,-8.636104108029663e-14,0.0,0.0,0.0,0.0,0.0,0.0
1000,1.013298561325898e-09,9.638399328107777e-10,1.826266108886591e-08,7.600272814766144e-10,1.480922236861512e-10,3.515908391640467e-11,3.4009186296278352e-12,6.746264574412531e-12,6.565776495820321e-13,4.0510321767715925e-15,5.703426127012838e-14,-9.129790074456833e-15,0.0,0.0,0.0,0.0,0.0,1.2732363983424156e-12,0.0,0.0,0.0,0.0,0.0,0.0
1100,9.947991407138068e-10,9.5538378944474e-10,1.8137889820998845e-08,8.553092864548325e-10,1.5815996840756376e-10,3.8902740183756145e-11,4.250224325347692e-12,-2.0710432154648527e-12,3.088311256077202e-12,1.3216047889677323e-13,-1.3378254401840614e-13,7.885586907162624e-14,0.0,0.0,0.0,0.0,0.0,1.5185732557344295e-12,0.0,0.0,0.0,0.0,0.0,0.0
1200,1.0063380588625277e-09,9.648498561717426e-10,1.7832828760788783e-08,8.339514855216515e-10,1.6303072876037002e-10,4.115569159274079e-11,6.0928776145218055e-12,9.002665115434025e-12,2.7531863674230476e-12,-1.1777339451970176e-13,-1.0476900518515546e-13,1.9558503670947637e-13,0.0,0.0,0.0,0.0,0.0,3.2834665153478645e-12,0.0,0.0,0.0,0.0,0.0,0.0
1300,9.86459333313353e-10,9.554251828473241e-10,1.7829072692535273e-08,8.93194846369077e-10,1.710454562335031e-10,3.6444278783944716e-11,6.6787278325941446e-12,3.2168052086014436e-12,1.619681247431433e-12,1.377432281403307e-14,2.0081998476199142e-13,4.47491228350461e-14,0.0,0.0,0.0,0.0,0.0,2.410787949206195e-12,0.0,0.0,0.0,0.0,0.0,0.0
1400,9.929795564115029e-10,9.62762936130991e-10,1.774338080920614e-08,1.1822354263719188e-09,2.1166620373257035e-10,5.3880762396416136e-11,7.271465772093773e-12,3.426876736793853e-12,3.83884228808821e-12,1.4483716483510825e-13,-7.535899597240001e-16,2.252006402239757e-14,0.0,0.0,0.0,0.0,0.0,3.4972110875622963e-12,0.0,0.0,0.0,0.0,0.0,0.0
1500,9.85454581534349e-10,9.440962230852662e-10,1.7468174386398117e-08,1.1069823017643981e-09,2.222780046936065e-10,5.5154323570201626e-11,7.070075680590808e-12,1.086697168371007e-11,4.504768552115013e-12,2.1331141051892668e-13,-1.1515494766549838e-13,9.60154004577266e-14,0.0,0.0,0.0,0.0,0.0,5.456718201436566e-12,0.0,0.0,0.0,0.0,0.0,0.0
1600,9.795391142538353e-10,9.370670391869129e-10,1.761242431241618e-08,1.3414332634621453e-09,2.393468379145282e-10,6.192849648838074e-11,8.078853472904568e-12,9.081465652303551e-12,5.333583261622556e-12,-1.8664314237885498e-14,9.041493861290915e-15,1.9147733858078842e-13,0.0,0.0,0.0,0.0,0.0,5.0821114370795455e-12,0.0,0.0,0.0,0.0,0.0,0.0
