milliseconds,APC,APC_Va,Va,Va_i_506,Va_i_306,APC_Va_i_506,APC_Va_i_306,Va_i_306_506,Va_1_306_Va_LC,Va_307_506,Va_507_679_709,APC_Va_1_306_Va_LC,Xa,Xa_Va,Xa_Va_i_506,Xa_Va_i_306_506,Xa_Va_i_306,Va_307_679_709,PT,Va_PT,Xa_Va_PT,Xa_Va_i_506_PT,Xa_Va_i_306_PT,Xa_Va_i_306_506_PT
0,1.984856695566943e-09,8.102644581731226e-12,2.0087897611275595e-08,-1.0088672536025877e-10,1.7933853027398714e-11,5.202484936019611e-12,-3.9052726052504514e-13,1.142624308687902e-12,-1.3213504589619143e-12,9.06108808147989e-14,-9.12150165358984e-14,1.40115618737485e-14,0.0,0.0,0.0,0.0,0.0,-1.030409795662403e-12,0.0,0.0,0.0,0.0,0.0,0.0
100,1.6737932430028964e-09,3.399937491095823e-10,1.9542128042851752e-08,9.610836578812439e-11,1.5422001432526398e-11,6.409308880989594e-12,7.0063822890395e-13,1.1698169097134375e-13,7.943650614442624e-13,1.8989126933474489e-13,6.321585828744381e-14,-6.667614918651029e-14,0.0,0.0,0.0,0.0,0.0,-9.417469490467127e-13,0.0,0.0,0.0,0.0,0.0,0.0
200,1.4482071793104324e-09,5.647441631209667e-10,1.9478219959287545e-08,1.3828243955167286e-10,-5.883953486047936e-12,-7.2572321355642485e-12,-5.894142166883265e-13,7.824910851222848e-13,1.2897021095876565e-12,3.799929417756926e-14,2.2607720471103727e-13,-1.3724154257309193e-14,0.0,0.0,0.0,0.0,0.0,9.798130514141325e-13,0.0,0.0,0.0,0.0,0.0,0.0
300,1.2876545606334376e-09,6.884000078150482e-10,1.9219569187629647e-08,1.7124567416867609e-10,4.299719157793429e-11,4.411603062661919e-14,3.9251487998152843e-13,-2.952231004681332e-12,1.2346801564244067e-12,-9.742158704137011e-14,-7.423176530365394e-14,8.126134721529643e-14,0.0,0.0,0.0,0.0,0.0,-6.173818671150191e-13,0.0,0.0,0.0,0.0,0.0,0.0
400,1.2090736214855246e-09,7.990275447734745e-10,1.8842446296841198e-08,2.641154603064211e-10,2.374605371017979e-11,1.30651046734346e-11,1.2769028755597e-12,-5.215232649015554e-12,6.128149919384421e-13,-1.757097299017279e-13,-1.8577481537277255e-13,5.834888409354654e-14,0.0,0.0,0.0,0.0,0.0,-4.0390593031359415e-13,0.0,0.0,0.0,0.0,0.0,0.0
500,1.1386038154180113e-09,8.465360105554781e-10,1.8886103188080818e-08,3.61062892852571e-10,4.8960710085733646e-11,6.839895754590402e-12,4.4070805118092284e-14,-3.2182816315145017e-12,1.6977685365872687e-12,-1.2239306709679145e-13,-1.0422282576066384e-13,-5.202028958136944e-14,0.0,0.0,0.0,0.0,0.0,-4.1959440177205124e-15,0.0,0.0,0.0,0.0,0.0,0.0
600,1.072703746755696e-09,9.068302496505378e-10,1.8808253570938588e-08,2.504892595845228e-10,7.686432225906059e-11,1.4225583144162315e-12,9.812823874018507e-13,3.5167087786337466e-12,1.4394609573883138e-12,-1.1378135647823932e-13,-6.921615876077768e-14,-1.0451769883590173e-13,0.0,0.0,0.0,0.0,0.0,5.847255973677002e-13,0.0,0.0,0.0,0.0,0.0,0.0
700,1.0476843081097517e-09,9.24802717171484e-10,1.8599032661866728e-08,3.912898053910257e-10,9.348033981836099e-11,3.429851916646239e-12,1.1119380538289699e-12,6.268612822627211e-12,-7.012135535155344e-13,-4.6465308575809065e-14,1.743732633096426e-13,-5.3825688268111825e-15,0.0,0.0,0.0,0.0,0.0,-3.730930036818137e-14,0.0,0.0,0.0,0.0,0.0,0.0
800,1.0391490340489965e-09,9.50132151106094e-10,1.826960010771634e-08,5.274710639081439e-10,1.1579030243438295e-10,2.5780512031716805e-11,3.6204575729313674e-12,-4.5286104025865924e-12,-6.429516246752857e-13,9.60635582846351e-14,1.552028723717212e-13,8.273676258443569e-14,0.0,0.0,0.0,0.0,0.0,2.3786622008883935e-12,0.0,0.0,0.0,0.0,0.0,0.0
900,1.0117769686764801e-09,9.583293672222655e-10,1.8231618728809685e-08,5.319077829250313e-10,1.1860844685964728e-10,1.787046444266433e-11,3.344023410871655e-12,-3.0258402539440263e-12,2.594893168805512e-12,4.410684181291775e-14,1.154937732782757e-13,4.6517984151459675e-14,0.0,0.0,0.0,0.0,0.0,1.964516630796226e-12,0.0,0.0,0.0,0.0,0.0,0.0
1000,1.0154501762410589e-09,9.699546886351007e-10,1.8289567807883612e-08,7.481170402602597e-10,1.4247275345230852e-10,3.018051055909874e-11,3.4419188840070082e-12,2.209651950329773e-12,5.718167943012356e-13,-2.1948006348648152e-13,1.1309076130381884e-13,1.443808410136302e-13,0.0,0.0,0.0,0.0,0.0,1.4174121714605472e-12,0.0,0.0,0.0,0.0,0.0,0.0
1100,1.002407775443339e-09,9.690784373402847e-10,1.789204989767149e-08,8.976361154277426e-10,1.495482903864263e-10,3.414216010741779e-11,4.477984544129545e-12,6.3462249422861026e-12,8.292064989081901e-13,1.9166904792718887e-13,-6.778300699871408e-14,1.5939016091181356e-13,0.0,0.0,0.0,0.0,0.0,2.8052282884623875e-12,0.0,0.0,0.0,0.0,0.0,0.0
1200,9.899674668946405e-10,9.523661849901673e-10,1.7892624448903788e-08,7.837990991671249e-10,1.784803766012692e-10,3.370549910455016e-11,5.9707626922993934e-12,4.908197169773323e-12,2.690960500792841e-12,8.415336393351434e-14,-1.7285454771350249e-13,1.8968684246727793e-13,0.0,0.0,0.0,0.0,0.0,2.2429988101665337e-12,0.0,0.0,0.0,0.0,0.0,0.0
1300,9.785150585221475e-10,9.399149371376976e-10,1.7758664010221973e-08,1.0090370560431615e-09,1.958275363192023e-10,4.363201290398594e-11,6.199218388277083e-12,3.159614838836957e-12,2.843233095877525e-12,-1.1510115939928e-15,-7.361964215871326e-14,5.2950445777134204e-14,0.0,0.0,0.0,0.0,0.0,4.05676208965679e-12,0.0,0.0,0.0,0.0,0.0,0.0
1400,9.919693484549416e-10,9.530318094936012e-10,1.7756034124506155e-08,1.1254506033725215e-09,1.883558294605251e-10,4.3175306981345615e-11,7.1062645255065825e-12,9.646370379825981e-12,5.061719254670119e-12,-7.770111974150534e-14,1.649344222847173e-13,8.820438423263878e-14,0.0,0.0,0.0,0.0,0.0,4.385869043897809e-12,0.0,0.0,0.0,0.0,0.0,0.0
1500,9.945309533247941e-10,9.468598606872543e-10,1.760270210271712e-08,1.2241834110144761e-09,2.072699686748053e-10,6.375517903003844e-11,8.25582208222755e-12,4.397153563721789e-12,2.9307265794916222e-12,-8.72798545689487e-14,3.0674806475623107e-13,1.9423975260238568e-13,0.0,0.0,0.0,0.0,0.0,3.4967370518345006e-12,0.0,0.0,0.0,0.0,0.0,0.0
1600,9.961338909817707e-10,9.435529803621924e-10,1.756583652578808e-08,1.1855076841588666e-09,2.4596453458770354e-10,6.65083319023848e-11,8.097916876507946e-12,1.3243236452155765e-11,5.273131882130304e-12,7.122003667698676e-14,-5.361984924173717e-14,7.277514157241773e-14,0.0,0.0,0.0,0.0,0.0,3.3508088544432185e-12,0.0,0.0,0.0,0.0,0.0,0.0
1700,9.845978543404012e-10,9.328216519321208e-10,1.7250064505271713e-08,1.2786696294847077e-09,2.6434595277286546e-10,7.702188902847349e-11,8.968269631344509e-12,9.240617087288894e-12,6.0076205087330055e-12,4.1091164850881677e-14,-1.6579069156085888e-16,1.5258134616556182e-13,0.0,0.0,0.0,0.0,0.0,5.037501319490652e-12,0.0,0.0,0.0,0.0,0.0,0.0
1800,9.912786356334894e-10,9.252943543157514e-10,1.7346063196789105e-08,1.520257244790098e-09,2.7476083056450715e-10,6.741773364842591e-11,1.0537856155874546e-11,1.962868346915222e-11,5.9574542490615275e-12,2.0205389925383365e-13,2.887623143841885e-13,3.2326578635407474e-13,0.0,0.0,0.0,0.0,0.0,5.099753849196442e-12,0.0,0.0,0.0,0.0,0.0,0.0
