milliseconds,APC,APC_Va,Va,Va_i_506,Va_i_306,APC_Va_i_506,APC_Va_i_306,Va_i_306_506,Va_1_306_Va_LC,Va_307_506,Va_507_679_709,APC_Va_1_306_Va_LC,Xa,Xa_Va,Xa_Va_i_506,Xa_Va_i_306_506,Xa_Va_i_306,Va_307_679_709,PT,Va_PT,Xa_Va_PT,Xa_Va_i_506_PT,Xa_Va_i_306_PT,Xa_Va_i_306_506_PT
0,1.988299128355397e-09,-5.6079705645231e-12,1.9895780454153507e-08,5.858504274836119e-11,1.068423749179102e-11,6.1521969372201914e-12,-7.34013101638481e-13,3.1897045284578543e-12,-3.568490575856778e-13,1.7714846209020272e-13,-1.0408083821723554e-13,7.580992189911294e-14,0.0,0.0,0.0,0.0,0.0,1.399837680725313e-12,0.0,0.0,0.0,0.0,0.0,0.0
100,1.6850845060937762e-09,3.264328449343398e-10,1.9776109409612364e-08,-2.6629087703625493e-11,1.775036139507848e-11,2.6971224772237744e-12,-1.0072885670272536e-12,-3.648855569364659e-12,7.84096384417981e-13,-2.295805078916938e-13,-6.307991643291192e-14,-2.5176332173017667e-14,0.0,0.0,0.0,0.0,0.0,-1.4072945035175134e-13,0.0,0.0,0.0,0.0,0.0,0.0
200,1.4470411764025715e-09,5.381406147793095e-10,1.9228761409371314e-08,9.647705790968577e-11,1.7650625215408563e-11,6.450872950964353e-12,-5.435393191242535e-13,8.844978426424138e-13,-1.1301765879772987e-12,1.4865934440299409e-13,-1.3457952976185927e-13,5.2226542634677883e-14,0.0,0.0,0.0,0.0,0.0,1.3855592530415918e-12,0.0,0.0,0.0,0.0,0.0,0.0
300,1.2951514434268703e-09,6.982944407174489e-10,1.9137279209797757e-08,1.7002984337802332e-10,3.8761995589613254e-11,5.774844826693304e-12,-5.284058650115855e-13,-9.143382239038234e-13,7.623521118862215e-13,6.871167720452131e-14,-1.0732846374962034e-13,6.839032858108294e-14,0.0,0.0,0.0,0.0,0.0,1.3410634401926172e-12,0.0,0.0,0.0,0.0,0.0,0.0
400,1.209309083660213e-09,7.932932051546874e-10,1.8830786469976257e-08,2.0483046130756843e-10,1.986934013593111e-11,-8.16233182941765e-13,1.2194203574889874e-12,-5.802617917380552e-12,1.054482501229684e-12,7.330772143539896e-14,-2.2018161881611104e-13,6.219328406464474e-14,0.0,0.0,0.0,0.0,0.0,5.397275623657176e-13,0.0,0.0,0.0,0.0,0.0,0.0
500,1.1486694035211676e-09,8.448953606864796e-10,1.877895228590213e-08,2.360159476185796e-10,6.89751542049278e-11,1.4885273884576912e-11,1.690048979295682e-12,4.855692017514875e-12,-6.013049167074108e-13,-6.363508001732858e-15,-8.778182591596089e-14,1.2511673459973878e-13,0.0,0.0,0.0,0.0,0.0,-4.499302471694923e-13,0.0,0.0,0.0,0.0,0.0,0.0
600,1.0718969283617204e-09,9.023764136809993e-10,1.8650905842521156e-08,3.9186288921870814e-10,5.0089505145998894e-11,1.7586317576909335e-11,2.3605312152662492e-12,-1.7269856316110492e-12,2.0046117815117424e-12,2.2403876388142965e-13,8.509799948590765e-14,-9.302001884475751e-14,0.0,0.0,0.0,0.0,0.0,5.311501699509224e-15,0.0,0.0,0.0,0.0,0.0,0.0
700,1.0690307031690418e-09,9.406391926462555e-10,1.855471890264329e-08,5.435910861937836e-10,7.810528423612132e-11,7.826323761891816e-12,2.610163091494442e-12,7.027697657652642e-12,3.894287861989087e-14,-1.1156323260169188e-14,-1.946245941428344e-13,1.0789009897415953e-15,0.0,0.0,0.0,0.0,0.0,1.1534371624063817e-13,0.0,0.0,0.0,0.0,0.0,0.0
800,1.0544488733688646e-09,9.305902082712909e-10,1.8524538590691406e-08,6.51700070250128e-10,9.832060571891933e-11,1.0784848701848398e-11,2.975797518464867e-12,-3.6308262886178664e-12,2.4618110262033973e-12,-6.469990102547153e-14,2.4684329079964534e-13,5.309134708978662e-14,0.0,0.0,0.0,0.0,0.0,1.8354207384592e-12,0.0,0.0,0.0,0.0,0.0,0.0
900,1.038472073636742e-09,9.609119489367844e-10,1.8320489248644022e-08,6.051538604611587e-10,1.201450866118445e-10,2.9389716185303326e-11,4.262437986615452e-12,3.955185951713548e-12,2.7902761991681143e-12,-1.4115092443490451e-13,1.520233808239682e-13,-2.035824602894101e-14,0.0,0.0,0.0,0.0,0.0,2.0610408300170834e-12,0.0,0.0,0.0,0.0,0.0,0.0
