milliseconds,S0,S1,fwd_step1,fwd_step2,back_step1,back_step2
0,1.006951443191106e+16,20062671595627.2,-4933697812216290.0,-2058554662233927.0,-23781069015.072647,-3920050284.3740993
100,4976223943148267.0,4949054646997000.0,1.7757036018643028e+16,-3134474671212242.5,70777243594.13538,3244860089.3453636
200,4662600722961753.0,5358028743036709.0,7705468022130103.0,1.7155617652575472e+16,159295916020.70044,7097293955.395303
300,4620592264649680.0,5322964373550428.0,3.176838540412548e+16,1.7624143204746984e+16,183272015094.51947,8554334858.356359
400,4632788303684539.0,5392431961340658.0,2.8712107104501504e+16,2.682274220432976e+16,160647970608.95538,14140084590.744654
500,4580330339507435.0,5416088080396669.0,3.895339098188577e+16,3.544667457902573e+16,287184692427.70337,14808318784.306198
600,4575846077572837.0,5414169358424583.0,5.003900977016937e+16,3.874170807591589e+16,246794683267.25952,18677682587.070942
700,4690057591221044.0,5324837148796338.0,4.193320507716139e+16,4.867651659533348e+16,338911736555.92737,17683429415.746353
800,4619338518062305.0,5424735139461418.0,5.94115228580575e+16,4.284367271360719e+16,431981376425.8858,25652668928.38443
900,4568931888349064.0,5361153774339850.0,6.741150282417952e+16,6.40873545013872e+16,445080993827.3981,26652618383.224472
1000,4605020685276395.0,5341746235898235.0,7.376852246354267e+16,6.6420435492630376e+16,464476858435.21375,35617662261.32806
1100,4620910478957078.0,5441483689636393.0,7.52717082800394e+16,7.289507986860598e+16,472324994967.5568,36237493975.96602
1200,4663380507947242.0,5441447029345808.0,8.326453207850053e+16,7.811887980417838e+16,565600442561.3003,38586646527.994965
1300,4567447103128424.0,5360279512075350.0,9.220324722895725e+16,7.21115914096924e+16,603780228267.4417,41885753530.5375
1400,4679162868021736.0,5450740738376651.0,8.63159486724782e+16,8.636627630272826e+16,673433377911.7145,43991003520.46124
1500,4652233373694019.0,5320953074003275.0,9.4604343554427e+16,8.74020724511187e+16,653967242524.8995,43944751202.760994
1600,4553983852098926.0,5351875034502678.0,1.1377831974959456e+17,9.713769932742723e+16,800140532342.0988,48632975305.08206
1700,4646363527059347.0,5340974049389675.0,1.068893582252926e+17,1.1685636234157723e+17,768384383296.5682,55820661953.48716
1800,4689433718346501.0,5327992955318288.0,1.2776010331330219e+17,1.170207151809376e+17,870971995653.882,59361253496.332794
1900,4582149322853127.0,5346455947322341.0,1.2455939411478394e+17,1.2781497533045218e+17,867959454659.5117,57285766212.99792
2000,4648276396933161.0,5395936608919862.0,1.3747807975004666e+17,1.3138434938031886e+17,1007059472183.0145,65594156708.21476
2100,4542400807071020.0,5444338301009360.0,1.4667600576928147e+17,1.2791023338502835e+17,979153963348.2272,62862681508.9021
2200,4670177491284524.0,5415570709070162.0,1.535082344295989e+17,1.3642612896155621e+17,999912633059.5034,71543929810.43642
2300,4664577396192516.0,5406931232766850.0,1.5573776436425178e+17,1.440657010723731e+17,1074484730816.987,71212811129.40329
2400,4623255600410466.0,5398247612047144.0,1.510848401796549e+17,1.584199731072903e+17,1082780146371.5135,79351284188.0385
2500,4588610007873354.0,5393048518443313.0,1.6554758464327542e+17,1.5337350401477536e+17,1194082311524.8042,77023660595.2459
2600,4678665798725006.0,5324044416013256.0,1.781450397980562e+17,1.599592197188138e+17,1176756810820.0464,86961227510.00742
2700,4678252066492830.0,5455434935031233.0,1.841776939744875e+17,1.683468520232398e+17,1230390338484.5322,84097363653.89008
2800,4547129655590098.0,5366533711412923.0,1.8931901629960342e+17,1.739577449586766e+17,1334560923885.9458,87899606669.04997
2900,4633387067934091.0,5318896808225798.0,1.8702739263706106e+17,1.754048277391328e+17,1323407061603.4749,88123641410.48462
3000,4576502752902353.0,5320924947255205.0,1.9015454333664195e+17,1.8808910807093968e+17,1401918945516.3447,99227200795.1524
3100,4623978850609668.0,5387627635749914.0,2.0957157192941456e+17,1.986401871542105e+17,1397464934279.4788,96451938687.0471
3200,4653597863942642.0,5312130549961469.0,2.1132630286537248e+17,2.0229767378742944e+17,1518510939679.4502,98631493880.01721
3300,4609191907920189.0,5410341966998137.0,2.0891773629778973e+17,2.1249112643304224e+17,1490257684352.71,107160679648.64911
3400,4620971938472041.0,5433156578960668.0,2.21183144868773e+17,2.1672701759109235e+17,1535407014263.894,113109495244.75835
3500,4661420199924366.0,5455918141765496.0,2.2440467956214883e+17,2.2142606990292048e+17,1662104501900.5034,107203760261.45288
3600,4550705749747804.0,5372701678744128.0,2.4113112437995632e+17,2.2608082715716874e+17,1720401091880.664,119576986029.6308
