milliseconds,S0,S1,fwd_step1,fwd_step2,back_step1,back_step2
0,9951572554283740.0,4825128428720.914,9254818528861630.0,-4572780740921581.0,58537773275.39361,3661263832.4163465
100,5004279528120004.0,5038165587253451.0,1.7134695703888512e+16,4889731569304486.0,97002662168.99419,6158144309.87963
200,4586604019478763.0,5283711632532548.0,2.0237883065196884e+16,8755418878953138.0,172713497006.93814,1887667086.751236
300,4675720825764406.0,5324077807075634.0,1.9595742561515344e+16,2.0453343901481176e+16,187736190856.82355,5400711613.404206
400,4670519683752089.0,5446939293175050.0,2.8260807274264804e+16,3.043310684513383e+16,152599027612.3964,8977274227.184765
500,4585243504997216.0,5387759047964860.0,3.748138992946606e+16,2.490885723442957e+16,282072603446.1711,17063860392.895203
600,4570617833422180.0,5340281819598539.0,4.45961930155277e+16,4.1694258677278984e+16,362167301904.75146,19649850133.09665
700,4584426754638982.0,5392635010365350.0,3.9452057901295656e+16,3.81457989753933e+16,334535851058.3567,19202792395.123
800,4542816091427943.0,5319905112613109.0,4.9709551239199864e+16,5.072270317680476e+16,367314491184.9276,25265338723.018127
900,4619552864402752.0,5415831863027772.0,6.697147353614123e+16,6.424343515540643e+16,408009610999.32434,30875468205.50994
1000,4660804951128232.0,5356974278613778.0,6.330007305151249e+16,5.364546671070047e+16,546778806749.71716,35754736144.16546
1100,4597142813728465.0,5366670341987950.0,6.6071427190363224e+16,6.920721633748474e+16,507616632565.4605,29961984878.18063
1200,4551016988498959.0,5311617580253057.0,8.539148463598376e+16,7.424277624204149e+16,550245622794.6849,38480949243.212204
1300,4579436286119170.0,5339822794755968.0,8.098967640997077e+16,8.567372169269486e+16,651249021336.3605,38179836304.38619
1400,4603782402617014.0,5434039400464666.0,9.684532061341e+16,9.299037874587043e+16,651573091761.266,43413580795.99375
1500,4626599286054838.0,5388414784649867.0,9.49044733763795e+16,9.144709142373734e+16,737551865995.4161,47768205991.8337
1600,4626476010401105.0,5392350971880998.0,1.0199750693337365e+17,1.0350225268287189e+17,746804284140.5654,47187092053.79943
1700,4615717261315751.0,5356629315941733.0,1.112876027810962e+17,1.110326013941423e+17,799342731108.8463,54098349044.98858
1800,4690410618026466.0,5333190385499005.0,1.2459581221889587e+17,1.2191640254478515e+17,827577581571.3412,54259533526.9674
1900,4569834543795771.0,5318230633934702.0,1.278228294500251e+17,1.2654333158322571e+17,913307219980.1721,64657021008.70146
2000,4683020916644127.0,5392009172358991.0,1.3006126175045898e+17,1.2399887143674619e+17,989645314253.0726,62264149093.07146
2100,4638701716767945.0,5315110907831428.0,1.3138499823085726e+17,1.2900737962406293e+17,1024201742037.7487,62241723927.60712
2200,4683566008895469.0,5361940124113159.0,1.447486517003093e+17,1.366121880639784e+17,1022063848983.0132,66170916459.60689
2300,4590439391836401.0,5314288691446337.0,1.4910517638827584e+17,1.4987925607376243e+17,1026532703086.0808,77662178385.1328
2400,4550424017487579.0,5359915743051878.0,1.510852148857007e+17,1.5984747217217667e+17,1100551379051.769,78989505107.54648
2500,4661317794734447.0,5400116984880318.0,1.563890050802039e+17,1.5534303619426445e+17,1218964147437.07,76505903586.9327
2600,4638010107139159.0,5333185669837112.0,1.716172149807452e+17,1.747753628732274e+17,1198420032312.0688,81999622685.71475
2700,4567560976207992.0,5376326324706634.0,1.7153076677166694e+17,1.7484369811806947e+17,1254232064976.0637,85130779293.92915
2800,4597914473032458.0,5339359022913027.0,1.7650098212327082e+17,1.8714688003714867e+17,1297572603360.573,85182726783.24438
2900,4540797786225308.0,5423336124230402.0,1.8954823472609066e+17,1.901338226355437e+17,1339183792763.643,90487408970.51152
3000,4555479739111056.0,5328518139929904.0,2.0552770782904918e+17,1.9035106712152333e+17,1453648120258.2512,95396815669.96355
3100,4644947210171732.0,5454266652834840.0,2.0559173956867763e+17,1.8894895456916512e+17,1470326345435.2732,95020418322.15363
3200,4653373524500173.0,5396692881489374.0,2.1540076915170832e+17,2.120607676580183e+17,1552455260285.098,101207692956.61797
3300,4561138251838831.0,5417876461912550.0,2.2030795197484704e+17,2.063451004188013e+17,1581948081751.229,101367843239.60385
