milliseconds,S0,S1,fwd_step1,fwd_step2,back_step1,back_step2
0,9967579192920326.0,4665314905420.704,-3111953529901335.5,-4393879460784906.5,-28111828622.63757,4634311996.154653
100,5041797832067500.0,4960084569310321.0,1376448727304075.0,-2383338267357439.5,-1933893734.751892,-596790858.0095427
200,4631998807812435.0,5283206060987703.0,1.3828336775470776e+16,4111795712465668.0,48761036532.19358,6346510086.3052025
300,4633343618922934.0,5442196216578986.0,2.19722629649703e+16,1.9382900071156132e+16,148206763926.10403,4879718077.649776
400,4559582972246827.0,5370781105294167.0,2.7116806026849844e+16,1.3942691470872206e+16,214970620923.65753,15721956537.060732
500,4580539494796465.0,5404360450146181.0,4.397264471743778e+16,2.7517368702181516e+16,305484468500.7544,15704704774.055683
600,4580734047095984.0,5350679970965525.0,4.130275686570791e+16,4.434123137163438e+16,313012855090.2608,17293460073.339043
700,4542620658141381.0,5384205373580741.0,5.65599424106707e+16,3.709234661145236e+16,309017664979.059,22172987977.505165
800,4620672035008678.0,5314389909202934.0,5.068478102988194e+16,4.548457572250989e+16,327648666967.53906,27822532161.735985
900,4631620237819479.0,5372796578815012.0,6.382000327678705e+16,5.263991657090366e+16,385746883628.53876,23732468579.525696
1000,4594782683920548.0,5453904908358184.0,6.839196424755859e+16,6.9489549205977224e+16,504362126555.248,34285430484.29324
1100,4608386588485079.0,5456060658957084.0,8.01249615749205e+16,6.5250224884776696e+16,478142564206.4222,32001507115.86914
1200,4652168334232634.0,5380373100058049.0,8.463338274882725e+16,7.056359119979713e+16,574181666309.2393,39583242809.05606
1300,4647671686500122.0,5404093316826382.0,9.589979585655202e+16,8.145516179173112e+16,555106734610.9161,38479767856.70133
1400,4595130955286013.0,5356942639621127.0,1.0192161854593682e+17,9.278956468771578e+16,699556258950.4523,46810476795.65438
1500,4684877079072032.0,5371776999398503.0,9.754095431386277e+16,9.059371258954101e+16,709726511012.1583,44557103581.39032
1600,4680458591385298.0,5398553052557507.0,1.1507915244457286e+17,1.0962354548220168e+17,768931360591.3254,54710451621.81726
1700,4669725772082602.0,5414152669825383.0,1.0544215988981976e+17,9.894362136430398e+16,803824840373.5243,54242369846.908
1800,4555217147828929.0,5394697365054567.0,1.1652728298595806e+17,1.139345494416315e+17,915085806158.766,53233519081.15112
1900,4601739188493900.0,5351939788724260.0,1.2810260894577123e+17,1.1389385645378982e+17,837631883610.3405,61626238624.05526
2000,4654552153844113.0,5401215206707282.0,1.3768062362139354e+17,1.2756211962964186e+17,903619887339.7301,61984860043.44718
2100,4616256585114464.0,5340232131061187.0,1.3362308877201894e+17,1.240678913161728e+17,924503151760.4698,65756649711.358604
2200,4561675230907016.0,5375392835057127.0,1.5403974227128893e+17,1.3936161859441013e+17,1011481470305.9746,72366347568.0925
2300,4690496334805890.0,5397633671783315.0,1.5737078863336064e+17,1.4369361985080133e+17,1144699751167.9763,71559594618.0329
2400,4589413436094438.0,5344171101312314.0,1.6656109988268093e+17,1.4702982291500106e+17,1084020379291.3849,73840942665.715
2500,4613035921563948.0,5418335338260448.0,1.613549655627674e+17,1.5026096094267123e+17,1167402701485.222,78799683051.37083
