milliseconds,S0,S1,fwd_step1,fwd_step2,back_step1,back_step2
0,9984451443307990.0,48706360142325.81,5338368572808874.0,1211544350454229.0,24387220072.924908,4341137903.389101
100,4999982136558692.0,4962358573322289.0,3185796196707773.0,-757574802763910.5,57162744325.800064,-399860203.8360069
200,4581924424113773.0,5420290810564482.0,2.449846455707524e+16,7967927874254580.0,95806121504.89667,7336238801.5804
300,4628413158853836.0,5310783426195651.0,2.0892992315199212e+16,1.847555728754815e+16,160187319324.03293,7756380743.243824
400,4562444248870169.0,5340450451244972.0,2.888621822263136e+16,2.8761376884903264e+16,167825317633.95544,15950391485.592014
500,4631041026659553.0,5458227205367841.0,4.250286798773275e+16,3.5180949123891544e+16,210324384948.51953,13357340587.963564
600,4637793444943196.0,5366535244825945.0,4.326574352684796e+16,3.513127116925495e+16,271635245203.35773,19036773598.206337
700,4592998963406590.0,5437717177652788.0,4.5737439951757464e+16,4.22145970694698e+16,395845580497.62103,25495120849.216873
800,4593908738256691.0,5397766355924978.0,5.3202056063189624e+16,5.786200064343628e+16,434099498815.39606,19847647075.89235
900,4616198251852238.0,5457580028477948.0,5.797276253064779e+16,6.243204567314376e+16,400324300383.3248,26385243621.14267
1000,4665083772794580.0,5412712935736945.0,6.948750210219404e+16,6.854989871752307e+16,508951360860.7132,28127121758.98465
1100,4614269784116080.0,5413870412308742.0,7.578851323239558e+16,6.147104110973202e+16,515138740289.0286,31289940652.801376
1200,4644102366242640.0,5368724692840533.0,7.779261833577669e+16,8.089152352620595e+16,551999544213.8741,41200604383.16305
1300,4672961105896683.0,5429867498496557.0,8.294721655822e+16,8.767257640720709e+16,563911314358.9662,37614493185.90485
1400,4615775636388410.0,5339076826703138.0,9.867775707561405e+16,9.636847340188488e+16,617666575233.6641,43732841702.0671
1500,4636684371134053.0,5394923815912439.0,1.0118493555945509e+17,9.483570610372813e+16,776766684143.895,48232686438.23992
1600,4554731157307443.0,5446126205443811.0,9.855484636688944e+16,9.205584358122717e+16,777267787738.8976,46676313820.469604
1700,4632701454209834.0,5385733605371308.0,1.2056300620879701e+17,1.1047229985905715e+17,819267952487.2732,55822517416.24216
1800,4556950949505680.0,5322173989180800.0,1.1360359709216238e+17,1.0511645962311891e+17,853150877693.3604,61630521225.96647
1900,4596221364260988.0,5347264756723290.0,1.2533092768700534e+17,1.2787032120319451e+17,849366568843.8989,56830310225.50538
2000,4619723374727469.0,5428025128728948.0,1.2272216471854688e+17,1.2894245512694366e+17,887825069355.1858,59730913018.89275
2100,4578685383590647.0,5452894183305478.0,1.316182421503734e+17,1.4130947999982957e+17,1042620091966.1139,68481864065.88517
2200,4675487006236406.0,5321193412718743.0,1.4689007844472205e+17,1.3216549895610328e+17,1081710393023.033,68119808162.14707
2300,4615394622272150.0,5349072527894376.0,1.4608319489782365e+17,1.4572016230080186e+17,1017631990171.1185,73569114802.85825
2400,4644193481153403.0,5310351911774446.0,1.53096834064824e+17,1.4584855792294797e+17,1174319118675.856,71913270144.79346
2500,4657459004770374.0,5454159333613068.0,1.6152692309056573e+17,1.520077016686323e+17,1201850357880.8499,75686437065.54826
2600,4594121057072850.0,5340515251083440.0,1.6291365400012058e+17,1.6547505039541322e+17,1234108775855.1462,79375648305.40721
2700,4566931233465584.0,5336696660620165.0,1.7026667782334448e+17,1.687995884488165e+17,1325443539081.4531,88830175861.50563
2800,4646329414158804.0,5418013140866701.0,1.867777294279535e+17,1.876677690208079e+17,1254249644587.5498,90867889212.81783
2900,4648964437804521.0,5313450244384230.0,1.8337412524700458e+17,1.8052510690503798e+17,1298087046627.9626,95529222682.2066
3000,4631662653250208.0,5366779251709073.0,2.0346516206666013e+17,2.0011746107907155e+17,1396259798523.44,95269406119.33894
3100,4553425331638120.0,5422687419085166.0,2.0328061716136493e+17,1.9455983025150333e+17,1449755821032.3142,99206050519.7125
