milliseconds,S0,S1,fwd_step1,fwd_step2,back_step1,back_step2
0,9953236986751930.0,5287166548464.383,-6577104710233441.0,6637189652002156.0,53341039966.13565,-4040893318.454412
100,5012125907276380.0,4939550918430507.0,1166358588958566.0,-3783727643070310.5,25521548783.59507,-668166351.8422472
200,4639470517668819.0,5370642258193035.0,1.963666764514773e+16,1.6888104455370346e+16,162280665186.91977,9812300187.25373
300,4680554734620713.0,5406486254224021.0,1.8307585323757336e+16,1.673865646951333e+16,103963060467.89975,7880378850.713133
400,4678015859332076.0,5446236585977510.0,3.484173446124953e+16,2.462006587693557e+16,208273524086.00827,16427492812.732994
500,4623311591624118.0,5317717637550120.0,2.805164914805217e+16,3.786427118308467e+16,210885338964.21896,12629160918.145386
600,4676228144734896.0,5383338450624162.0,4.893083616558816e+16,3.8825948145281704e+16,333708856751.26886,15678365169.12605
700,4660987305066121.0,5410251713674599.0,4.998053094978722e+16,5.17133682639346e+16,330993566806.4697,22424630781.11001
800,4577837977694196.0,5386584992742214.0,6.26006974128999e+16,5.130812578946084e+16,443396591670.8221,21585201997.14972
900,4557744580056071.0,5316651037851781.0,5.179630535860497e+16,5.8224399384737544e+16,419402587547.4337,29858153684.058746
1000,4563268951763171.0,5419624867254509.0,7.299159139347947e+16,6.679018571428605e+16,467520020861.50226,30406735950.76165
1100,4676262788975934.0,5329413816921439.0,7.373848351009589e+16,6.553350455755034e+16,496255429734.3918,32429572177.73462
1200,4676118228850436.0,5445317593845581.0,8.351142485189216e+16,8.20301937268025e+16,573621464956.1898,36304896512.8913
1300,4641239327794149.0,5440740727014308.0,9.438121947066594e+16,8.550666317783142e+16,676871257244.8352,43227317852.19271
1400,4684130445487991.0,5436130640659754.0,1.0233342245810966e+17,8.329857717641499e+16,722949902848.6584,41435008923.10771
1500,4569461878867848.0,5416037625834217.0,1.0424364819329638e+17,9.080158858474282e+16,729829054414.4174,49857203828.706955
1600,4558650042626337.0,5372799253440459.0,9.944340885306219e+16,9.66418670299852e+16,782034053833.1514,52372266123.29442
1700,4543107153945052.0,5406272439017840.0,1.0529031692578736e+17,9.967797557918538e+16,829550889175.5402,58207313737.038284
1800,4670874761457544.0,5436852814452647.0,1.1735762989515558e+17,1.2264785679062982e+17,879613585259.1174,52316569085.97003
1900,4556211192786790.0,5455906920328142.0,1.333146331585937e+17,1.112843212448977e+17,886474201867.9667,64044728448.039894
2000,4636457506922170.0,5384659421951224.0,1.2368145857473205e+17,1.1871430596547069e+17,900905297586.6042,63517413721.14444
2100,4621026539228634.0,5309916922018080.0,1.3390692971033298e+17,1.3803602281789602e+17,994839115587.8962,68343002412.58602
2200,4602169739997327.0,5405632682279912.0,1.3981638178595586e+17,1.447678997409705e+17,1006692870533.1147,72272346231.3806
2300,4679828731429846.0,5386962381916455.0,1.5272730069172528e+17,1.5267790309775034e+17,1023514301340.3765,75334275966.69806
2400,4610241936086100.0,5332940662905429.0,1.6342004804903562e+17,1.4798127692175338e+17,1121393729232.4004,74938162083.77353
2500,4630788690563521.0,5363410267363488.0,1.5962439968986374e+17,1.6606661819423664e+17,1177017723102.7812,83072068518.01642
2600,4630777172418144.0,5383127744271844.0,1.6638562244371974e+17,1.7192956173205994e+17,1211167329526.0474,82448637412.40741
2700,4555902824913470.0,5377542630246581.0,1.8400624602703994e+17,1.689742939149892e+17,1272383535680.793,88410951204.48717
2800,4555659976736482.0,5430375681339589.0,1.75439424120808e+17,1.754872199334426e+17,1334872810229.881,91805350527.01997
2900,4630342728069795.0,5357230907118940.0,1.8910215441900077e+17,1.813007893791811e+17,1325454020477.8079,93338440348.26917
