milliseconds,E2F,Myc,CycD,RE,CycE,RB,miR449,PRB
0,1.2,0.0,0.0,0.0,0.0,0.55,0.0,0.0
100,0.6283475573180061,0.08190174946784413,0.03625853736873923,0.5599841237826244,0.026432808768123064,0.00491360434027429,0.11300305352825268,0.001315105114149615
200,0.6141930240199952,0.15479864016845757,0.06738582905393796,0.5712000992120129,0.04847968889553015,0.008401100059146387,0.21955142478252918,0.002862324207552965
300,0.603827673737077,0.2183846074173817,0.09330732137597378,0.5825609897081437,0.06674555100875944,0.011491161535103255,0.31899651922707467,0.004598596039557954
400,0.5955820647256465,0.27319655611466814,0.1143748727050932,0.5941098555254961,0.08164935108740544,0.014167416968835944,0.41094457961940234,0.006498121604056258
500,0.588623417340891,0.32000127492674557,0.13111296701867892,0.6058674769900241,0.09362038401258953,0.016451397887053673,0.4954937539218097,0.00851955869729288
600,0.5824701087657502,0.3596121376864776,0.1441042178589886,0.6178526159665827,0.10307569086749702,0.018380866756372273,0.572991387985162,0.010607403591703245
700,0.5768125733628668,0.39282016267500525,0.15392756637019217,0.6300865282235859,0.11040456145870271,0.020000689939860497,0.6439096627530035,0.01269660823268265
800,0.5714368599398014,0.42036585564455003,0.16112433227005155,0.642591878610021,0.11595952568922054,0.021357653164790224,0.7087732243337778,0.014718856106685302
900,0.5661902644871022,0.44292846458399315,0.1661810118204299,0.6553883546887761,0.12005234366004544,0.022494705091998246,0.7681154604616074,0.016612703182777667
1000,0.5609653527897972,0.46112349946619313,0.16952249361364166,0.6684874505343051,0.12295352780530205,0.023452354891983527,0.8224524904051882,0.01832737845985823
1100,0.5556905791653249,0.47550436619988384,0.17151168531575967,0.6818894184677166,0.1248941573201578,0.024264926029210505,0.872268550415364,0.019829549622690963
1200,0.5503240175389817,0.48656602307586755,0.17245291579657235,0.6955818255168212,0.1260690524077225,0.024961706992937583,0.9180088370161931,0.021103578702872952
1300,0.5448471915327254,0.4947495146501795,0.17259733372713765,0.7095407324642834,0.1266405976266763,0.025566995809013626,0.9600770614256481,0.02215026232772105
1400,0.5392590603690021,0.5004467475063223,0.17214916332271263,0.7237334025709111,0.1267427448791218,0.026100759183561157,0.9988359305472408,0.022983433828835387
1500,0.5335700450354866,0.5040053660338785,0.17127233689425794,0.7381219055133399,0.1264850512287303,0.026579284307668913,1.0346092898507853,0.02362568629234757
1600,0.5277974189387316,0.5057332141498182,0.17009665163248955,0.7526661999229459,0.12595630520860485,0.027015733030225836,1.0676851698478709,0.024104726210656676
