milliseconds,Tp,Tm,G,A,S,P,Nn,Na
0,100000.0,0.0,0.0,0.0,0.26,0.03,0.5,80.0
100,99588.76900817384,2792.708119996165,7.465558911148463,45.7380662320011,0.35057939821855166,0.1400031621586537,0.004763523797166373,26.69615926197255
200,100292.72014873647,5524.397378096893,7.9603387818226015,78.47890425303406,0.7369693394555172,0.24029642301895032,0.007613849800809098,26.574209154297467
300,101086.72993331986,8273.47501109575,8.023949144145572,102.07460177863106,2.0498221582944174,0.2731843180197718,0.017275805779778095,26.435282016507582
400,101983.09966151523,11041.059760736964,8.034331640793875,119.16368481045811,6.578016749648677,0.2913423346759184,0.050413015867730566,26.2809907056212
500,103162.4423787293,13830.863438942248,7.960550197696129,131.6673173583043,20.03500707187989,0.3026024776253675,0.14907025552328682,26.083028328675326
600,104962.0975223471,16653.178183430507,7.776451052621191,141.0479647148653,43.438232770586616,0.3100166489165429,0.32224656747067304,25.78774489848818
700,107520.52512091932,19524.952335450933,7.650844103084064,148.4351156724232,61.28314634822383,0.31536238770994734,0.45069054341851844,25.375159901012548
800,110664.13181227745,22461.957357847696,7.69042310056047,154.60829401929354,69.04778763699814,0.31969784512203,0.4963283917587448,24.882312420046475
900,114299.99087972355,25476.268736588612,7.829962102682553,160.06571504316474,72.58429924908866,0.3234573546426229,0.5060568468615041,24.334481698483188
1000,118459.37472678235,28579.372183446707,8.018308399136144,165.14935645666716,74.91316961253047,0.32686698110962364,0.5043071858500406,23.736363026116187
1100,123229.22279252403,31784.16952590646,8.241023866293373,170.11594348777408,76.90670603112062,0.33009811815717144,0.4979085524720768,23.085616057946215
1200,128733.3066745243,35105.95936034432,8.49761171434735,175.17186734978972,78.82431447078201,0.33328273412267057,0.48869102604999715,22.377700869377716
1300,135136.8314818006,38563.293345409606,8.792190587269141,180.4950170989461,80.77476099616416,0.33652202302680906,0.4772290371809064,21.606906227904428
1400,142660.79240356668,42179.05308860801,9.131341126756238,186.25145118629166,82.82926785627858,0.3398963800922885,0.46372952804438666,20.766513764100566
1500,151605.1241967356,45981.923350436664,9.524036659511847,192.60973889395714,85.0484981090516,0.3434734340382279,0.44823152046638937,19.848835792266318
1600,162385.6959544011,50008.56222583205,9.982264495806055,199.75546932315086,87.49221772129434,0.34731430844894345,0.4306693252548193,18.845192606635727
1700,175592.85592357785,54306.78300936537,10.522077334466156,207.90697853385927,90.22476313915838,0.35147807532360004,0.41088520210569945,17.745941212516843
1800,192087.89741986222,58940.45278193487,11.165147273937867,217.33485663910207,93.32038997182893,0.35602506329563055,0.3886575414690894,16.540946436737837
1900,213165.59920675235,63997.18961980609,11.940997958725475,228.38712026540668,96.8689134089063,0.36101908203433525,0.3637091756506187,15.220243013190334
2000,240833.6378281955,69600.83128102747,12.889919478701605,241.52190778096127,100.98204893517467,0.36652745898004196,0.33574909078849036,13.776183479766066
2100,278301.08061066724,75932.42587071461,14.066253692903262,257.34640354416496,105.79941377495396,0.37261695850688886,0.30454889597947776,12.207268703016908
2200,330772.91517434135,83265.35797166247,15.538906015160125,276.6437093223857,111.48955921623408,0.3793385808594253,0.27013058350943236,10.52718209232362
2300,406400.5423750278,92020.91238308589,17.377415584435184,300.3032054060928,118.22732291426406,0.3866827515852053,0.23322202827099867,8.78294347657899
2400,515493.50502251874,102833.2027986538,19.589167176444377,328.87177771379856,126.09183581412618,0.39446618386750215,0.19611235960837217,7.085945777680213
2500,660038.8066281134,116510.7955942221,21.955545056532063,361.09038618582923,134.76417324128528,0.4021099666466289,0.16365708871880427,5.638020722610878
2600,808177.8563428964,133572.09914153363,23.91557164164591,391.7544242639234,143.06392141526226,0.4085150378519525,0.1418198539154452,4.658530092312586
2700,907588.1450902455,153477.8256572778,25.028477327519603,413.93241208774384,149.29352969495497,0.4127265574678214,0.13173224789027552,4.17056016009919
2800,952015.9642041932,174947.1243665567,25.47363184384739,426.0276296061138,152.85209983328386,0.41489392696056,0.12855591873927594,3.9836673167516494
2900,967648.8529178904,197023.50883777818,25.618366211858294,431.43714791642157,154.50175899834474,0.41583474727174197,0.1278372855038962,3.9217704667817883
3000,972632.9369800907,219285.38009113312,25.661400699863577,433.5947321552555,155.17577084636696,0.416204980567405,0.12773539874691203,3.9024323850923497
3100,974167.1574546017,241586.35973566945,25.673743143354358,434.4005526592053,155.43177486641935,0.41634249693972236,0.12774430249002353,3.8965175118475663
3200,974634.0197295446,263879.88422674674,25.67722863456407,434.6894915292491,155.52471510082597,0.4163917025580444,0.12775941334768817,3.8947209590260132
