milliseconds,C1,C2,C3
0,1000257.5756176021,585.8612947902169,2.844145069460764
100,1002877.0115234845,570.6270637617404,7.999995880011521
200,1003279.9952116,1268.362455801726,0.18955666752633948
300,1007570.1934633103,2144.4559904555763,2.765310997770383
400,1007442.2574478174,3327.854204388351,2.6541680356522184
500,1009777.9366010937,3650.1079339891885,4.248707784351653
600,1012857.1390472706,4302.878350151757,17.237132582393848
700,1015437.5564143527,6288.084479658453,19.433706278671952
800,1017513.8253175638,6676.561550913189,12.358653153946477
900,1018663.8757396275,6964.666995704501,14.558294813988656
1000,1021026.9231730128,8391.935463374994,28.88456198814783
1100,1022335.490752057,8698.500916191137,19.83792598231619
1200,1026965.9501618012,9483.713470272514,34.11217810181719
1300,1027227.9806709662,11202.20789046865,48.66964003766295
1400,1030578.7374861281,11842.440966145028,43.227057910944694
1500,1030597.1917335389,12862.003157386436,58.622583536941285
1600,1034168.698478332,13646.318489946812,66.60037890858888
1700,1035198.6539753808,13596.29209422238,65.73904089826479
1800,1038143.2628847832,14497.019311092296,82.5158974581897
1900,1040960.5658213649,15104.3499229177,93.63618740054592
2000,1044153.6716537913,16709.60477022241,103.97598084378618
2100,1045763.3067646306,17209.11237934778,114.89828702598093
2200,1048619.4152081565,18290.53777499122,109.83995066935525
2300,1050520.0049100367,18866.207277528196,123.55245198342894
2400,1050979.428730034,20386.976484899045,142.09405943705826
2500,1052020.161020812,20905.46333612242,156.4118551889312
2600,1054346.6463456051,21221.357240291538,156.0764110893711
2700,1057258.0254812662,22870.437390922107,170.2984643012507
2800,1058754.1063187653,23764.407512597874,198.12457412250524
2900,1061875.9068229839,24441.707344848786,201.19082486309478
3000,1064467.9993168227,24894.789441974783,213.61594983558152
3100,1066738.8422840645,26546.55944443097,234.41714763569234
3200,1068083.721859294,27344.469325694532,245.60399286968672
3300,1070299.7305447315,27951.0509519395,257.7582476548173
3400,1072015.9794154796,28977.771384943717,288.5052881416218
3500,1075378.246438525,29462.575416058447,306.5519888155281
3600,1077933.404107004,30999.108907909915,325.0871037520254
3700,1079472.1651815677,30982.07510675535,343.6895588026112
3800,1083898.6032269252,31862.202147895787,354.3846713558082
3900,1083837.612105171,33467.92168924838,380.21927004868877
4000,1088538.110343984,34588.715760494044,395.9088724064205
4100,1090373.4559149733,35528.41784961868,402.8641279365948
4200,1092700.0795461775,36656.69519805675,434.4271648228341
4300,1095185.0019061614,37355.266753524294,457.38989052135275
4400,1095512.905924887,37870.624498180245,475.1178952244263
4500,1099532.8833089026,39478.29537871079,492.78895954789886
4600,1102139.780745496,39631.728664360366,510.90843707032985
4700,1102619.3762329568,41354.788049854425,534.871779515515
4800,1106204.1091586042,42177.85212279384,570.6464652820162
4900,1106778.6697347146,42185.114211832886,595.0976365763763
5000,1108753.5630882424,43126.2551204894,613.6926259043064
