miliseconds,C1,C2,C3
0,998372.323387131,-350.6374738977376,5.665588921822716
100,1003047.2627512204,1238.6274011932462,7.448349081717237
200,1004374.8599170882,1680.4378517789505,-4.222487346684143
300,1006232.9137388243,2047.783671463907,6.1732218086692585
400,1009708.6507766045,2719.6110574034747,12.885627736503618
500,1011061.5940949537,3819.769214413527,3.1216840801021157
600,1014144.0583632549,4648.706782310694,8.058329519650401
700,1013748.382752832,5249.90426771797,17.50208940024081
800,1018133.3572679157,6905.6219713033315,11.66185894099998
900,1020552.5671757441,7340.685414926004,19.52525055898045
1000,1021782.5545252722,8493.913214158409,31.874405786837436
1100,1022180.6516303128,9599.035898215043,30.588953899823238
1200,1025696.048145284,9478.214586439757,33.68615255805548
1300,1026820.2272245168,10250.35082250791,48.35559339333736
1400,1028591.1782337261,11950.941494969855,40.21290942201131
1500,1030637.9778025765,11746.06708550169,55.83688859456302
1600,1035117.9157072323,12989.609621021405,59.62863176440273
1700,1035423.06649872,14423.484173044306,61.21880153767495
1800,1038853.8061308069,15387.403396928934,80.0683001389137
1900,1039233.1059512625,15300.31392481386,96.82899342099384
2000,1043100.9307347771,16008.815291588688,90.13891238594839
2100,1044550.2163516978,16879.99760816898,108.1939113152876
2200,1047860.8622231117,17824.562510797517,115.05642946891733
2300,1050479.302806145,19247.303176086527,123.99502744329146
2400,1051833.3371278227,20022.51980073158,140.10171171979192
2500,1053019.335528178,20851.352923621962,158.26706463148622
2600,1056621.5206845286,21860.599201695768,172.90904321509203
2700,1057216.3030298909,22596.517782608335,172.83436758343402
2800,1059985.5445187998,23411.51645114241,189.42670413724875
2900,1063889.7411673842,23801.51881925742,198.10329271746448
3000,1065837.2208366515,25747.89247540419,220.9755034891239
3100,1066501.4514732577,26345.95679198364,238.35691490751725
3200,1067719.6783486742,26765.251256227726,249.4679046073935
3300,1070983.513203143,28576.29693168822,257.78955552176006
3400,1074873.1627186856,29389.201113174586,276.52318668367985
3500,1077174.9613986278,29779.195372209393,293.83044653207673
3600,1076876.0477889306,31221.848613121183,325.52411149137424
3700,1078801.1454262075,31008.927553691225,339.24392780680023
3800,1081241.6857020787,32787.03234508865,359.22299869338264
3900,1086190.3072069078,33714.54090240005,365.58775713076693
4000,1087119.299957002,34236.618412013704,383.87657931266466
4100,1090402.3845373914,35602.72684397943,411.37904995451504
4200,1092712.1653421388,36084.82542290708,423.1557545894061
4300,1092490.1224551066,37444.61121426785,455.67573752597974
4400,1096659.9768695522,37624.77152677548,473.73648785683446
4500,1097909.9823855334,38273.53369799612,502.4583234865449
4600,1100553.7496355663,40196.7825733418,513.1363249332179
4700,1102960.572691462,40251.76544902833,533.3924093788504
4800,1105627.8481880692,41580.44938836339,569.8990995118497
4900,1108777.4272480228,42279.095129189096,592.1471304585117
5000,1111094.4026918137,42954.247401797904,613.3654933245913
