milliseconds,NatP,MisP,Ub,E1,E2,E3,DUB,Proteasome,ROS,E1_Ub,E2_Ub,E3_MisP,MisP_Ub,MisP_Ub2,MisP_Ub3,MisP_Ub4,MisP_Ub5,MisP_Ub6,MisP_Ub7,MisP_Ub8,MisP_Ub4_Proteasome,MisP_Ub5_Proteasome,MisP_Ub6_Proteasome,MisP_Ub7_Proteasome,MisP_Ub8_Proteasome,degUb4,degUb5,degUb6,degUb7,degUb8,totMisP,refNatP,AggP,SeqAggP,AggP_Proteasome
0,500.0,0.0,500.0,100.0,100.0,100.0,200.0,100.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,500.00000000020003,0.0009999148059054342,499.3359835960219,99.3392969675801,99.99668662847775,99.9999999150054,200.0,100.0,10.0,0.6607030324198965,0.003313371522240505,8.49945992663314e-08,6.430559768126879e-15,3.0916310985525652e-21,6.911606669282992e-28,5.876210008851044e-35,1.9317517578871716e-42,2.7829127713587293e-50,1.7304171671130964e-58,5.6173864288113e-67,8.98674376063737e-40,2.9166188623867725e-47,4.177716935548675e-55,2.592293159645476e-63,8.408370145272288e-72,0.0,0.0,0.0,0.0,0.0,0.0010000000000001334,1.999886408676992e-10,-2.498025020745156e-13,-8.32806719438036e-18,-8.32806719438036e-18
200,500.00000000079996,0.0019996592452424227,498.6772027753228,98.69037670819061,99.98682606742709,99.99999966004333,200.0,100.0,10.0,1.3096232918093718,0.013173932572911969,3.3995665564915215e-07,1.9097040164214756e-13,7.177670521858443e-19,1.732588798594379e-24,2.5382592032702624e-30,1.7356461432960347e-36,4.6479379711213605e-43,4.2149597815351206e-50,1.41697644624977e-57,6.457303057845879e-35,4.209018211851601e-41,1.102572453145495e-47,9.925877127156533e-55,3.3286541383194655e-62,0.0,0.0,0.0,0.0,0.0,0.0020000000000010665,7.999091296701719e-10,-9.984202587915105e-13,-6.65856040115147e-17,-6.658560401151472e-17
300,500.0000000017997,0.002999233350437752,498.0235615658471,98.05302457720224,99.97053698982515,99.999999235147,200.0,100.0,10.0,1.9469754227977605,0.029463010174845896,7.648529842912045e-07,1.3784449109337912e-12,1.5951671497310476e-17,1.2186407257031206e-22,5.496369392471426e-28,1.4616348971738105e-33,2.3443024003684948e-39,1.687023048258129e-45,4.618827202036916e-52,1.4981072233621513e-32,3.739388791812803e-38,5.713555989081441e-44,4.014081948927413e-50,1.0882950407636188e-56,0.0,0.0,0.0,0.0,0.0,0.0030000000000036,1.799693326164891e-09,-2.2446692019603578e-12,-2.245973630960924e-16,-2.245973630960924e-16
400,500.0000000031993,0.0039986371539131645,497.37496600576014,97.42702890752504,99.94793709976565,99.99999864035094,200.0,100.0,10.0,2.5729710924749547,0.052062900234345094,1.3596490467356764e-06,5.752197092538887e-12,1.714575675809733e-16,3.552613103339938e-21,4.584107285170617e-26,3.330493765908269e-31,1.3851072497831225e-36,3.4618585818448224e-42,5.148014356585371e-48,2.781939836159005e-30,2.2882814493821884e-35,1.0509009221378332e-40,2.8077615599921518e-46,4.4806268920987076e-52,0.0,0.0,0.0,0.0,0.0,0.004000000000008532,3.1992731031293215e-09,-3.987366040024578e-12,-5.320677612317651e-16,-5.320677612317651e-16
500,500.00000000499864,0.00499787068808606,496.73132397248617,96.81218087464129,99.91914309928859,99.99999787569217,200.0,100.0,10.0,3.187819125358708,0.08085690071141272,2.124307815755942e-06,1.7987713006166588e-11,1.3835141478455245e-15,5.710056100014239e-20,1.1686809424706308e-24,1.270660941263847e-29,6.792458903019808e-35,1.9703208192466656e-40,3.384830908655976e-46,1.0774078662958347e-28,1.1763816825875371e-33,6.301961010112717e-39,1.8300090972803438e-44,3.146828134295698e-50,0.0,0.0,0.0,0.0,0.0,0.005000000000016664,4.998580345848962e-09,-6.2253282210982184e-12,-1.038586960104914e-15,-1.038586960104914e-15
600,500.00000000719757,0.005996933985368415,496.09254549393125,96.20827483752747,99.88427065331847,99.99999694120918,200.0,100.0,10.0,3.7917251624725212,0.11572934668153032,3.0587908098425427e-06,4.421993926859441e-11,4.8661895666543135e-15,2.9366821534662457e-19,1.3765769973225533e-23,4.523630692834435e-28,8.588538382235101e-33,9.204192258485354e-38,4.91541514347315e-43,1.2959761734965386e-27,4.2235346475255004e-32,7.998192519234649e-37,8.565640165530421e-42,4.573632562176413e-47,0.0,0.0,0.0,0.0,0.0,0.006000000000028793,7.1975469537935525e-09,-8.957374026253319e-12,-1.793616303207513e-15,-1.793616303207513e-15
700,500.0000000097961,0.00699582707817085,495.4585421026249,95.61510776265013,99.84343433642621,99.99999583694547,200.0,100.0,10.0,4.384892237349868,0.1565656635737801,4.16305451551849e-06,9.56119128367315e-11,1.7451120421529138e-14,2.5401587641125585e-18,2.2816802777856032e-22,9.438983483137934e-27,1.9261624168032533e-31,2.105726401573533e-36,1.1301441234815863e-41,2.1499284181410442e-26,8.811583957979604e-31,1.793679548072773e-35,1.959619584987561e-40,1.0515605008221705e-45,0.0,0.0,0.0,0.0,0.0,0.007000000000045721,9.796104837716616e-09,-1.2182322411737982e-11,-2.846513593017944e-15,-2.8465135930179443e-15
800,500.0000000127942,0.007994549998897055,494.8292277669913,95.03248008071569,99.79674768339109,99.99999456294475,200.0,100.0,10.0,4.967519919284307,0.20325231660891901,5.437055239651226e-06,1.8351375339068687e-10,4.540262477664035e-14,8.994732444238378e-18,1.106825809138685e-21,1.0208849004816902e-25,7.294849625738286e-30,2.8124578251865684e-34,5.598858244980437e-39,1.0679511080055064e-25,9.632106181470707e-30,6.813091224083636e-34,2.619502613175057e-38,5.210653582612999e-43,0.0,0.0,0.0,0.0,0.0,0.008000000000068244,1.2794185923970783e-08,-1.589899324456246e-11,-4.2464955565409505e-15,-4.246495556540951e-15
900,500.00000001619173,0.008993102779951984,494.20451761889154,94.46019461807175,99.74432300009285,99.99999311925896,200.0,100.0,10.0,5.539805381928246,0.2556769999071561,6.880741029847681e-06,3.2751517066213075e-10,1.1291838900203755e-13,3.24818290862624e-17,6.770717701169726e-21,1.1163454707455705e-24,1.006935371016648e-28,4.1143123033884676e-33,8.32429101286486e-38,6.754522782422195e-25,1.057380182237032e-28,9.406671629936393e-33,3.832112004423163e-37,7.747124434134056e-42,0.0,0.0,0.0,0.0,0.0,0.009000000000097163,1.6191722149248477e-08,-2.0106207020304166e-11,-6.042683895621528e-15,-6.042683895621529e-15
