miliseconds,Mad1_CMad2,OMad2,Mad1_CMad2_OMad2,Cdc20,Cdc20_CMad2,Bub3_BubR1,MCC,Bub3_BubR1_Cdc20,APC,MCC_APC,APC_Cdc20
0,4.999980648297443e-08,1.299651284375363e-07,-6.204629942431775e-13,2.207821255687166e-07,-2.7414569554432355e-12,1.2703754192847086e-07,-1.2741454034858078e-11,5.206765829964776e-12,9.049156887252517e-08,5.559090814413598e-11,-5.281257681702049e-10
100,4.994667230073644e-08,1.2978506732211e-07,5.346280583955155e-11,2.1070277053233267e-07,8.316499542094896e-11,1.2703326514710848e-07,-6.227359620187394e-12,2.4494751916516775e-11,8.093543416764965e-08,-4.507359599160768e-11,8.305010399674677e-09
200,4.993797450037397e-08,1.2975920457471266e-07,6.125820419103907e-11,2.0334440596679113e-07,1.8637876851516053e-10,1.2688671780112384e-07,1.8652101233323067e-11,4.526164544565936e-11,7.250027662304002e-08,2.3632878739960822e-11,1.6348690535179093e-08
300,4.993575741783342e-08,1.2964332132243777e-07,6.392214808743587e-11,1.9481119048042786e-07,2.744494251354887e-10,1.2691043775992182e-07,4.592720346008628e-11,7.199791800350532e-11,6.624489875299343e-08,-4.2817531881742263e-11,2.4668716208916788e-08
400,4.9932949677675765e-08,1.2954495367702266e-07,6.615985800450801e-11,1.8991400714882487e-07,3.550744256208666e-10,1.268853030323114e-07,4.458000493425481e-11,1.0323543086529979e-10,6.117596690186876e-08,5.403958771986542e-11,2.953579988455757e-08
500,4.9932289954458036e-08,1.2939591340807332e-07,6.875453873824615e-11,1.8507629660502684e-07,4.485413503700887e-10,1.267836758562299e-07,8.328443138047736e-11,1.2242053612340966e-10,5.57284045082988e-08,9.46852353342262e-11,3.4881179978237756e-08
600,4.992926419453206e-08,1.2921807491925012e-07,7.068515090922444e-11,1.7959241095081613e-07,5.215422216213111e-10,1.267018357161071e-07,7.480092473473959e-11,1.4345352016943494e-10,5.157389279756764e-08,1.2267439488702836e-10,3.9011498959588986e-08
700,4.992777662357697e-08,1.2902311727592173e-07,7.095911750172536e-11,1.7673498753467386e-07,5.575475987326413e-10,1.2658657379470366e-07,1.2527796563843654e-10,1.6350667560173053e-10,4.626885553798576e-08,2.2463047548078723e-10,4.378534866000999e-08
800,4.99266172591702e-08,1.2904823034088247e-07,7.377561512082927e-11,1.7115126178840187e-07,6.211516882373975e-10,1.2646128168540977e-07,1.1722957329287472e-10,1.7643569196670617e-10,4.258609940725179e-08,1.7882510449618732e-10,4.627403181726765e-08
900,4.992572428154829e-08,1.2889895919907077e-07,7.420720513799481e-11,1.694182976916761e-07,6.60301178890553e-10,1.2637039269728375e-07,1.3897855562103484e-10,1.9071774007814585e-10,3.970005452095635e-08,2.76798249080335e-10,5.0524910899180036e-08
1000,4.992374889068236e-08,1.286918626997683e-07,7.616760338064625e-11,1.6648228282979663e-07,7.097013743334236e-10,1.2618198607805987e-07,1.8106545576943826e-10,2.1563144706936654e-10,3.790919027283953e-08,3.8910686181410266e-10,5.266730196895492e-08
1100,4.99234233464399e-08,1.2865472567155603e-07,7.745380004288962e-11,1.6232926363361998e-07,7.477443055732242e-10,1.2616756996855342e-07,1.9484418118290067e-10,2.3781951647122413e-10,3.404987094599654e-08,3.559985550053082e-10,5.46672110415659e-08
1200,4.9921363312440094e-08,1.2836416953600457e-07,7.80943511708175e-11,1.6002934320759307e-07,7.787116508840171e-10,1.259980059482051e-07,2.4292305618088256e-10,2.40961365019744e-10,3.261493776453014e-08,4.646284474875355e-10,5.814764188638041e-08
1300,4.992018324818826e-08,1.282959576426266e-07,7.895246677216407e-11,1.5844876204218963e-07,8.000203841342677e-10,1.2600657357369016e-07,2.3668420290394167e-10,2.624318096815108e-10,3.018849754046141e-08,5.44013180815954e-10,5.9100390064343725e-08
1400,4.991981021611214e-08,1.2811669354917279e-07,8.040341333184258e-11,1.560379383268684e-07,8.38804225481586e-10,1.2576227877107766e-07,2.7355978699795376e-10,2.8357694560516e-10,2.8349042341442523e-08,5.778401627445418e-10,6.191399177263333e-08
1500,4.9918511791889936e-08,1.2801474391120715e-07,8.092925363883605e-11,1.5523497170528164e-07,8.591180704289795e-10,1.2576999313912794e-07,2.8849242157044223e-10,2.9173566561208273e-10,2.628302758978245e-08,6.595034265975468e-10,6.313903317733501e-08
1600,4.991878126350333e-08,1.2798195112999155e-07,8.220268414508691e-11,1.5313655539049919e-07,8.714010617101799e-10,1.2563311213242842e-07,3.2937501780628977e-10,3.037110263580047e-10,2.4287800692495662e-08,7.216831901991635e-10,6.462837966827863e-08
1700,4.9917282445227556e-08,1.2785034793380246e-07,8.219254202712939e-11,1.5230295602983672e-07,8.928625152113708e-10,1.2545280590444e-07,3.497604589877465e-10,3.081112716117646e-10,2.2881192746476958e-08,8.619436073326974e-10,6.558016831701472e-08
1800,4.991646055913422e-08,1.2768960180806605e-07,8.241977767654537e-11,1.503418010064247e-07,9.056988643287975e-10,1.2526585684257992e-07,3.6857265955909067e-10,3.21796650705067e-10,2.27463562300221e-08,9.58864553245318e-10,6.725261655819552e-08
1900,4.991607267832948e-08,1.27558293411929e-07,8.407769611321375e-11,1.5013583383825405e-07,9.129153558468369e-10,1.2522525741287977e-07,3.961281843890644e-10,3.402192813779558e-10,2.1756403177952215e-08,1.0304022841105464e-09,6.814980087010963e-08
2000,4.9915998460887284e-08,1.2735041009141417e-07,8.476427313554674e-11,1.484105667592874e-07,9.226541650581504e-10,1.2509148196949823e-07,4.343801860156324e-10,3.5070166515272356e-10,2.0934685856535635e-08,1.0690906633285774e-09,6.817676816061516e-08
2100,4.991553467518375e-08,1.2737025484016883e-07,8.541143306431532e-11,1.464400721707498e-07,9.373504645386224e-10,1.2491816581134313e-07,4.629252970837486e-10,3.6110182792682276e-10,1.847997081873226e-08,1.2468436509553119e-09,7.006047808230641e-08
2200,4.991509639703935e-08,1.271562822858303e-07,8.553139671329469e-11,1.4654777582349223e-07,9.499675008646782e-10,1.2490825013874024e-07,5.100854638115187e-10,3.7803744390761806e-10,1.8750640478311086e-08,1.3209954010444297e-09,7.074759194473505e-08
2300,4.9914587408703295e-08,1.270975430300314e-07,8.539148395362637e-11,1.4570056436575997e-07,9.427544467051651e-10,1.2467342165964135e-07,5.342722224137904e-10,3.8550239348526136e-10,1.7856806109840192e-08,1.4456666451226734e-09,7.081100637612611e-08
2400,4.991335109341952e-08,1.2690446103192664e-07,8.670394722605556e-11,1.4529696238125125e-07,9.729488584646659e-10,1.245797054886649e-07,5.349406385100234e-10,3.8971932834404277e-10,1.552982078581486e-08,1.4262242560340513e-09,7.154239203597872e-08
2500,4.991335227821901e-08,1.2675014986318743e-07,8.722516464051187e-11,1.4457627638735746e-07,9.63276224275471e-10,1.2437612900427174e-07,5.93107695106158e-10,4.037540679586249e-10,1.5958093600350436e-08,1.5995297943259352e-09,7.301149341566169e-08
2600,4.991382098352907e-08,1.2660987532523182e-07,8.709427284278339e-11,1.441847722288403e-07,9.859775977342998e-10,1.24265619349795e-07,5.980355077027561e-10,4.0674091577537747e-10,1.6189003264351936e-08,1.6741538740652996e-09,7.331904791556374e-08
2700,4.991246635688718e-08,1.2648424445616636e-07,8.732573032932254e-11,1.4309958915707627e-07,9.831379890659563e-10,1.2417303609241887e-07,6.254282683354499e-10,4.1852666448561715e-10,1.539710482599066e-08,1.7840709282456056e-09,7.277338526493926e-08
2800,4.991321073625473e-08,1.2646519748629042e-07,8.682312635243162e-11,1.4233870500881195e-07,9.795201575648943e-10,1.24120199109709e-07,6.459774509060443e-10,4.354448807661706e-10,1.3808188203979484e-08,1.8783087403299144e-09,7.315301110861817e-08
2900,4.9912228370931805e-08,1.2621250861255208e-07,8.83327804767058e-11,1.422559006121977e-07,9.9915551901631e-10,1.2401694777399175e-07,6.997676495683798e-10,4.3647957855062847e-10,1.3917100743175273e-08,1.94011119398296e-09,7.453677892103746e-08
3000,4.9911718917807606e-08,1.2610607716212572e-07,8.731993347968277e-11,1.4033006452291146e-07,9.841611003303592e-10,1.2377436900224469e-07,7.296451763438142e-10,4.4500490232938566e-10,1.2722281384863311e-08,1.9948500818779208e-09,7.46773024136856e-08
3100,4.991206332020068e-08,1.2600662104360777e-07,8.812799065370034e-11,1.4101666368925664e-07,9.862831107565535e-10,1.235864951068539e-07,7.261452647768603e-10,4.6305053230498624e-10,1.2383712431800659e-08,2.141240458081397e-09,7.576724719006181e-08
3200,4.9911314891474566e-08,1.2597467730781218e-07,8.823637177082236e-11,1.4100728340548725e-07,9.931574586141422e-10,1.2355256593848022e-07,7.578362686227968e-10,4.60954381332586e-10,1.2690835907952941e-08,2.169091965047019e-09,7.58864674337033e-08
3300,4.991197306594419e-08,1.257787435092233e-07,8.780688463081771e-11,1.3876841038524013e-07,9.87158472534102e-10,1.2336019033896828e-07,7.858285322671287e-10,4.797605617369465e-10,1.2678481503419713e-08,2.3071125271962736e-09,7.516878371558321e-08
3400,4.9911945935611295e-08,1.2569576055067625e-07,8.908076051129624e-11,1.395526763220875e-07,9.909799949686442e-10,1.2329085346620594e-07,8.034802031491835e-10,4.747437935101929e-10,1.1943145076376044e-08,2.3980411481157476e-09,7.599336099425485e-08
3500,4.9910886970360375e-08,1.2550612170968587e-07,8.886247551085461e-11,1.3935983413119723e-07,1.0143616717852119e-09,1.2315163387715464e-07,8.320588073380738e-10,4.936131635653241e-10,1.1090873761128294e-08,2.5151101342629592e-09,7.623172341841395e-08
3600,4.991089751238115e-08,1.253566815911869e-07,8.908798699830448e-11,1.378874326933061e-07,1.0106957938472577e-09,1.2293995193319104e-07,8.642850997743799e-10,4.918102917638425e-10,1.0879032162638554e-08,2.5768961322494606e-09,7.580299238259415e-08
3700,4.991128872314826e-08,1.2531002182233585e-07,8.85589853866682e-11,1.3886251809285314e-07,1.0099622648565962e-09,1.228364679790003e-07,8.79957163735963e-10,5.114258924562969e-10,1.0752750935254675e-08,2.6455149001881726e-09,7.602491726339424e-08
3800,4.9911411173193235e-08,1.251110531008806e-07,8.83981251541044e-11,1.3731416238634656e-07,9.980778978012386e-10,1.2270431280710154e-07,9.359484650916631e-10,5.136877442361506e-10,1.0859013867323242e-08,2.750910020852969e-09,7.604498943333045e-08
3900,4.991088948936737e-08,1.2495774623935997e-07,8.837340321638967e-11,1.3851590224226139e-07,1.004352005739001e-09,1.2263061451395647e-07,9.455336865774304e-10,5.231585052495767e-10,1.0717302523784496e-08,2.858456063797718e-09,7.679029302194185e-08
