miliseconds,Mad1_CMad2,OMad2,Mad1_CMad2_OMad2,Cdc20,Cdc20_CMad2,Bub3_BubR1,MCC,Bub3_BubR1_Cdc20,APC,MCC_APC,APC_Cdc20
0,5.000026546571414e-08,1.3001152822679915e-07,6.658967020211034e-13,2.1957362285467534e-07,-5.267346168597947e-12,1.2692291239062918e-07,-6.669529393496115e-13,5.465389488573337e-12,9.049793672539284e-08,-4.65483101104462e-11,7.249946800661673e-10
100,4.994652975413441e-08,1.2990561810646226e-07,5.384327417876114e-11,2.099799624868063e-07,6.241439810207734e-11,1.2699159954009296e-07,2.0845436669878364e-11,2.338817448898289e-11,8.176418523827755e-08,2.3854608077880326e-11,8.409108760347143e-09
200,4.993930493869624e-08,1.2969011609714514e-07,6.077502845767478e-11,2.034302716043449e-07,1.697129773313985e-10,1.269457771195767e-07,2.5790998502343907e-12,5.0480277059584974e-11,7.301061084277446e-08,-4.6870455362347075e-11,1.7399999048792254e-08
300,4.993611125888515e-08,1.2968842557348328e-07,6.439654220131328e-11,1.966759946923832e-07,2.835783817537421e-10,1.2688130878323727e-07,2.7201932202222845e-11,7.516243990021452e-11,6.718447942168944e-08,5.3729211031847004e-11,2.343986468867943e-08
400,4.993416966199308e-08,1.2952280349823673e-07,6.661836432019772e-11,1.9083932874949684e-07,3.6853518390219066e-10,1.2688686670866374e-07,3.09557255174096e-11,9.528862246243772e-11,5.965463422483012e-08,5.3201538311894115e-11,2.9046823172901618e-08
500,4.9932057862388234e-08,1.293763623626507e-07,6.836100883788729e-11,1.8457261723797725e-07,4.5238618682685443e-10,1.2670991848483093e-07,8.163403213142248e-11,1.205520774673818e-10,5.501860845728106e-08,1.1410653338555092e-10,3.463981171640868e-08
600,4.99293685997024e-08,1.2919132353462117e-07,7.054577424804883e-11,1.797923197786053e-07,5.166734207805671e-10,1.2665282868217937e-07,7.987428267718768e-11,1.3881178147085374e-10,4.994093268422351e-08,7.911260750361453e-11,4.0250223568403075e-08
700,4.992807515763308e-08,1.291171779851088e-07,7.176284835595386e-11,1.766012809854337e-07,5.669387088526881e-10,1.2660954344880967e-07,1.0488939988335513e-10,1.5994043711532728e-10,4.600598630566484e-08,1.1273918253163917e-10,4.356016151145282e-08
800,4.9926601583739535e-08,1.2898966380972966e-07,7.306327196045894e-11,1.7300928861567402e-07,6.131864883569201e-10,1.2653682168157398e-07,1.4566446296875903e-10,1.7622531992695197e-10,4.200299292377687e-08,2.766356715943062e-10,4.727169938914753e-08
900,4.992485202484686e-08,1.2892257447460215e-07,7.4100256020736e-11,1.685020082112046e-07,6.635197839993503e-10,1.2642826769399018e-07,1.7105628048002467e-10,1.905964905689903e-10,3.9941506484394514e-08,2.148899298489575e-10,5.051726836949877e-08
1000,4.992345830097228e-08,1.2862020413715128e-07,7.593669235633841e-11,1.660748881675522e-07,7.119325543680259e-10,1.262896226515389e-07,1.7751754282562708e-10,2.2054233197164962e-10,3.774910717306456e-08,3.660275513896345e-10,5.305425856925081e-08
1100,4.9922868208054004e-08,1.2863953639882785e-07,7.636774479041612e-11,1.626919680919365e-07,7.559627150239925e-10,1.2611074268748037e-07,2.160359077259444e-10,2.29575568171633e-10,3.495790685997319e-08,3.932775988965595e-10,5.487218250371337e-08
1200,4.9921864190682295e-08,1.2838541271520045e-07,7.812774951926398e-11,1.6042874910832535e-07,7.681179896767446e-10,1.2603681278368228e-07,2.1572467291776427e-10,2.458712813507732e-10,3.292959596455658e-08,4.2555202106014895e-10,5.660292839978329e-08
1300,4.992025648987551e-08,1.2825200195697788e-07,7.939023002943352e-11,1.5828916648338295e-07,8.144740866082867e-10,1.2586771296856218e-07,2.4477284154479387e-10,2.637634963803951e-10,3.017434101932345e-08,5.121564232517767e-10,5.863856760761405e-08
1400,4.9919920984876906e-08,1.2819521963436427e-07,7.943913132263771e-11,1.5721025261580386e-07,8.219670964996115e-10,1.2584382069147435e-07,2.658597025334756e-10,2.7024081271599303e-10,2.9100865302043145e-08,6.588448785867137e-10,6.214002146407644e-08
1500,4.991873549046145e-08,1.281341234761404e-07,8.106975344031433e-11,1.5461290016924403e-07,8.606266303403883e-10,1.2576978684899651e-07,2.8658998846032116e-10,2.8603034466799713e-10,2.5391313091337276e-08,7.2226648758253e-10,6.364545105040295e-08
1600,4.9917712344534276e-08,1.2789690756277176e-07,8.120213573790804e-11,1.5326974574809436e-07,8.749763050217618e-10,1.2559877053545368e-07,3.310813720243752e-10,3.0809724186078075e-10,2.496561346556614e-08,7.537418342646029e-10,6.451919783079845e-08
1700,4.9917302032396224e-08,1.2777790921756304e-07,8.21262480687839e-11,1.512977887192255e-07,8.887853792675823e-10,1.255251126578195e-07,3.4794454181170907e-10,3.229646022506562e-10,2.3385611767697416e-08,8.37030912879854e-10,6.602078824298935e-08
1800,4.9917569441411853e-08,1.2768290427657602e-07,8.247899230520538e-11,1.5136357564062663e-07,9.114765112752695e-10,1.2538951943735034e-07,3.843106724698072e-10,3.3486388448920176e-10,2.1504068102855423e-08,9.184016662775051e-10,6.702651900651436e-08
1900,4.991646422797978e-08,1.2757107391757308e-07,8.3937321825672e-11,1.4932321111559145e-07,9.20261812644377e-10,1.25269581288643e-07,4.2546653088003397e-10,3.346253884003124e-10,2.097177831642301e-08,1.1016616993687034e-09,6.82942307014885e-08
2000,4.9915630614068774e-08,1.2740885962269939e-07,8.493838517711682e-11,1.4908464456508053e-07,9.194028330145225e-10,1.251222230193293e-07,4.5606671924708426e-10,3.5938946983610244e-10,1.9059252717668275e-08,1.1201167516476204e-09,6.798259516463061e-08
2100,4.991512312650045e-08,1.2726522026653652e-07,8.431869718956793e-11,1.4790309879852454e-07,9.340606400056196e-10,1.2493291162274044e-07,4.774645916668599e-10,3.625150024614987e-10,1.987821177459434e-08,1.1904625672456183e-09,7.039300566304005e-08
2200,4.9914194395845054e-08,1.2718496699072485e-07,8.548339089401112e-11,1.472315510148077e-07,9.399625037816922e-10,1.2489224979577484e-07,5.087614022529987e-10,3.822662295178682e-10,1.7257648425631172e-08,1.2604290317576347e-09,6.986872198053885e-08
2300,4.9914389102196485e-08,1.2701944555201718e-07,8.589909258455072e-11,1.4446243061378997e-07,9.62701746164183e-10,1.2472321353278987e-07,5.116334739473658e-10,3.843080714519191e-10,1.6662868866887528e-08,1.3434669247149242e-09,7.081636123784861e-08
2400,4.99142969422099e-08,1.2688159285286926e-07,8.674355979142676e-11,1.4387269102046357e-07,9.735434281800179e-10,1.2458701669992567e-07,5.459141792705538e-10,4.0154845674103907e-10,1.6781139929518406e-08,1.5350659203749738e-09,7.274001274393378e-08
2500,4.991347114512078e-08,1.2686394346427114e-07,8.723302696421723e-11,1.4347109165270245e-07,9.724309834657963e-10,1.244585858566339e-07,5.673170374898575e-10,4.131752567176394e-10,1.569662951017372e-08,1.6102597049641335e-09,7.237837479137093e-08
2600,4.9913409917567405e-08,1.2663720443484376e-07,8.652504094005603e-11,1.4268091374424275e-07,9.728986377865875e-10,1.243699020668894e-07,6.210827088098813e-10,4.136132293781117e-10,1.6162718279232693e-08,1.6096782786218077e-09,7.247534615775781e-08
2700,4.9913415707975444e-08,1.2651687754002866e-07,8.706161460333413e-11,1.4312961520458108e-07,9.872288919766853e-10,1.2414896006155438e-07,6.222446490612067e-10,4.322461278879324e-10,1.4712561244818877e-08,1.7647269545840336e-09,7.326548993702813e-08
2800,4.991193440347599e-08,1.2642468913883802e-07,8.748057023739562e-11,1.4106939544280594e-07,9.934078678234295e-10,1.2406903369641303e-07,6.416948733230308e-10,4.278656455490134e-10,1.3984550468050564e-08,1.9061404155743414e-09,7.317830450194152e-08
2900,4.991201115031195e-08,1.262436973975545e-07,8.74947853678337e-11,1.422597172704895e-07,9.8914941595558e-10,1.2399099338445072e-07,6.90932586643608e-10,4.4489471073941845e-10,1.2813995169008476e-08,1.9067234888998844e-09,7.456119443471997e-08
