miliseconds,Mad1_CMad2,OMad2,Mad1_CMad2_OMad2,Cdc20,Cdc20_CMad2,Bub3_BubR1,MCC,Bub3_BubR1_Cdc20,APC,MCC_APC,APC_Cdc20
0,5.0000614586994813e-08,1.2990894046189167e-07,-4.830153827147146e-13,2.1915583904517982e-07,6.498610527489916e-13,1.270013144755684e-07,1.2016294427721407e-12,-3.704697546705639e-13,9.048876261263632e-08,-1.4733066878503583e-11,4.042389107790975e-10
100,4.9945576839331995e-08,1.2989682409898531e-07,5.337136257578951e-11,2.1124473420707168e-07,7.223943817506167e-11,1.269418925947838e-07,9.109409526880378e-12,2.0202512625714035e-11,8.0708685766928e-08,5.784191907087109e-11,9.856968977496613e-09
200,4.99391482163847e-08,1.2976129220944215e-07,6.072084571156894e-11,2.0174476576262305e-07,1.7035559350404602e-10,1.2694846471811604e-07,2.0964211820358704e-11,5.923039712024685e-11,7.256704765422387e-08,3.703518683649888e-11,1.69458843771923e-08
300,4.993614596822104e-08,1.2959028304957888e-07,6.401519981847733e-11,1.9501328930042992e-07,2.8347336117024853e-10,1.268929950187887e-07,3.1511172568062946e-11,7.743798101253442e-11,6.5864521003823e-08,3.754668832207181e-11,2.309831924375439e-08
400,4.993353101935703e-08,1.294312350560334e-07,6.595739490730297e-11,1.8903544841463005e-07,3.716673288244564e-10,1.2685914208296e-07,6.072993073933871e-11,9.549289093297765e-11,6.058760629475603e-08,4.035440403202672e-11,2.8801561654621437e-08
500,4.993116096257862e-08,1.2930951965047282e-07,6.802366911721565e-11,1.8409892021794763e-07,4.4134957017908954e-10,1.2676904146507641e-07,7.31490714093719e-11,1.2448647639242238e-10,5.451305184233272e-08,8.721812640017394e-11,3.548451428743031e-08
600,4.992943082195804e-08,1.29190782158059e-07,7.055343159487433e-11,1.8023875146732277e-07,5.092178660103097e-10,1.2672222966986346e-07,8.976159861471135e-11,1.402694985199759e-10,5.1254176148364074e-08,1.1243818806122964e-10,3.9677152447561715e-08
700,4.992838155200531e-08,1.2913197460812527e-07,7.187673652190738e-11,1.7603358605144776e-07,5.81238122232816e-10,1.2658438153294238e-07,9.68177888375337e-11,1.580748333722214e-10,4.6797762192083974e-08,1.2664557299120606e-10,4.353414539800037e-08
800,4.992742872677579e-08,1.2895936556081018e-07,7.382967435862971e-11,1.7104597087585193e-07,6.30047849164823e-10,1.2638665210165315e-07,1.212248058137644e-10,1.782747466387461e-10,4.247914849074008e-08,2.3708806735418846e-10,4.7490613120824125e-08
900,4.992487748517133e-08,1.2875858041332614e-07,7.523090659008352e-11,1.680547978130335e-07,6.56909488522141e-10,1.2645058442959907e-07,1.4748757901403524e-10,2.0387077234082746e-10,3.924924725276059e-08,2.6524033079919355e-10,5.0429546183109806e-08
1000,4.9924190194332776e-08,1.2875668854283112e-07,7.644481544949063e-11,1.6602388901689084e-07,7.192079868937016e-10,1.2633054927398895e-07,1.9492002417101246e-10,2.1891427938646725e-10,3.670053720059477e-08,3.0592704673924564e-10,5.205605840789106e-08
1100,4.99234421742646e-08,1.2855410363458057e-07,7.715465982415447e-11,1.623245359393887e-07,7.402492717408883e-10,1.2621860011882848e-07,1.8293231857605288e-10,2.2454322152424662e-10,3.398267257259794e-08,3.489599579000883e-10,5.4701246548165114e-08
1200,4.992183714775315e-08,1.2839460248906445e-07,7.77404800966141e-11,1.6136134779216162e-07,7.793571542797072e-10,1.2608176032880348e-07,2.106782197714254e-10,2.4743241015958886e-10,3.196458499204018e-08,4.3083171546065346e-10,5.748513221810572e-08
1300,4.9920954796165786e-08,1.2831816578717878e-07,7.843113622111367e-11,1.5844742557820533e-07,7.915596831440908e-10,1.2596649935718515e-07,2.599003459364628e-10,2.608562478188856e-10,3.027083518701573e-08,5.255983350066049e-10,5.9241655252888424e-08
1400,4.991921435637114e-08,1.2822974185594428e-07,7.963612977678762e-11,1.563547596205221e-07,8.184304817153148e-10,1.2579865985386727e-07,2.7436403350181834e-10,2.684829783519885e-10,2.9042373311774606e-08,6.348705106503826e-10,6.187574879857451e-08
1500,4.991924139894305e-08,1.2811268533262364e-07,8.079289709467324e-11,1.5492765774766436e-07,8.441492279321825e-10,1.2571575586452354e-07,3.021931811793834e-10,2.9109626974344356e-10,2.602891401608953e-08,6.420049994652605e-10,6.259845370471536e-08
1600,4.991842045874645e-08,1.2800577186331748e-07,8.10834260514803e-11,1.5258140329187603e-07,8.817044444001741e-10,1.2565447447583928e-07,3.1282895928037925e-10,2.988990387080412e-10,2.5846204265360335e-08,8.216440607776482e-10,6.461402793018435e-08
1700,4.9918098855460365e-08,1.2783216578592144e-07,8.195313097663441e-11,1.5211005586187698e-07,8.785682777404049e-10,1.254641793550481e-07,3.5286613669119857e-10,3.232730667192034e-10,2.3310312114870173e-08,8.080966887768352e-10,6.610876300853812e-08
1800,4.99166411368895e-08,1.276591787668756e-07,8.365081155662362e-11,1.5027039464073398e-07,9.104543996392187e-10,1.2534106677849132e-07,3.844453779220255e-10,3.3299493606698463e-10,2.24433498590158e-08,1.009246196668012e-09,6.74571997856421e-08
1900,4.991578279580062e-08,1.275826989402853e-07,8.3041448568958e-11,1.4917665373052558e-07,9.218694526107831e-10,1.2517448672870125e-07,4.194670514481899e-10,3.4401467437445446e-10,2.027898177100968e-08,1.0389730861748113e-09,6.840777275966553e-08
2000,4.991515173366609e-08,1.2746995121223408e-07,8.483831244170992e-11,1.474715090076863e-07,9.2447209488395e-10,1.250598029107184e-07,4.550893872618611e-10,3.533262685964294e-10,1.995801201645329e-08,1.1602830425473765e-09,6.856667952907802e-08
2100,4.991556859889535e-08,1.2725507379405584e-07,8.445473190145248e-11,1.4740671759384138e-07,9.42646837006337e-10,1.2500540932794196e-07,4.723303232366269e-10,3.660544739756433e-10,1.967899874213801e-08,1.1512926070198245e-09,6.940760944344067e-08
2200,4.9914065963877354e-08,1.271637492307539e-07,8.485988670838613e-11,1.4591077508865377e-07,9.331374183630162e-10,1.2476784708755017e-07,4.816711543141787e-10,3.69398343825734e-10,1.757986925762732e-08,1.3069885583197245e-09,6.993008570300362e-08
2300,4.991376025378634e-08,1.2701678213391928e-07,8.517966753046929e-11,1.458367713561985e-07,9.620708172613449e-10,1.2468543287431894e-07,5.176215890096005e-10,3.8531978106927924e-10,1.6310628609452812e-08,1.443061518265269e-09,7.229167977871975e-08
2400,4.991405393235706e-08,1.2701180523688984e-07,8.566614663489306e-11,1.4490983500087107e-07,9.53468107250796e-10,1.2463282962642686e-07,5.545431929367985e-10,3.9608228543029034e-10,1.640515291496745e-08,1.4411199332888653e-09,7.263730004650713e-08
2500,4.991322725080518e-08,1.2687637041341491e-07,8.634788019065983e-11,1.4376626128239492e-07,9.630428501229191e-10,1.2447587971624412e-07,5.693950701021313e-10,4.086953907267314e-10,1.6456394175196147e-08,1.5422242304866784e-09,7.304302700893504e-08
2600,4.991315691813876e-08,1.2661465625201173e-07,8.742579831266862e-11,1.4265728232234026e-07,9.677854263916543e-10,1.2425490881094395e-07,5.901426255948279e-10,4.1979858690786654e-10,1.6186015705012275e-08,1.6126492907542232e-09,7.370791753199398e-08
2700,4.9912554217561413e-08,1.2656338150072702e-07,8.670376259625375e-11,1.4281188812074215e-07,9.749212628521574e-10,1.2417480314961557e-07,6.172856495794327e-10,4.1793984893981394e-10,1.3968919658745115e-08,1.793367547410098e-09,7.42357279202576e-08
2800,4.991257133047695e-08,1.2650435191996257e-07,8.720784958731565e-11,1.420108085293151e-07,9.855067186934412e-10,1.2404335441935294e-07,6.724049899807615e-10,4.3996228585227137e-10,1.4056541336333833e-08,1.8567741961275557e-09,7.311400130706712e-08
2900,4.991194069539852e-08,1.2634291140842836e-07,8.791972142121595e-11,1.4240359568874393e-07,9.825178871450181e-10,1.2400183184954188e-07,6.700224495254698e-10,4.343417862899807e-10,1.4134414861312396e-08,1.983527342812712e-09,7.435156230959777e-08
3000,4.991205907002948e-08,1.2622749769818815e-07,8.811063482620562e-11,1.411426920473031e-07,1.0017674743795632e-09,1.2379778262001503e-07,7.270553742501576e-10,4.5416834207175216e-10,1.3317180563688201e-08,2.0755402684034755e-09,7.449678321988772e-08
3100,4.991235332781858e-08,1.2598972723972075e-07,8.78744682981651e-11,1.397118116014223e-07,9.926103868614981e-10,1.2372340504198135e-07,7.247763847599627e-10,4.6460577135390357e-10,1.2475271442090155e-08,2.1747351390002746e-09,7.499450013541283e-08
3200,4.991119981010985e-08,1.259986167695683e-07,8.814156846724489e-11,1.39783348390252e-07,1.0074791464345398e-09,1.2361924250327277e-07,7.837561055987488e-10,4.754437742257248e-10,1.198722849219152e-08,2.170308478452283e-09,7.445229547899538e-08
3300,4.9912197669111e-08,1.2580787429140035e-07,8.77865210578149e-11,1.3880278083544315e-07,1.0067083397609388e-09,1.2349627947654864e-07,7.991035642846769e-10,4.744345235818648e-10,1.2805223842099547e-08,2.269469122217478e-09,7.570758061730134e-08
3400,4.9910679925509646e-08,1.2560943857214357e-07,8.86476219814538e-11,1.3945849611898886e-07,1.0089625378089654e-09,1.2320834298464523e-07,8.196783010581893e-10,4.786013667310786e-10,1.1090403683839862e-08,2.420621492791971e-09,7.525930108719044e-08
3500,4.991074071948001e-08,1.2558647999683391e-07,8.920677393706052e-11,1.3867308561141427e-07,1.0012610269221575e-09,1.231716739861545e-07,8.48511322901606e-10,4.830999756858478e-10,1.1200165038756008e-08,2.501606637497432e-09,7.548210296690231e-08
3600,4.991064376443847e-08,1.2543843862190516e-07,8.947811801914642e-11,1.384641276905935e-07,1.0092884050166166e-09,1.230047260474728e-07,8.650389563156119e-10,4.964318333670475e-10,1.1461188479115234e-08,2.620454335684749e-09,7.609916111793082e-08
3700,4.991105961943987e-08,1.2530752600712328e-07,8.917571778330852e-11,1.3817013476489204e-07,1.012702020488429e-09,1.2288419187189202e-07,9.001653818655073e-10,4.973803198801615e-10,1.1345697079295928e-08,2.749945454203232e-09,7.651052994192785e-08
3800,4.9911424930165637e-08,1.2518296560472678e-07,8.855086082622395e-11,1.3871626222847656e-07,1.0003647786921731e-09,1.2277643110826348e-07,9.295154225356079e-10,5.146088486138324e-10,9.903814073887945e-09,2.8519454119964148e-09,7.571588936405456e-08
3900,4.9911272932201544e-08,1.2514358836699438e-07,8.853035780742062e-11,1.3764562431846718e-07,1.0244536450886476e-09,1.2255621147873116e-07,9.337653730054543e-10,5.174354616765085e-10,1.1413691420367264e-08,2.8945010094440635e-09,7.60426419942319e-08
4000,4.9910934772958336e-08,1.2494347309262443e-07,8.904652185734397e-11,1.3835238473826493e-07,1.0229167500213833e-09,1.2242038050366428e-07,9.576717655147205e-10,5.22310460073784e-10,9.859686671663227e-09,2.953552688938158e-09,7.66702000742839e-08
4100,4.9910554556256594e-08,1.2477965429026416e-07,8.889871668520154e-11,1.3759283034971518e-07,1.0166655409622643e-09,1.223411003413659e-07,1.0012344893574633e-09,5.261108079255847e-10,1.0515045217428214e-08,3.125604522212884e-09,7.585704317131514e-08
4200,4.9910871176442235e-08,1.2469460525712055e-07,8.882815201353712e-11,1.3729977523732722e-07,1.0132220573298273e-09,1.2226758143217115e-07,1.0125776684767047e-09,5.424180277078265e-10,1.0477855022756524e-08,3.1711738758699367e-09,7.668149864859462e-08
4300,4.991069584950786e-08,1.245495742395242e-07,8.97913850203043e-11,1.3706501179650664e-07,1.0178559159328767e-09,1.2211347250879688e-07,1.0321502437614775e-09,5.373941994136024e-10,9.152409915829075e-09,3.365532665571259e-09,7.630078076886699e-08
4400,4.9910039697882844e-08,1.2439102703112672e-07,8.923101429869349e-11,1.360720093534353e-07,1.0285780192155636e-09,1.219206049471849e-07,1.0704545169325883e-09,5.511965431541358e-10,8.95737485868055e-09,3.4278471534172765e-09,7.679190646114583e-08
4500,4.991110437602026e-08,1.2434095277845157e-07,8.853674201023304e-11,1.3651833762325456e-07,1.0079756230862528e-09,1.2178813763757083e-07,1.056881187757063e-09,5.487180448303668e-10,1.012853768625304e-08,3.451361939187498e-09,7.652111716883606e-08
4600,4.9911371522128677e-08,1.2426342905206614e-07,8.920118251504702e-11,1.3570574383923472e-07,1.026622702467169e-09,1.2180595682713776e-07,1.099454166281901e-09,5.527532209000495e-10,9.812683428767067e-09,3.559581362920991e-09,7.779167307189967e-08
4700,4.991059085148295e-08,1.2403816449406132e-07,8.917795404641029e-11,1.361715999020909e-07,1.014117216127142e-09,1.2167334269980078e-07,1.1059727570177398e-09,5.586896480196431e-10,8.850387359442685e-09,3.69617250032186e-09,7.610864954616492e-08
4800,4.9910111548410496e-08,1.238694704056562e-07,8.939279653968428e-11,1.3579188419035412e-07,1.0185376207244795e-09,1.2141553716459554e-07,1.1186700391728558e-09,5.778462270572544e-10,8.872084140338136e-09,3.771379441307459e-09,7.763939360338145e-08
4900,4.991033053974237e-08,1.2389156844765265e-07,9.001881787826824e-11,1.3542444399460237e-07,1.0264147884414972e-09,1.2130748989079738e-07,1.170143891137481e-09,5.768980767720717e-10,8.225637226968583e-09,3.893083497387269e-09,7.802972393585819e-08
5000,4.9910742995189346e-08,1.237464647627414e-07,8.9895302162564e-11,1.3643235914933534e-07,1.032860716971329e-09,1.2120353020317665e-07,1.1597568385682988e-09,5.818193417315952e-10,8.211393307562834e-09,4.071773475550465e-09,7.630406272600743e-08
