milliseconds,T,E
0,96.06425705085826,1000.7576862612857
100,101.85629027066463,999.2490528338991
200,122.8914806652083,997.3014473015357
300,119.32364094631721,997.254237804976
400,100.43953893070247,995.321235610366
500,127.23691680286085,994.0536776065353
600,139.04421653187296,994.3839344702525
700,140.46545435518667,994.3253604485764
800,138.78156699093833,991.8808713128457
900,143.0801872042108,990.2966698011585
1000,162.78809629453121,989.3665295984911
1100,172.10736654064337,989.5138917999317
1200,180.41473999789596,987.629344416037
1300,184.66532977748358,986.5408149322102
1400,159.2749746598178,986.4195325265447
1500,172.20498316017984,983.7605243998532
1600,177.9199929145271,985.3810540631938
1700,206.31680298503233,984.4546467108344
1800,192.55755788257932,981.0590558333909
1900,217.27052537803243,982.0936306925562
2000,243.5669753091954,980.8746764922236
2100,243.44187327337946,978.3161042661368
2200,268.39079827835343,979.1655286098014
2300,266.51816881922605,976.0491868182876
2400,270.2377727434767,975.1515985843567
2500,283.08354048583993,975.1471605150259
2600,291.36828375868475,972.9402226604033
2700,287.7032419882382,974.5908744686905
2800,328.9472348658892,973.5914009807766
2900,334.79282819345434,970.2202281167753
3000,360.65129508315766,969.9596708259819
3100,364.7747788821971,968.3272879225683
3200,375.30948585334363,968.1379027339095
3300,387.87256163927947,966.8190432494251
3400,416.12200032724394,967.735970206834
3500,429.4297906387875,964.1186975261339
3600,460.3305799628821,965.5053466616108
3700,482.80109806040497,963.3940744292672
3800,471.8422134853725,963.637405507287
3900,525.9090044037088,961.6940225710181
4000,543.8808535392437,960.7266047753707
4100,555.9441264646566,959.3992316770525
4200,555.8782461743195,959.4251931508682
4300,606.2353714376895,956.8588164240342
4400,623.5925834439901,957.7203940664031
4500,659.1037970499037,955.445239173687
4600,667.2846729501942,954.3020781093907
4700,692.5129270060211,952.3926559950861
4800,719.583068465579,951.839537497654
4900,755.895286490078,951.7505492246584
5000,784.1764694623184,951.0024736101486
