milliseconds,T,E
0,85.0575722237902,1000.2503803833428
100,108.35428841951902,998.659269278243
200,106.3500731139366,997.6519555192247
300,130.2476602115527,995.6227163398524
400,104.9348239580903,994.9234136599991
500,115.73202102886943,994.4730792143575
600,132.00284553969655,995.1382911537773
700,134.4531221203026,993.2110637134904
800,149.15179132086251,990.9589220910865
900,129.22344442688993,992.4289179079658
1000,167.3561480010648,991.2916462297771
1100,144.76544891638275,989.1793112787566
1200,159.30039169052782,988.6341214953806
1300,173.48655248009428,986.3338804948444
1400,188.4807820269475,985.505255849752
1500,178.94892339516434,984.2691345274077
1600,194.8393015724655,984.3716304155503
1700,204.76757989248418,983.6165420473527
1800,192.3315377751116,981.9943831722031
1900,221.08616198099648,980.611297996285
2000,210.5220212694207,979.0070140141496
2100,249.2501599930599,978.7146111148488
2200,252.3373563647018,977.5772518654
2300,260.6231169674976,977.4614736044135
2400,285.0322548346829,977.2873776268596
2500,268.77574510270364,975.4051683939035
2600,296.4685585310179,975.5652727620197
2700,291.50842110694765,973.927652815863
2800,318.0280564033522,971.366574687127
2900,340.16632067202863,972.2700680847277
3000,359.16776145049255,969.9026399033809
3100,381.6942246576464,967.9312808968447
3200,396.6797162585516,968.190298433327
3300,392.0291231218427,966.2288109701633
3400,424.94799091267856,966.2937607029022
3500,429.59743568942827,964.0702786311042
3600,435.2794011878322,965.0778274696961
3700,484.3061015480524,964.2820060091703
3800,489.15208629164323,961.9951540948945
3900,495.97033407667624,961.8912224917894
4000,535.3272218477679,960.2119943694453
4100,560.1585451709569,959.2625709094875
4200,557.0741894214185,958.7495473792837
4300,604.0574512412312,957.2951469418443
4400,642.2923028742825,957.5144916374365
4500,652.3661873477689,955.5820102019065
4600,661.0079792011429,956.005066342376
4700,690.353854202113,954.529577613154
4800,747.9031031375422,953.1291220592439
4900,784.0916358073183,953.2060932597458
5000,809.8552973233246,949.671765596004
