milliseconds,TF,TF_VII,VII,TF_VIIa,VIIa,Xa,IIa,TF_VIIa_X,X,TF_VIIa_Xa,IX,TF_VIIa_IX,IXa,II,VIII,VIIIa,IXa_VIIIa,IXa_VIIIa_X,VIIIa1_L,VIIIa2,V,Va,Xa_Va,Xa_Va_II,mIIa,TFPI,Xa_TFPI,TF_VIIa_Xa_TFPI,ATIII,Xa_ATIII,mIIa_ATIII,IXa_ATIII,IIa_ATIII,TF_VIIa_ATIII,mw4e2cf0b0_bd70_45a4_9e60_eba82fa5c3e4,mw469042d3_a94f_4ebe_af1c_1ead580aad2a,mw6c404de5_5b24_48d6_a0c4_5491e07b1f72,mw8c2b9a07_22c3_4912_adb1_167a38ea4cb3,mw819d0d09_05ba_4674_85ba_5c9439fb77f4,mw2be3652b_79af_4228_9d1c_9d65c7d0c70f,mw6a63ae22_6bb4_4dcf_992f_9287439dd556,mwcefd1303_4967_4502_af6d_e75c88c4d548,mwe043d306_ffdd_447b_9826_4df8abbece4d,mw6591152c_8b5a_4c9b_b095_956988a01ba0,mwe51f72d2_84fb_4b43_b900_521410fdf99c,mw72ca05d8_25b0_4765_ba03_a6a0eb846aa0,mwe70b2c96_44b9_48eb_967a_7eb850a916a6,mw64e9cef3_5dd3_43f3_ad04_58e8fc07a91b,mw6d041b25_87db_4394_9b8b_7ac61e01f359,mwd68cbf38_9266_4dfb_aa00_f817c3421aec,mwa6be116e_72f1_439e_bca6_eb61f79cc68e,mw6a8501d2_9479_41ae_8616_1e8d0e1bbfa9,mw3cec90c2_500e_4f30_b6be_325ef5194755,mwedf22864_05a0_40c3_a0d5_ede45a3e7e8f,mwd3e1ba39_ab10_4702_addd_fb6a7e184a4b,mwfa9d903a_b5e5_4a38_a649_dfe4719577aa,mw2e632a32_3823_4933_95cb_19567cbcc66a,mw8bdbd17d_f542_4b8c_88c6_a82eaf997a43,mw18e5caa7_26eb_4521_b217_da75bb3193ad,mwf5c3f9df_7ccf_4ca7_b241_471a66720da8,mwa4fcfa0c_6944_42fc_8c74_7865f13953c8,mwe0bb059d_deaa_45fa_b7dc_ec1c4409c4ca,mw7a1594c9_f04f_478c_9f5f_ccbe0b95a820,mwbdb849d8_2b25_4551_8de8_adc8bead2303,mw931f65a6_3967_4ac2_9904_ba791b216fc2,mw85e2714d_e6e5_47d5_9ffc_d90573faebe1
0,0.0010167415271539403,0.0,5.833284722627312,0.0,0.05833284722627312,0.0,0.0,0.0,93.33255556203699,0.0,52.499562503645805,0.0,0.0,816.6598611678236,0.4083299305839118,0.0,0.0,0.0,0.0,0.0,11.666569445254623,0.0,0.0,0.0,0.0,1.458321180656828,0.0,0.0,1983.316805693286,0.0,0.0,0.0,0.0,0.0,0.0,198.3316805693286,0.0,262.497812518229,0.0,0.0,0.0,0.0,18.083182640144667,0.0,0.0,0.0,0.0,0.0,0.0,0.2916642361313656,0.0,34.99970833576387,0.0,0.0,5249.95625036458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,0.0010138758540368332,2.4420843645872788e-06,5.833282280490382,3.5944568080969336e-07,0.054732912605659836,7.391320285099785e-09,7.901600993990987e-12,4.635317050972531e-08,93.3289559848312,1.2180219726260848e-08,52.499562497650665,5.468848045855323e-09,4.732481922642554e-10,816.6598611678155,0.40832993056927475,1.3961577890486633e-13,1.0473161884637455e-25,3.9570132555202214e-27,2.713802508876942e-17,2.713802508876942e-17,11.666569445254623,9.992133495320218e-16,1.0755104800546951e-26,3.545916176473873e-27,1.3583632115266322e-27,1.458321180528229,1.6887228394289703e-13,1.2842977235802596e-10,1983.3168056932732,5.387853764217969e-13,1.1116451609200064e-31,7.481447340791637e-15,1.6540472488316576e-15,1.2407482379079638e-11,0.0,198.3316805693286,0.0,262.497812518229,0.0,0.0,0.0,0.0,18.083182640144667,0.0,0.0,0.0,0.0,5.3058454263096925e-11,0.0035995110844247945,0.2916642361313584,6.780723805091993e-15,34.99970833576387,3.974040969755237e-16,1.3854802502781567e-18,5249.956250364577,6.3050740493214835e-12,1.4153847778070336e-36,1.5082543559380556e-34,3.104225671038946e-39,4.456287373836138e-38,8.255174014512191e-47,4.964132309788632e-48,1.4497388655980353e-11,7.910409819489681e-12,2.334965220396699e-17,7.901600993990988e-12
200,0.001011022431796635,4.876234449398648e-06,5.833279846115342,6.435456320608627e-07,0.0547320792358317,4.282069541148456e-08,7.386343461053565e-11,1.2776171554015913e-07,93.3289554066595,5.759774904919866e-08,52.499562488385806,1.2566297219569297e-08,2.3823329464435912e-09,816.6598611677497,0.4083299304534683,2.2236771983440156e-12,1.5859524018688492e-23,8.806510104236713e-25,7.796018870178424e-16,7.796018870178424e-16,11.666569445254607,1.5994558517419724e-14,1.635649702014836e-24,6.0911078028310525e-25,4.0924265860125404e-25,1.4583211793110926,1.579850704141903e-12,1.3441546624626108e-09,1983.3168056932357,5.040515702664179e-12,6.028531720631781e-29,8.03797819152223e-14,2.6476583332014435e-14,4.536265260049193e-11,0.0,198.3316805693286,0.0,262.497812518229,0.0,0.0,0.0,0.0,18.083182640144667,0.0,0.0,0.0,0.0,3.113204814064696e-10,0.0035999254070520383,0.29166423613125075,1.0580684777401404e-13,34.99970833576387,9.005079717895152e-15,5.961586021942437e-17,5249.956250364482,1.0092626954840363e-10,1.794992067353377e-33,1.9077673164455945e-31,7.544115119384288e-36,1.0802408931363162e-34,1.054643268028465e-42,9.552469691079727e-44,1.2821881054700306e-10,7.400434909262315e-11,3.7402874431754826e-16,7.386343461053614e-11
300,0.0010081781533274668,7.302476555461289e-06,5.833277419242161,9.016071130372521e-07,0.05473169086015212,1.317941791649572e-07,3.2569550624180945e-10,2.127186396641946e-07,93.32895519232662,1.227936597515996e-07,52.499562478168734,1.9002528451010385e-08,5.693120712337344e-09,816.659861167497,0.4083299300335679,1.3725276126508007e-11,3.3812121772133665e-22,2.2205602089113598e-23,6.752131189676185e-15,6.752131189676185e-15,11.666569445254524,9.91385618201119e-14,4.38382575692481e-23,1.7272731362201118e-23,1.649672754942931e-23,1.4583211759703807,6.971599714688078e-12,4.679475038716505e-09,1983.316805693168,2.224297283681109e-11,3.444770575118436e-27,2.997546707470758e-13,1.6410896192205809e-13,9.58582643488967e-11,0.0,198.3316805693286,0.0,262.497812518229,0.0,0.0,0.0,0.0,18.083182640144667,0.0,0.0,0.0,0.0,7.811677055929501e-10,0.0035998963774442772,0.29166423613065434,6.455194250404777e-13,34.99970833576381,6.562584213875756e-14,6.18962567277769e-16,5249.956250363958,6.255680772158545e-10,1.6125599298156718e-31,1.710381565470037e-29,9.679131501237661e-34,1.3832452625527505e-32,3.3200627188922726e-40,3.5898177414522915e-41,5.366117347004786e-10,3.265684406440202e-10,2.319827021939853e-15,3.2569550624182925e-10
400,0.0010053429859678848,9.720836070965625e-06,5.833274999496555,1.1508330746073078e-06,0.05473130085268867,2.861996775556327e-07,9.482294269689233e-10,2.958915519156257e-07,93.32895490024711,1.9511415779290227e-07,52.499562466809536,2.50911824789066e-08,1.0298732923044973e-08,816.659861166872,0.4083299290532486,5.2347521088497613e-11,3.0677124457427646e-21,2.227548672784195e-22,3.3501413145619306e-14,3.3501413145619306e-14,11.666569445254247,3.7966274198053616e-13,4.783866832479914e-22,1.9495775555200704e-22,2.4471056539387543e-22,1.4583211700242202,2.0314145944387867e-11,1.061229319194246e-08,1983.3168056930574,6.481276599480505e-11,6.666621268311439e-26,7.40599483117456e-13,6.284745047246861e-13,1.6285829741279447e-10,0.0,198.3316805693286,0.0,262.497812518229,0.0,0.0,0.0,0.0,18.083182640144667,0.0,0.0,0.0,0.0,1.4456622270595005e-09,0.003599870963154572,0.29166423612864406,2.441655997701885e-12,34.9997083357636,2.798215273058324e-13,3.4544697580371196e-15,5249.956250362187,2.395686273894752e-09,4.403513385210644e-30,4.661293619542526e-28,3.408744168958388e-32,4.862306844703813e-31,2.1649229173352503e-38,2.6075534857995747e-39,1.478281995855101e-09,9.51570488960626e-10,8.89003845626505e-15,9.48229426969217e-10
500,0.0010025168995110947,1.2131338298099714e-05,5.833272586461025,1.3963870779871872e-06,0.05473091345565143,5.095081966900666e-07,2.1472956987836616e-09,3.773189185724862e-07,93.32895453595059,2.6900910027714417e-07,52.499562454154685,3.104008786861189e-08,1.6152600273980418e-08,816.6598611656666,0.4083299272727198,1.482428241828432e-10,1.70119663270746e-20,1.322534283617614e-21,1.1804887064691194e-13,1.1804887064691194e-13,11.666569445253545,1.0795073495189866e-12,3.0383948677439348e-21,1.2660616850639883e-21,1.9976009179199226e-21,1.458321161322612,4.604311846401341e-11,1.9288172533312797e-08,1983.3168056928905,1.469022418349872e-10,6.804981215976406e-25,1.473759264809178e-12,1.7869618830609388e-12,2.459907030109188e-10,0.0,198.3316805693286,0.0,262.497812518229,0.0,0.0,0.0,0.0,18.083182640144667,0.0,0.0,0.0,0.0,2.2970038858332894e-09,0.003599845309266247,0.2916642361236332,6.874049273603848e-12,34.99970833576301,8.582618193322209e-13,1.3252866860211314e-14,5249.956250357772,6.8117322549092565e-09,5.893595388472125e-29,6.22719228829936e-27,5.688503403423766e-31,8.099941318277155e-30,5.672943025070095e-37,7.363630347035286e-38,3.1628309317017977e-09,2.156789676478425e-09,2.529528355996279e-14,2.1472956987860588e-09
600,0.0009996998643789325,1.4534008456106717e-05,5.833270179708344,1.639450707007336e-06,0.05473052851429466,8.019995925110597e-07,4.132756267414421e-09,4.5753374900491183e-07,93.32895409967227,3.426839678191304e-07,52.4995624401614,3.6915676356146306e-08,2.3234339512266713e-08,816.6598611636684,0.40832992448850824,3.445143737029123e-10,6.839023803762091e-20,5.5806271867938135e-21,3.303378685556017e-13,3.303378685556017e-13,11.666569445252106,2.518544543076049e-12,1.3496214163226993e-20,5.709805602336189e-21,1.0903198779610681e-20,1.4583211498429727,8.869844528232945e-11,3.072515671364599e-08,1983.3168056926515,2.8299676962414003e-10,4.4758633349978185e-24,2.5683396248803405e-12,4.169071306136446e-12,3.450651955193896e-10,0.0,198.3316805693286,0.0,262.497812518229,0.0,0.0,0.0,0.0,18.083182640144667,0.0,0.0,0.0,0.0,3.3318650292230483e-09,0.0035998199681711476,0.2916642361133394,1.591028193892978e-11,34.999708335761724,2.1157405988398917e-12,3.952992148248239e-14,5249.956250348691,1.5892111498409472e-08,4.839983370323342e-28,5.1049322867970314e-26,5.5863867172613856e-30,7.941516007458685e-29,8.015472587447496e-36,1.0982226269899218e-36,5.75055858394799e-09,4.1548923026514954e-09,5.905861805256571e-14,4.132756267427504e-09
700,0.000996891851190445,1.6928871682215437e-05,5.833267778812892,1.8802004879005656e-06,0.05473014662954254,1.1630683341976944e-06,7.1127555723092815e-09,5.368211959366131e-07,93.32895359227795,4.156846675906817e-07,52.49956242482954,4.273334734173886e-08,3.153067716424527e-08,816.6598611606655,0.4083299205295341,6.970718398573024e-10,2.200867182408048e-19,1.8622710018396667e-20,7.849397144395441e-13,7.849397144395441e-13,11.666569445249511,5.114859811708043e-12,4.685681309161708e-20,2.00438868041013e-20,4.5159890940357034e-20,1.4583211355993675,1.528016131439435e-10,4.490465901808324e-08,1983.3168056923264,4.875231437112377e-10,2.18159987154254e-23,4.0925596616837604e-12,8.466880385668004e-12,4.599266878458505e-10,0.0,198.3316805693286,0.0,262.497812518229,0.0,0.0,0.0,0.0,18.083182640144667,0.0,0.0,0.0,0.0,4.548195814547443e-09,0.003599794735185992,0.29166423609478553,3.2102529221909375e-11,34.99970833575931,4.477392628257556e-12,9.86839806471407e-14,5249.956250332308,3.227495939792428e-08,2.8437241477043954e-27,2.9945900149411825e-25,3.8618022377698714e-29,5.481261949595484e-28,7.53323506265663e-35,1.0776056615395261e-35,9.35652073617621e-09,7.1576823430178114e-09,1.2003157277934173e-13,7.1127555723634735e-09
800,0.000994092830667156,1.93159530319976e-05,5.833265383353274,2.1186175533203813e-06,0.05472976794494515,1.5919296004423996e-06,1.1292398147006013e-08,6.152925335417297e-07,93.32895301418552,4.879484724064159e-07,52.49956240817086,4.849483072178886e-08,4.102981835993604e-08,816.6598611564483,0.40832991524734147,1.2743293517948691e-09,6.013270169944212e-19,5.232413022413726e-20,1.652362399369572e-12,1.652362399369572e-12,11.666569445245242,9.383538990109083e-12,1.3582374045651963e-19,5.858482942141065e-20,1.5251119711683067e-19,1.458321118614357,2.4282714676355974e-10,6.17996440080523e-08,1983.3168056918996,7.747585867921379e-10,8.495418175475372e-23,6.113945887996968e-12,1.5533036242462003e-11,5.90423983943687e-10,0.0,198.3316805693286,0.0,262.497812518229,0.0,0.0,0.0,0.0,18.083182640144667,0.0,0.0,0.0,0.0,5.944227236137545e-09,0.0035997698588782286,0.2916642360643108,5.8577092601723e-11,34.999708335755194,8.477555613797754e-12,2.16023334634381e-13,5249.956250305373,5.9210487359636463e-08,1.293601277253578e-26,1.3603078855780478e-24,2.025734412037345e-28,2.87126679667837e-27,5.1004383498637684e-34,7.542415850080614e-35,1.4060588396110495e-08,1.1374765456548309e-08,2.203750685619303e-13,1.1292398147189027e-08
900,0.0009913027736175469,2.1695277479635956e-05,5.833262992912755,2.354693044908556e-06,0.054729393027069494,2.0878155494942485e-06,1.687354277124516e-08,6.929824846581529e-07,93.32895236625774,5.594813113458049e-07,52.49956239019885,5.4200095684450005e-08,5.171999786883014e-08,816.6598611508097,0.40832990850705464,2.1568996876987996e-09,1.450782520663228e-18,1.2906775747443486e-19,3.170275814934592e-12,3.170275814934592e-12,11.666569445238691,1.5935171877527752e-11,3.43591621023065e-19,1.4915743430605268e-19,4.41455508528088e-19,1.4583210989109112,3.631978712364622e-10,8.138271906041414e-08,1983.316805691356,1.1588156320525804e-09,2.7927356829593067e-22,8.699370864152188e-12,2.637827850346881e-11,7.364042955847442e-10,0.0,198.3316805693286,0.0,262.497812518229,0.0,0.0,0.0,0.0,18.083182640144667,0.0,0.0,0.0,0.0,7.518203457927561e-09,0.003599745160222951,0.2916642360175849,9.902275058746386e-11,34.9997083357487,1.4757784322379562e-11,4.2779672919501894e-13,5249.956250264031,1.0055154069782623e-07,4.8653874306056466e-26,5.109678643207257e-24,8.667841850486496e-28,1.2270098042655998e-26,2.752056940709045e-33,4.186832212571272e-34,1.9916787066526905e-08,1.7013327051394746e-08,3.745337056382383e-13,1.6873542771774906e-08
