miliseconds,Ca_Nuc,Ca_Cyt,NFAT_Nuc,Act_C_Nuc,NFAT_Pi_Nuc,NFAT_Act_C_Nuc,NFAT_Pi_Act_C_Nuc,Inact_C_Nuc,NFAT_Cyt,Act_C_Cyt,NFAT_Pi_Cyt,NFAT_Act_C_Cyt,NFAT_Pi_Act_C_Cyt,Inact_C_Cyt
0,0.9997163187469752,1.0002462602885798,0.00048703962440850356,1.543646994514302e-05,0.00022649927168362188,0.0008993212295062526,2.264329126752522e-06,0.04957168936020456,0.00010976518050247822,-3.293516808273705e-05,0.009432996594616497,3.097277088960053e-06,1.6018936401547987e-06,0.009742426711944892
100,0.9900034758997379,0.9975985310421,0.0004950816169176423,0.0026539311791556057,0.000226992262097254,0.0009163853323218679,3.2231707622898152e-06,0.04557700344794449,0.0001101819151927377,0.000685206117489226,0.009432021458345444,1.0405184606012236e-05,1.0768004353957029e-05,0.009072060690468783
200,0.9827974709727203,0.9950269878861916,0.0004928731327085395,0.0060063982192080255,0.00022389321224721657,0.000900922566687553,4.024531832464547e-06,0.04375850641776716,0.00010993271827282691,0.0011918942388033638,0.00942284378444672,1.1023907812921594e-05,1.9482271286279927e-05,0.008501375992716234
300,0.9777521511137635,0.9931530279365947,0.0005372186807883728,0.007844764548990467,0.00022446969013968299,0.0009637039269782944,5.742682814928241e-06,0.0407206060271846,0.00010986180729749141,0.001708107815380862,0.009396665845698928,1.1003386719742773e-05,3.485412533695694e-05,0.007952956673120204
400,0.9712601040225642,0.991901464061751,0.0005368418508853331,0.011487285832048163,0.00022076716939864612,0.00101856543556891,6.726614869265585e-06,0.03834364886215914,0.00010962724907071198,0.002101310271929378,0.009397477074731389,1.593055207032546e-05,4.612590171533354e-05,0.007577913298802379
500,0.9695787706537811,0.9907183415622383,0.0004710260491122381,0.011875823102173192,0.00022023671726879106,0.0009913567787733315,7.401035784984609e-06,0.037419330784027253,0.00010936185842500362,0.002240491013042282,0.00936993223692447,2.1527261878918215e-05,5.287022766033462e-05,0.007359452979721333
600,0.967476067481914,0.990301460276778,0.0005286729353656798,0.012631018829076168,0.0002175645218443816,0.0010238045365695083,9.148777044161958e-06,0.036246374776924606,0.00010928873716891352,0.00224592649945978,0.009345511728585663,2.8018749305772295e-05,6.723368971217184e-05,0.007315109010130574
700,0.9668280670117735,0.9879610531083389,0.0004484328681649498,0.014764927477791852,0.0002168039228345479,0.0010424393904594452,9.321830936469426e-06,0.035207456902332845,0.00010871771032524502,0.002456565634932554,0.009290426273360216,3.509498691161386e-05,6.639137473677789e-05,0.007241206646577928
800,0.9661069238771545,0.987400718174099,0.0004997270208838872,0.015574844776649523,0.00021392858373832116,0.0011109254660830467,1.0224098734052207e-05,0.03412643699630773,0.00010832234745772913,0.002460853605106892,0.009274636525578694,4.407509706365434e-05,8.027318858814716e-05,0.007058749652333735
900,0.9633915412756322,0.9859408133517068,0.0004948411225105396,0.017098072217687294,0.00021246451591968446,0.0012129869397247174,1.1930806572923835e-05,0.03277320396711606,0.00010819587898741809,0.0026392921709870753,0.00924695774388552,4.882929595351548e-05,8.651435094873765e-05,0.006898709689027239
1000,0.9609802229732536,0.9857901071788556,0.00048689176662565785,0.018279736265563538,0.00021259718867077488,0.0011469667738504754,1.260380076320446e-05,0.03189063904241077,0.00010775784661652574,0.002671578668149314,0.0092213715423051,5.433918079319086e-05,9.52486978463356e-05,0.006869619782966781
